link,d_total,d_after900,d_stop,ttt_nc,ttt_h0,length,lanes,is_conn
10301,0.043055555555555694,0.041666666666666796,0.030555555555555558,0.1263888888888871,0.1694444444444428,34.1,1,True
1220023101,0.04305555555555568,0.04027777777777786,0.02777777777777778,12.243055555555555,12.28611111111111,110.5,3,False
1220044400,0.04305555555555561,0.047222222222222304,0.0,5.790277777777777,5.833333333333332,692.6,2,False
10587,0.0416666666666671,0.041666666666667004,0.030555555555555555,0.0763888888888867,0.1180555555555538,33.2,1,True
1220002001,0.04166666666666698,0.07083333333333368,0.02222222222222222,6.938888888888887,6.980555555555554,150.3,6,False
10482,0.04166666666666676,0.03611111111111115,0.0027777777777777783,9.947222222222221,9.988888888888889,380.8,2,True
101,0.04166666666666621,0.04166666666666621,-0.001388888888888889,1.8111111111111098,1.8527777777777759,116.3,4,False
367,0.038888888888889014,0.047222222222222325,0.04027777777777779,1.3194444444444429,1.3583333333333318,192.6,2,False
296,0.03888888888888868,0.027777777777777585,0.0,1.6097222222222207,1.6486111111111095,82.6,3,False
95,0.037500000000000665,0.03611111111111166,-0.001388888888888889,4.99722222222222,5.034722222222221,353.3,2,False
1220014000,0.037500000000000304,0.029166666666666993,0.027777777777777776,1.566666666666665,1.6041666666666654,106.5,4,False
10186,0.0375000000000003,0.0319444444444447,0.0,0.2236111111111093,0.26111111111110963,10.5,4,True
10490,0.03750000000000011,0.048611111111111306,0.001388888888888889,2.7611111111111097,2.79861111111111,277.3,1,True
10539,0.03750000000000002,0.03472222222222221,0.03472222222222221,5.724999999999999,5.762499999999999,24.3,2,True
1210008402,0.03750000000000002,0.05277777777777771,0.0,4.065277777777776,4.102777777777776,189.3,4,False
10686,0.037499999999999686,0.04722222222222208,0.004166666666666667,0.8958333333333319,0.9333333333333316,37.5,1,True
10023,0.03749999999999967,0.02777777777777757,0.0,0.9958333333333319,1.0333333333333317,43.5,4,True
10545,0.03611111111111121,0.034722222222222314,0.04722222222222223,0.9291666666666646,0.9652777777777758,12.4,1,True
382,0.03611111111111083,0.03749999999999973,0.04444444444444445,3.9444444444444433,3.980555555555554,40.8,3,False
1220011003,0.03472222222222231,0.025000000000000105,0.0,1.5361111111111097,1.570833333333332,140.7,2,False
10118,0.03472222222222231,0.038888888888889014,-0.01111111111111111,4.002777777777776,4.037499999999999,135.8,2,True
10615,0.0347222222222223,0.029166666666666705,0.0,0.1124999999999977,0.14722222222222,14.1,1,True
10215,0.03472222222222229,0.0402777777777779,0.034722222222222224,0.4416666666666648,0.4763888888888871,18.5,1,True
1220008301,0.03472222222222189,0.029166666666666292,0.0027777777777777766,1.2263888888888874,1.2611111111111093,98.2,2,False
10707,0.0333333333333335,0.030555555555555697,0.0027777777777777775,0.2222222222222203,0.2555555555555538,16.8,2,True
413,0.03333333333333321,0.03749999999999991,0.0,0.4124999999999988,0.44583333333333197,47.4,3,False
114,0.0333333333333332,0.0319444444444443,0.0,0.8902777777777766,0.9236111111111098,43.8,5,False
190,0.03333333333333299,0.03611111111111069,0.0,0.3874999999999987,0.42083333333333167,27.5,1,False
290,0.031944444444444706,0.0291666666666669,-0.001388888888888889,0.8569444444444427,0.8888888888888874,45.1,3,False
10567,0.031944444444444386,0.03611111111111098,0.0,1.1236111111111096,1.155555555555554,47.4,4,True
10691,0.0319444444444443,0.0319444444444443,0.0,0.2027777777777765,0.2347222222222208,73.0,2,True
1220008701,0.0319444444444442,0.03194444444444419,0.0,0.4374999999999983,0.4694444444444425,36.3,2,False
1220021301,0.03194444444444383,0.03194444444444393,0.0,2.82361111111111,2.855555555555554,141.9,4,False
1210009403,0.03055555555555598,0.03055555555555598,0.044444444444444446,4.270833333333332,4.301388888888888,103.8,4,False
10497,0.030555555555555697,0.031944444444444595,0.0,0.2222222222222206,0.2527777777777763,57.8,2,True
1210018504,0.030555555555555423,0.027777777777777624,0.0,1.1708333333333318,1.2013888888888873,55.8,4,False
10305,0.0305555555555553,0.029166666666666504,0.0,0.2111111111111095,0.2416666666666648,19.3,2,True
10480,0.0291666666666668,0.022222222222222313,0.03472222222222223,1.1486111111111095,1.1777777777777763,149.3,1,True
10184,0.0291666666666668,0.0347222222222223,0.0,0.1916666666666647,0.2208333333333315,11.5,4,True
10496,0.029166666666666795,0.027777777777777898,0.0,0.1986111111111093,0.22777777777777608,54.2,2,True
1220014303,0.027777777777777735,0.03888888888888885,-0.01111111111111111,6.776388888888888,6.804166666666665,167.4,5,False
1220009403,0.027777777777777683,0.02777777777777779,-0.001388888888888889,1.4374999999999987,1.4652777777777763,92.2,3,False
1220011403,0.0277777777777776,0.0277777777777776,0.0,0.5513888888888874,0.579166666666665,32.7,3,False
121008402,0.02638888888888897,0.03888888888888886,-0.013888888888888885,7.101388888888888,7.127777777777776,75.6,5,False
10372,0.0263888888888889,0.025000000000000102,0.0,0.1124999999999977,0.1388888888888866,30.5,1,True
10408,0.0263888888888888,0.0249999999999999,0.0,0.1527777777777758,0.1791666666666646,16.2,2,True
138,0.026388888888888767,0.02916666666666657,0.03333333333333333,1.6472222222222208,1.6736111111111096,130.2,1,False
183,0.026388888888888754,0.015277777777777668,0.02638888888888889,5.3055555555555545,5.331944444444443,70.1,6,False
10679,0.0250000000000005,0.0208333333333338,0.0,0.2763888888888871,0.3013888888888876,17.4,3,True
10653,0.0250000000000002,0.0250000000000002,0.0,0.1736111111111092,0.1986111111111094,21.3,3,True
1220023201,0.02500000000000019,0.029166666666667,0.0,2.544444444444443,2.569444444444443,114.5,3,False
