run,link,sim_sec,count,stopped_count,mean_speed_kph
reference,121,1770.0,18.0,5.0,18.225913
reference,121,1800.0,16.0,3.0,19.292529
reference,121,1830.0,16.0,2.0,20.997035
reference,121,1860.0,8.0,1.0,30.402405
reference,121,1890.0,10.0,0.0,45.546019
reference,121,1920.0,23.0,1.0,30.957855
reference,121,1950.0,17.0,2.0,17.858565
reference,121,1980.0,17.0,2.0,19.077933
reference,121,2010.0,9.0,1.0,20.777755
reference,121,2040.0,13.0,1.0,31.795457
reference,121,2070.0,20.0,2.0,22.20986
reference,121,2100.0,14.0,0.0,21.743015
reference,121,2130.0,16.0,2.0,24.067504
reference,121,2160.0,10.0,1.0,27.91944
reference,121,2190.0,14.0,1.0,37.993843
reference,121,2220.0,20.0,3.0,23.273502
reference,121,2250.0,19.0,5.0,18.677916
reference,121,2280.0,15.0,0.0,17.474403
reference,121,2310.0,14.0,2.0,17.463384
reference,121,2340.0,17.0,0.0,29.525524
reference,121,2370.0,20.0,3.0,21.538349
reference,121,2400.0,16.0,1.0,16.98012
reference,121,2430.0,15.0,0.0,22.833743
reference,121,2460.0,13.0,2.0,21.185117
reference,121,2490.0,19.0,1.0,30.331249
reference,121,2520.0,16.0,1.0,15.741588
reference,121,2550.0,22.0,6.0,18.621664
reference,10646,900.0,5.0,0.0,42.341608
reference,10646,930.0,8.0,0.0,56.906681
reference,10646,960.0,4.0,0.0,31.894396
reference,10646,990.0,0.0,0.0,0.0
reference,10646,1020.0,7.0,0.0,36.290636
reference,10646,1050.0,8.0,0.0,43.091357
reference,10646,1080.0,6.0,0.0,37.214735
reference,10646,1110.0,4.0,0.0,80.076709
reference,10646,1140.0,2.0,0.0,37.737952
reference,10646,1170.0,7.0,0.0,44.38878
reference,10646,1200.0,6.0,0.0,43.631958
reference,10646,1230.0,6.0,0.0,48.82192
reference,10646,1260.0,6.0,0.0,54.676347
reference,10646,1290.0,2.0,0.0,58.357171
reference,10646,1320.0,7.0,0.0,38.767541
reference,10646,1350.0,8.0,0.0,47.742521
reference,10646,1380.0,8.0,0.0,42.273793
reference,10646,1410.0,0.0,0.0,0.0
reference,10646,1440.0,2.0,0.0,42.684077
reference,10646,1470.0,6.0,0.0,36.782958
reference,10646,1500.0,8.0,1.0,35.815951
reference,10646,1530.0,6.0,0.0,46.727565
reference,10646,1560.0,6.0,0.0,34.65953
reference,10646,1590.0,1.0,0.0,44.641065
reference,10646,1620.0,7.0,0.0,39.80517
reference,10646,1650.0,9.0,0.0,37.547843
reference,10646,1680.0,9.0,0.0,51.756418
reference,10646,1710.0,6.0,0.0,44.491864
reference,10646,1740.0,2.0,0.0,43.312583
reference,10646,1770.0,8.0,0.0,45.015975
reference,10646,1800.0,7.0,0.0,54.31836
reference,10646,1830.0,4.0,0.0,41.430478
reference,10646,1860.0,6.0,0.0,47.641999
reference,10646,1890.0,4.0,0.0,50.109394
reference,10646,1920.0,8.0,0.0,42.420165
reference,10646,1950.0,5.0,0.0,41.958076
reference,10646,1980.0,5.0,0.0,46.565226
reference,10646,2010.0,7.0,0.0,44.25482
reference,10646,2040.0,3.0,0.0,51.83682
reference,10646,2070.0,6.0,0.0,43.201475
reference,10646,2100.0,6.0,0.0,40.791191
reference,10646,2130.0,6.0,0.0,44.529587
reference,10646,2160.0,6.0,0.0,53.092049
reference,10646,2190.0,7.0,0.0,38.793525
reference,10646,2220.0,8.0,0.0,45.799205
reference,10646,2250.0,4.0,0.0,48.050446
reference,10646,2280.0,8.0,0.0,41.65233
reference,10646,2310.0,6.0,0.0,50.276126
reference,10646,2340.0,7.0,0.0,34.765108
reference,10646,2370.0,12.0,0.0,34.818626
reference,10646,2400.0,7.0,0.0,56.088421
reference,10646,2430.0,8.0,0.0,43.339022
reference,10646,2460.0,5.0,0.0,46.275898
reference,10646,2490.0,5.0,0.0,52.32741
reference,10646,2520.0,6.0,0.0,42.803265
