physical_link,inside,ttt_veh_h,slow_veh_h
10477,False,0.627083333333364,0.0005555555555555556
10478,False,0.6997222222222523,0
10479,False,3.5495833333337172,0
10480,True,16.99555555555507,13.837638888888552
10481,True,2.67458333333356,0
10482,True,102.23555555555559,79.86375000000022
10483,True,3.848055555555904,0.02638888888888889
10484,True,45.171666666665566,29.64763888888879
10485,False,0.1172222222222204,0.0005555555555555556
10487,False,3.685555555555867,2.4738888888890402
10490,True,14.64069444444466,8.480277777777856
10491,True,8.130277777777493,0.20611111111110852
10492,True,0.2044444444444405,0
10493,True,0.3391666666666693,0
10494,True,0.2219444444444388,0
10495,True,0.1958333333333304,0
10496,True,0.24944444444444194,0
10497,True,0.289999999999998,0
10498,True,0.6919444444444717,0.04805555555555564
10499,True,0.600277777777789,0
10500,True,0.4102777777777852,0
10501,True,7.751111111110532,0
10502,False,0.6012500000000123,0.5640277777777889
10503,False,1.0440277777777995,0.9337500000000124
10504,True,0.019722222222222204,0
10505,False,0.24333333333332663,0
10506,False,0.037777777777777875,0
10507,False,0.05444444444444463,0
10508,True,1.1991666666667067,0.0005555555555555556
10509,True,0.29249999999999715,0
10510,False,0.08166666666666608,0
10511,False,0.11055555555555371,0.03555555555555564
10512,True,0.023888888888888897,0
10513,True,0.49611111111111605,0.03611111111111115
10514,True,3.7366666666669928,2.644166666666859
10515,True,0.1369444444444419,0
10516,True,0.005,0
10517,True,7.208888888888926,5.611111111111018
10519,True,0.25472222222221613,0
10520,True,12.448333333333585,9.969305555555644
10521,True,0.08111111111111059,0
10523,True,5.798750000000202,4.71833333333363
10524,False,0.060555555555555765,0
10525,True,0.15527777777777524,0
10526,True,0.47055555555556533,0
10527,True,0.03972222222222233,0
10528,True,0.09361111111111,0
10529,True,0.09111111111111012,0.0002777777777777778
10530,True,0.012222222222222197,0
10531,True,0.08166666666666614,0
10532,True,0.2608333333333315,0
10533,False,0.03277777777777783,0
10534,True,0.8536111111111067,0.005277777777777778
10535,True,0.24027777777777184,0
10536,True,0.5830555555555631,0
10537,True,0.11972222222222187,0
10538,False,1.0419444444444421,0
10539,True,0.31111111111110906,0.0025
10540,True,0.7809722222222543,0.2780555555555555
10542,True,0.35527777777778274,0
10544,True,0.5133333333333495,0
10545,True,0.1294444444444418,0
10547,True,0.5661111111111218,0
10550,True,1.404722222222272,0
10553,True,0.15249999999999678,0
10554,True,0.04305555555555569,0
10555,True,0.1363888888888868,0
10556,True,0.04194444444444457,0
10557,True,0.5104166666666791,0
10558,True,0.07472222222222194,0
10559,True,2.3888888888890145,1.2275000000000151
10561,True,0.39416666666666694,0
10562,True,0.12222222222222053,0
10563,True,0.08361111111111062,0
10564,True,0.2908333333333309,0
10565,True,0.6183333333333723,0
10566,True,0.3199999999999983,0
10567,True,1.122222222222239,0
10568,True,0.06388888888888908,0
10569,True,0.14194444444444196,0
10570,True,1.2790277777778007,0
10571,True,0.04222222222222231,0
10572,True,0.09944444444444334,0.005
10573,True,0.16611111111110768,0
10574,True,0.14694444444444169,0
10578,True,0.21444444444443944,0
10579,True,0.24666666666666037,0
10584,True,0.05916666666666691,0
10585,True,0.07749999999999953,0.006666666666666667
10586,True,0.34083333333333277,0
10587,False,0.11777777777777709,0.04722222222222225
10588,True,0.4269444444444431,0
10589,False,0.09249999999999924,0
10590,True,0.6447222222222524,0.04138888888888891
10592,True,0.010277777777777764,0
10593,True,0.2783333333333298,0.23638888888888157
10594,False,1.2247222222222696,0
10595,True,1.956111111111275,0
10596,True,0.17249999999999657,0
10597,False,1.1102777777778106,0
10598,True,0.8222222222222832,0
10599,True,0.011944444444444424,0
10600,True,0.012222222222222197,0
10601,True,0.0030555555555555557,0
10602,True,0.0019444444444444446,0
10603,True,0.393333333333339,0
10605,False,0.5055555555555766,0
10606,False,0.012777777777777749,0
10607,False,0.29083333333333106,0.017499999999999967
10608,True,0.16083333333332944,0
10609,False,0.4763888888888996,0.21527777777777685
10610,True,0.01555555555555551,0
10611,True,0.019999999999999983,0
10613,True,0.09861111111110989,0
10614,True,0.34708333333333696,0
10615,True,0.15361111111110742,0
10616,False,0.1527777777777741,0
10617,True,0.04111111111111121,0
10618,True,0.27638888888888613,0
10619,True,0.6511111111111156,0.0025
10620,False,0.1905555555555544,0
10621,True,11.503611111110573,0
10623,True,0.11694444444444332,0
10624,True,0.08833333333333258,0
10625,True,4.1804166666668845,3.683194444444693
10626,False,0.07833333333333306,0
10627,True,0.09611111111111069,0
10628,True,0.22111111111110535,0
10629,True,12.740555555555568,8.779444444444882
10630,False,0.18138888888888677,0
10631,True,0.16749999999999768,0
10632,True,0.13111111111110896,0
10633,False,0.6450000000000051,0
10634,True,0.7247222222222329,0
10635,True,0.6313888888888936,0
10636,True,0.3456944444444517,0
10637,True,18.658888888888367,16.8574999999999
10638,True,47.09708333333394,36.225972222222154
10639,True,49.839999999994774,46.537361111108595
10640,True,0.3955555555555711,0
10641,True,1.4965277777778747,0.17777777777777806
10642,False,0.5868055555555864,0
10643,True,1.4865277777778627,0.015277777777777762
10644,True,34.01305555555544,9.008333333333232
10645,False,4.3479166666669045,0
10646,True,37.54361111111154,20.531527777777466
10647,True,0.738611111111146,0.006111111111111111
