sec,direction,cell,n,stopped,mean_speed_kph,speed_eligible_n_ge5
510,E,18,12,0,121.48833333333334,True
510,E,19,7,0,114.47857142857143,True
510,E,20,5,0,117.25,True
510,W,0,28,0,77.58535714285715,True
510,W,1,20,0,100.72249999999998,True
510,W,2,14,0,116.10857142857144,True
510,W,3,13,0,115.41615384615385,True
510,W,4,21,0,111.80761904761907,True
510,W,5,17,0,113.41235294117647,True
510,W,6,13,0,112.94846153846154,True
510,W,7,14,0,113.81642857142857,True
510,W,8,18,0,116.31611111111108,True
510,W,9,15,0,117.138,True
510,W,10,15,0,111.60733333333332,True
510,W,11,12,0,115.15583333333332,True
510,W,12,8,0,123.64375000000001,True
510,W,13,5,0,87.854,True
510,W,14,11,0,89.84272727272727,True
510,W,15,14,0,99.4342857142857,True
510,W,16,10,0,111.838,True
510,W,17,4,0,118.45750000000001,False
510,W,18,13,0,116.09846153846155,True
510,W,19,8,0,124.02125000000001,True
510,W,20,8,0,117.93875,True
540,E,0,24,0,86.65083333333332,True
540,E,1,20,0,120.174,True
540,E,2,14,0,121.80499999999999,True
540,E,3,19,0,115.55315789473683,True
540,E,4,16,0,118.33374999999998,True
540,E,5,13,0,114.03692307692307,True
540,E,6,11,0,112.91272727272727,True
540,E,7,14,0,111.57785714285713,True
540,E,8,12,0,105.16666666666667,True
540,E,9,11,0,83.58181818181816,True
540,E,10,12,0,119.01833333333332,True
540,E,11,12,0,119.02666666666664,True
540,E,12,12,0,119.54666666666667,True
540,E,13,11,0,114.0409090909091,True
540,E,14,12,0,87.09000000000002,True
540,E,15,10,0,77.889,True
540,E,16,6,0,118.92,True
540,E,17,3,0,103.15666666666665,False
540,E,18,6,0,118.70166666666667,True
540,E,19,12,0,112.89249999999998,True
540,E,20,14,0,118.76642857142859,True
540,W,0,34,0,76.73323529411766,True
540,W,1,22,0,103.24181818181818,True
540,W,2,20,0,114.28650000000002,True
540,W,3,15,0,116.80933333333334,True
540,W,4,15,0,118.32666666666667,True
540,W,5,20,0,101.63199999999999,True
540,W,6,14,0,109.82999999999997,True
540,W,7,12,0,113.34583333333332,True
540,W,8,11,0,114.29727272727274,True
540,W,9,11,0,122.08909090909091,True
540,W,10,21,0,104.97,True
540,W,11,9,0,111.68555555555555,True
540,W,12,7,0,120.59,True
540,W,13,9,0,114.96000000000001,True
540,W,14,11,0,102.91727272727272,True
540,W,15,7,0,82.72285714285714,True
540,W,16,8,0,110.00625,True
540,W,17,12,0,118.87166666666668,True
540,W,18,11,0,119.39999999999999,True
540,W,19,5,0,113.60999999999999,True
540,W,20,12,0,119.58,True
570,E,0,14,0,88.5907142857143,True
570,E,1,18,0,116.78944444444443,True
570,E,2,18,0,119.72222222222223,True
570,E,3,21,0,115.2295238095238,True
570,E,4,11,0,122.73181818181818,True
570,E,5,21,0,118.21333333333334,True
570,E,6,16,0,120.9975,True
570,E,7,13,0,114.7053846153846,True
570,E,8,14,0,109.77714285714286,True
570,E,9,9,0,99.10666666666667,True
570,E,10,11,0,97.91272727272727,True
570,E,11,6,0,121.73,True
570,E,12,9,0,117.19999999999999,True
570,E,13,11,0,116.59090909090907,True
570,E,14,11,0,81.27636363636363,True
570,E,15,17,0,78.13588235294117,True
570,E,16,10,0,106.223,True
570,E,17,3,0,123.77333333333335,False
570,E,18,8,0,113.11500000000001,True
570,E,19,2,0,116.19,False
570,E,20,9,0,105.95333333333333,True
570,W,0,29,0,87.53034482758619,True
570,W,1,23,0,98.16478260869567,True
570,W,2,22,0,94.25136363636362,True
570,W,3,15,0,115.85800000000002,True
