sim_sec,veh_no,lane,pos_m,route_decision_no,route_no,route_decision_type,decision_vartype,route_vartype,type_vartype
607,"72","57-1","339.197532385571","1129","3","STATIC",3,3,8
607,"286","10621-1","895.644932038038",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
607,"398","10621-1","260.512032795387","1129","1","STATIC",3,3,8
607,"482","10621-2","194.831350607092","1129","1","STATIC",3,3,8
607,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
607,"1042","10621-1","832.467491579744",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
607,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
607,"1597","10621-2","863.325201149962",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
607,"2001","10621-2","275.200432193923","1129","1","STATIC",3,3,8
608,"13","10621-1","6.61064741250073","1129","1","STATIC",3,3,8
608,"72","57-1","350.74526691779","1129","3","STATIC",3,3,8
608,"286","10621-1","917.912635964701",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
608,"398","10621-1","271.453230327396","1129","1","STATIC",3,3,8
608,"482","10621-2","206.114120077547","1129","1","STATIC",3,3,8
608,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
608,"1042","10621-1","840.636830156778",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
608,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
608,"1597","10621-2","885.919699519061",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
608,"2001","10621-2","301.257227382206","1129","1","STATIC",3,3,8
609,"13","10621-1","15.8689769370217","1129","1","STATIC",3,3,8
609,"72","57-1","362.293001450008","1129","3","STATIC",3,3,8
609,"398","10621-1","282.394427859404","1129","1","STATIC",3,3,8
609,"482","10621-2","217.270488145794","1129","1","STATIC",3,3,8
609,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
609,"1042","10621-1","849.043644619295",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
609,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
609,"1597","10621-2","909.195994208465",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
609,"2001","10621-2","328.460217842132","1129","1","STATIC",3,3,8
610,"13","10621-1","24.9265395674955","1129","1","STATIC",3,3,8
610,"72","57-1","373.840735982227","1129","3","STATIC",3,3,8
610,"398","10621-1","293.596973733316","1129","1","STATIC",3,3,8
610,"482","10621-2","228.300454811831","1129","1","STATIC",3,3,8
610,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
610,"1042","10621-1","857.687934967294",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
610,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
610,"1597","10621-2","931.991737293358",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
610,"2001","10621-2","356.742097822771","1129","1","STATIC",3,3,8
610,"2571","56-3","249.944848013009",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
611,"13","10621-1","33.7833353039221","1129","1","STATIC",3,3,8
611,"72","57-1","383.996552717253","1129","3","STATIC",3,3,8
611,"398","10621-1","305.060867949131","1129","1","STATIC",3,3,8
611,"482","10621-2","239.20402007566","1129","1","STATIC",3,3,8
611,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
611,"1042","10621-1","866.569701200775",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
611,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
611,"2001","10621-2","386.056825990773","1129","1","STATIC",3,3,8
611,"2571","56-3","262.943634820476","1129","1","STATIC",3,3,8
612,"13","10621-1","42.4393641463013","1129","1","STATIC",3,3,8
612,"72","57-1","391.435383731527","1129","3","STATIC",3,3,8
612,"398","10621-1","316.786110506849","1129","1","STATIC",3,3,8
