win,dest,lg,n,n_stop,run
5250,to70,L1,46,0,g1_lcd200
5250,to70,L2p,33,0,g1_lcd200
5250,under,L2p,55,0,g1_lcd200
0,RFW,L1,224,0,h0
0,RFW,L2p,205,0,h0
0,to70,L1,26,0,h0
0,to70,L2p,80,0,h0
0,to71,L2p,23,0,h0
0,under,L1,4,0,h0
0,under,L2p,33,0,h0
150,RFW,L1,516,0,h0
150,RFW,L2p,242,0,h0
150,to70,L1,115,0,h0
150,to70,L2p,63,0,h0
150,to71,L1,2,0,h0
150,to71,L2p,36,0,h0
150,under,L1,11,0,h0
150,under,L2p,104,0,h0
300,RFW,L1,565,0,h0
300,RFW,L2p,405,0,h0
300,to70,L1,106,0,h0
300,to70,L2p,62,0,h0
300,to71,L1,1,0,h0
300,to71,L2p,7,0,h0
300,under,L2p,37,0,h0
450,RFW,L1,755,0,h0
450,RFW,L2p,287,0,h0
450,to70,L1,63,0,h0
450,to70,L2p,73,0,h0
450,to71,L1,18,0,h0
450,to71,L2p,32,0,h0
450,under,L1,2,0,h0
450,under,L2p,24,0,h0
600,RFW,L1,565,0,h0
600,RFW,L2p,345,0,h0
600,to70,L1,116,0,h0
600,to70,L2p,68,0,h0
600,to71,L1,12,0,h0
600,to71,L2p,6,0,h0
600,under,L2p,22,0,h0
750,RFW,L1,552,0,h0
750,RFW,L2p,206,0,h0
750,to70,L1,95,0,h0
750,to70,L2p,76,0,h0
750,to71,L1,7,0,h0
750,to71,L2p,31,0,h0
900,RFW,L1,743,0,h0
900,RFW,L2p,539,0,h0
900,to70,L1,98,0,h0
900,to70,L2p,140,0,h0
900,to71,L2p,20,0,h0
900,under,L2p,16,0,h0
1050,RFW,L1,943,0,h0
1050,RFW,L2p,460,0,h0
1050,to70,L1,231,0,h0
1050,to70,L2p,97,0,h0
1050,to71,L1,1,0,h0
1050,to71,L2p,45,0,h0
1050,under,L2p,93,0,h0
1200,RFW,L1,1015,0,h0
1200,RFW,L2p,705,0,h0
1200,to70,L1,247,0,h0
1200,to70,L2p,145,0,h0
1200,to71,L1,17,0,h0
1200,to71,L2p,58,0,h0
1200,under,L1,14,0,h0
1200,under,L2p,133,0,h0
1350,RFW,L1,1124,1,h0
1350,RFW,L2p,525,0,h0
1350,to70,L1,156,0,h0
1350,to70,L2p,106,0,h0
1350,to71,L1,15,0,h0
1350,to71,L2p,39,0,h0
1350,under,L1,2,0,h0
1350,under,L2p,141,0,h0
1500,RFW,L1,980,0,h0
1500,RFW,L2p,451,0,h0
1500,to70,L1,161,0,h0
1500,to70,L2p,149,0,h0
1500,to71,L2p,6,0,h0
1500,under,L1,6,0,h0
1500,under,L2p,137,0,h0
1650,RFW,L1,759,0,h0
1650,RFW,L2p,410,0,h0
1650,to70,L1,220,0,h0
1650,to70,L2p,207,0,h0
1650,to71,L2p,4,0,h0
1650,under,L1,9,0,h0
1650,under,L2p,111,0,h0
1800,RFW,L1,840,0,h0
1800,RFW,L2p,493,0,h0
1800,to70,L1,369,0,h0
1800,to70,L2p,235,0,h0
1800,to71,L2p,41,0,h0
1800,under,L1,3,0,h0
1800,under,L2p,100,0,h0
1950,RFW,L1,959,0,h0
1950,RFW,L2p,551,0,h0
1950,to70,L1,256,0,h0
1950,to70,L2p,195,0,h0
1950,to71,L1,13,0,h0
1950,to71,L2p,44,0,h0
1950,under,L1,3,0,h0
1950,under,L2p,191,0,h0
2100,RFW,L1,995,0,h0
2100,RFW,L2p,394,0,h0
2100,to70,L1,205,0,h0
2100,to70,L2p,242,0,h0
2100,to71,L1,1,0,h0
2100,under,L1,15,0,h0
2100,under,L2p,30,0,h0
2250,RFW,L1,839,0,h0
2250,RFW,L2p,436,0,h0
2250,to70,L1,195,0,h0
2250,to70,L2p,203,0,h0
2250,to71,L2p,10,0,h0
2250,under,L1,29,0,h0
2250,under,L2p,74,0,h0
