link,nc_lcd200,g1_lcd200,h0,h11,b0,d_g1_200,d_h11_1000,d_b0_1000,d_nc_1000v200
421,1.1,1.3,1.2,1.2,1.3,0.2,0.0,0.0,0.1
1210006903,12.3,12.5,12.3,12.6,12.3,0.2,0.4,0.0,0.0
62,3.2,3.4,3.2,3.2,3.3,0.2,0.0,0.1,-0.0
324,1.1,1.3,1.1,1.2,1.1,0.2,0.1,-0.1,0.0
10112,0.5,0.8,0.6,0.7,0.7,0.2,0.1,0.1,0.0
328,1.3,1.6,1.3,1.4,1.3,0.2,0.1,-0.1,-0.0
1220022501,14.4,14.5,14.3,13.8,13.9,0.2,-0.5,-0.4,-0.1
327,1.0,1.2,1.0,1.0,0.9,0.2,0.0,-0.1,0.0
1210009502,0.3,0.5,0.3,0.6,0.4,0.2,0.3,0.2,-0.0
1220002001,6.9,7.1,7.0,7.0,7.1,0.2,0.0,0.1,0.0
10593,0.3,0.4,0.3,0.3,0.3,0.1,0.0,0.0,0.0
10329,0.2,0.3,0.2,0.3,0.3,0.1,0.1,0.1,0.0
10619,0.5,0.7,0.5,0.7,0.7,0.1,0.2,0.2,-0.0
292,5.0,5.1,5.0,5.0,5.1,0.1,0.0,0.1,-0.1
10634,1.0,1.1,1.0,0.9,0.9,0.1,-0.1,-0.1,-0.0
10302,1.2,1.4,1.3,1.4,1.4,0.1,0.1,0.2,0.0
1220008303,0.5,0.6,0.5,0.6,0.6,0.1,0.1,0.1,0.0
10292,0.7,0.8,0.7,0.8,0.8,0.1,0.1,0.1,0.0
10642,1.0,1.1,0.9,0.7,0.8,0.1,-0.2,-0.1,-0.1
10437,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.0,0.0
1220006803,13.2,13.3,13.5,13.0,13.0,0.1,-0.5,-0.4,0.3
1220006801,5.4,5.5,5.6,5.3,5.4,0.1,-0.2,-0.2,0.2
10647,0.5,0.7,0.5,0.5,0.5,0.1,-0.0,-0.0,0.0
103,5.9,5.9,5.8,5.8,6.4,0.1,0.0,0.6,-0.1
10655,0.4,0.4,0.4,0.4,0.4,0.1,0.0,-0.0,0.0
10497,0.2,0.3,0.3,0.3,0.2,0.1,0.0,-0.0,0.0
10496,0.2,0.3,0.2,0.3,0.3,0.1,0.1,0.1,0.0
10654,0.7,0.8,0.7,0.7,0.7,0.1,0.0,0.0,-0.0
10493,0.2,0.4,0.2,0.3,0.4,0.1,0.1,0.1,-0.0
10672,0.2,0.3,0.2,0.2,0.3,0.1,0.1,0.1,0.0
10694,0.2,0.4,0.3,0.4,0.2,0.1,0.1,-0.0,0.0
10159,0.3,0.3,0.3,0.4,0.4,0.1,0.0,0.0,0.0
10689,0.9,0.9,0.9,0.9,0.9,0.1,0.0,0.0,-0.0
10023,1.0,1.1,1.0,1.0,1.0,0.1,-0.1,-0.1,0.0
380,2.3,2.4,2.5,2.4,2.2,0.1,-0.0,-0.3,0.2
1210008402,4.1,4.2,4.1,4.1,4.1,0.1,-0.0,0.0,0.0
213,1.0,1.2,1.0,1.2,1.1,0.1,0.2,0.1,-0.0
1220000102,5.3,5.5,5.3,5.4,5.4,0.1,0.1,0.1,-0.0
101,1.8,1.9,1.9,1.9,1.8,0.1,0.0,-0.1,0.0
1220000300,0.4,0.4,0.4,0.5,0.5,0.1,0.1,0.1,0.0
10517,13.3,13.3,13.5,13.1,12.6,0.1,-0.3,-0.9,0.2
10519,0.3,0.3,0.3,0.3,0.3,0.1,0.0,0.0,-0.0
10538,1.0,1.1,1.0,1.1,1.1,0.1,0.1,0.1,-0.0
115,9.2,9.3,9.3,9.2,9.3,0.1,-0.1,-0.0,0.1
10537,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0
10166,0.2,0.3,0.2,0.2,0.3,0.1,0.0,0.1,0.0
275,2.9,3.0,2.9,2.9,2.9,0.1,0.0,0.0,-0.0
10282,0.6,0.6,0.6,0.6,0.6,0.1,0.0,0.1,0.0
1220012103,5.9,6.0,5.9,5.7,4.8,0.1,-0.2,-1.1,-0.0
1220018403,6.2,6.3,6.3,6.4,6.4,0.1,0.2,0.1,0.1
10235,0.3,0.4,0.3,0.4,0.4,0.1,0.1,0.1,-0.0
417,1.2,1.3,1.2,1.2,1.2,0.1,-0.0,-0.0,0.1
298,10.1,10.1,10.1,10.3,10.0,0.1,0.2,-0.1,-0.0
190,0.4,0.4,0.4,0.4,0.4,0.1,0.0,-0.0,0.0
10266,0.1,0.2,0.1,0.1,0.1,0.1,-0.0,-0.0,0.0
10133,1.9,2.0,1.9,2.7,2.0,0.1,0.8,0.1,0.1
1220021802,2.0,2.2,2.0,2.1,2.1,0.1,0.0,0.0,0.0
1220021904,0.9,0.9,0.9,0.9,0.9,0.1,-0.1,-0.0,0.1
10545,0.9,1.0,1.0,1.1,0.6,0.1,0.1,-0.4,0.0
10244,0.6,0.6,0.6,0.6,0.6,0.1,0.0,0.0,0.0
10559,2.0,2.2,2.0,2.1,2.1,0.1,0.2,0.1,-0.1
1220011300,0.2,0.3,0.2,0.7,0.4,0.1,0.4,0.1,0.0
89,4.9,5.0,4.9,4.9,5.8,0.1,-0.0,0.9,-0.0
353,1.5,1.5,1.6,1.6,1.6,0.1,-0.0,0.0,0.1
10532,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0.0,-0.0
10119,0.4,0.5,0.4,0.5,0.5,0.1,0.0,0.0,0.1
1210018401,3.2,3.3,3.2,7.5,3.7,0.1,4.2,0.5,0.0
10590,0.6,0.7,0.7,0.8,0.7,0.1,0.1,0.0,0.0
1210012103,1.0,1.1,1.0,1.2,1.1,0.1,0.1,0.1,0.0
10200,1.6,1.7,1.6,1.6,1.6,0.1,0.0,0.0,0.0
410,1.7,1.8,1.6,1.7,1.7,0.1,0.1,0.1,-0.0
1220009502,0.7,0.7,0.7,0.7,0.7,-0.0,-0.0,-0.0,-0.0
1220009503,1.5,1.5,1.5,1.5,1.5,0.0,-0.0,-0.0,0.0
