link,veh_h_h0,stop_veh_h_h0,veh_h_h11,stop_veh_h_h11,veh_h_b0,stop_veh_h_b0,dTTT_h11,dTTT_b0,dStop_h11,dStop_b0
1220012002,0.4,0.0,0.4,0.1,0.6,0.2,0.1,0.2,0.1,0.2
1220018302,2.9,0.0,3.0,0.1,2.9,0.0,0.1,0.1,0.0,0.0
1220018301,3.8,2.2,3.9,2.2,3.4,1.8,0.1,-0.4,0.0,-0.3
1220015100,4.5,0.0,4.5,0.0,4.5,0.0,0.1,-0.0,0.0,0.0
1220008303,0.5,0.0,0.6,0.0,0.6,0.0,0.1,0.1,0.0,0.0
1210012103,1.0,0.0,1.2,0.0,1.1,0.0,0.1,0.1,0.0,0.0
1210012001,0.6,0.5,0.7,0.6,0.5,0.5,0.1,-0.1,0.1,-0.0
1220000102,5.3,0.0,5.4,0.0,5.4,0.0,0.1,0.1,0.0,0.0
1220000300,0.4,0.0,0.5,0.0,0.5,0.0,0.1,0.1,0.0,0.0
1220008203,0.8,0.0,0.9,0.0,0.8,0.0,0.1,0.0,0.0,0.0
93,1.4,0.0,1.5,0.0,1.5,0.0,0.1,0.1,0.0,0.0
109,7.1,0.0,7.2,0.0,7.2,0.0,0.1,0.1,0.0,0.0
10675,0.2,0.0,0.3,0.0,0.2,0.0,0.1,0.0,0.0,0.0
10749,0.4,0.0,0.4,0.0,0.4,0.0,0.1,0.0,0.0,0.0
116,0.9,0.0,1.0,0.0,1.0,0.0,0.1,0.1,0.0,0.0
10694,0.3,0.0,0.4,0.0,0.2,0.0,0.1,-0.0,0.0,0.0
10699,14.2,7.2,14.3,7.3,14.2,7.0,0.1,-0.0,0.1,-0.1
10537,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0
10672,0.2,0.0,0.2,0.0,0.3,0.0,0.1,0.1,0.0,0.0
10645,4.7,0.0,4.8,0.0,5.6,0.0,0.1,0.9,0.0,0.0
10661,1.4,0.0,1.5,0.0,1.4,0.0,0.1,-0.0,-0.0,-0.0
381,0.8,0.0,0.9,0.0,0.9,0.0,0.1,0.1,0.0,0.0
10496,0.2,0.0,0.3,0.0,0.3,0.0,0.1,0.1,0.0,0.0
10523,8.7,7.9,8.7,8.0,8.2,7.5,0.1,-0.4,0.1,-0.4
10493,0.2,0.0,0.3,0.0,0.4,0.0,0.1,0.1,0.0,0.0
10501,7.8,0.0,7.8,0.0,7.8,0.0,0.1,0.0,0.0,0.0
10512,0.1,0.1,0.2,0.1,0.1,0.0,0.1,-0.0,0.1,-0.0
10538,1.0,0.0,1.1,0.0,1.1,0.0,0.1,0.1,0.0,0.0
10532,0.2,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.0,0.0
10545,1.0,0.8,1.1,0.9,0.6,0.5,0.1,-0.4,0.1,-0.4
10590,0.7,0.1,0.8,0.2,0.7,0.1,0.1,0.0,0.1,0.0
309,8.7,0.0,8.8,0.0,8.8,0.0,0.1,0.1,0.0,0.0
279,2.4,0.0,2.5,0.0,2.4,0.0,0.1,0.0,0.0,0.0
10396,0.3,0.0,0.4,0.1,0.3,0.1,0.1,0.0,0.1,0.0
324,1.1,0.0,1.2,0.0,1.1,0.0,0.1,-0.1,0.0,0.0
10379,0.3,0.1,0.4,0.1,0.4,0.1,0.1,0.1,-0.0,0.0
328,1.3,0.0,1.4,0.0,1.3,0.0,0.1,-0.1,0.0,0.0
10183,0.4,0.0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.0
10194,0.1,0.0,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1
10211,0.4,0.0,0.5,0.1,0.4,0.1,0.1,0.0,0.1,0.0
10329,0.2,0.0,0.3,0.0,0.3,0.0,0.1,0.1,0.0,0.0
10292,0.7,0.0,0.8,0.0,0.8,0.0,0.1,0.1,0.0,0.0
10302,1.3,0.0,1.4,0.1,1.4,0.1,0.1,0.2,0.1,0.1
10250,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0
10235,0.3,0.0,0.4,0.0,0.4,0.0,0.1,0.1,0.0,0.0
10437,0.1,0.0,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.0
10112,0.6,0.2,0.7,0.3,0.7,0.3,0.1,0.1,0.1,0.1
410,1.6,0.0,1.7,0.0,1.7,0.0,0.1,0.1,0.0,0.0
412,4.2,0.0,4.4,0.0,4.3,0.0,0.1,0.1,0.0,0.0
408,7.7,0.0,7.8,0.0,7.9,0.0,0.1,0.3,-0.0,0.0
409,2.2,0.0,2.2,0.0,2.2,0.0,0.1,0.1,0.0,0.0
1220021903,6.5,1.0,6.6,1.2,6.6,1.3,0.1,0.1,0.2,0.2
1220022601,1.7,0.0,1.8,0.0,1.7,0.0,0.1,0.0,0.0,0.0
10601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.3,0.0,1.3,0.0,1.4,0.0,0.0,0.1,0.0,0.0
10234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
5,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0
6,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0
7,0.1,0.0,0.1,0.0,0.1,0.0,-0.0,-0.0,0.0,0.0
8,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
12,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0
13,1.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0
14,0.5,0.0,0.5,0.0,0.5,0.0,-0.0,-0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
20,0.6,0.0,0.5,0.0,0.5,0.0,-0.0,-0.0,0.0,0.0
22,0.4,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0
23,0.4,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0
10222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,5.0,0.0,5.0,0.0,5.0,0.0,0.0,-0.0,0.0,0.0
1220018503,0.2,0.0,0.2,0.0,0.2,0.0,-0.0,-0.1,0.0,0.0
27,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
28,5.2,0.0,5.2,0.0,5.2,0.0,-0.0,0.0,0.0,0.0
41,1.6,0.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0
42,3.3,0.0,3.3,0.0,3.3,0.0,0.0,0.0,0.0,0.0
1220011003,1.6,0.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0
1220011103,2.3,0.3,2.3,0.2,2.3,0.2,0.0,0.0,-0.1,-0.1
1220011403,0.6,0.0,0.6,0.0,0.6,0.0,-0.0,-0.0,0.0,0.0
1220012003,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1220012101,0.1,0.0,0.1,0.0,0.1,0.0,-0.0,0.0,0.0,0.0
1220008603,0.1,0.0,0.1,0.0,0.1,0.0,-0.0,-0.0,0.0,0.0
1220009502,0.7,0.0,0.7,0.0,0.7,0.0,-0.0,-0.0,0.0,0.0
1220009503,1.5,0.0,1.5,0.0,1.5,0.0,-0.0,-0.0,0.0,0.0
