win,n,n_stop,spd,n_L1,n_stop_L1,spd_L1,zone,run
3150,62.7,20.9,28.0,45.3,20.7,10.9,10682_to68,g1_lcd200
3300,55.4,12.2,35.0,37.0,12.2,17.9,10682_to68,g1_lcd200
3450,50.5,10.9,38.1,34.1,10.9,18.4,10682_to68,g1_lcd200
3600,57.5,14.3,37.4,37.2,14.2,14.9,10682_to68,g1_lcd200
3750,42.8,6.7,47.0,28.8,6.7,24.7,10682_to68,g1_lcd200
3900,45.4,6.5,45.1,30.1,6.4,24.7,10682_to68,g1_lcd200
4050,56.5,13.1,35.6,37.8,12.9,15.0,10682_to68,g1_lcd200
4200,53.0,13.5,38.5,35.5,13.4,16.3,10682_to68,g1_lcd200
4350,50.4,10.1,39.2,33.3,10.1,19.0,10682_to68,g1_lcd200
4500,60.2,17.8,33.0,39.9,17.8,13.4,10682_to68,g1_lcd200
4650,46.7,10.7,41.8,32.7,10.7,22.6,10682_to68,g1_lcd200
4800,59.7,13.5,37.2,38.0,13.4,15.9,10682_to68,g1_lcd200
4950,46.7,6.4,48.2,28.4,6.4,25.3,10682_to68,g1_lcd200
5100,37.3,1.7,72.1,19.0,1.7,48.4,10682_to68,g1_lcd200
5250,46.7,5.6,51.2,26.8,5.6,27.4,10682_to68,g1_lcd200
150,5.7,0.0,122.6,1.8,0.0,126.7,10481_to32,g1_lcd200
300,14.4,0.0,116.3,4.2,0.0,116.2,10481_to32,g1_lcd200
450,15.6,0.0,114.0,4.8,0.0,114.3,10481_to32,g1_lcd200
600,13.8,0.0,117.4,4.6,0.0,118.7,10481_to32,g1_lcd200
750,15.6,0.0,115.2,5.0,0.0,115.4,10481_to32,g1_lcd200
900,15.2,0.0,114.2,5.2,0.0,112.6,10481_to32,g1_lcd200
1050,18.7,0.0,113.7,4.8,0.0,109.9,10481_to32,g1_lcd200
1200,23.3,0.0,102.9,7.8,0.0,101.9,10481_to32,g1_lcd200
1350,17.3,0.0,114.6,6.0,0.0,115.5,10481_to32,g1_lcd200
1500,14.7,0.0,115.2,4.3,0.0,112.7,10481_to32,g1_lcd200
1650,15.3,0.0,114.3,5.5,0.0,114.7,10481_to32,g1_lcd200
1800,15.9,0.0,112.4,4.7,0.0,111.5,10481_to32,g1_lcd200
1950,13.5,0.0,116.0,4.5,0.0,114.3,10481_to32,g1_lcd200
2100,12.5,0.0,114.8,4.5,0.0,113.3,10481_to32,g1_lcd200
2250,13.3,0.0,113.8,4.3,0.0,113.2,10481_to32,g1_lcd200
2400,13.5,0.0,113.3,4.5,0.0,115.6,10481_to32,g1_lcd200
2550,11.6,0.0,115.9,4.1,0.0,116.0,10481_to32,g1_lcd200
2700,11.3,0.0,116.8,3.1,0.0,118.1,10481_to32,g1_lcd200
2850,10.7,0.0,112.0,3.9,0.0,110.2,10481_to32,g1_lcd200
3000,12.4,0.0,117.4,3.5,0.0,114.0,10481_to32,g1_lcd200
3150,10.9,0.0,116.5,3.8,0.0,114.4,10481_to32,g1_lcd200
3300,10.9,0.0,116.9,3.7,0.0,116.9,10481_to32,g1_lcd200
3450,14.0,0.0,112.4,4.7,0.0,111.3,10481_to32,g1_lcd200
3600,12.4,0.0,114.4,4.5,0.0,115.9,10481_to32,g1_lcd200
3750,14.6,0.0,116.1,5.1,0.0,116.0,10481_to32,g1_lcd200
3900,12.2,0.0,115.5,3.9,0.0,116.4,10481_to32,g1_lcd200
4050,10.0,0.0,119.0,3.1,0.0,122.5,10481_to32,g1_lcd200
4200,16.1,0.0,115.3,4.9,0.0,112.1,10481_to32,g1_lcd200
4350,11.9,0.0,116.2,4.1,0.0,116.8,10481_to32,g1_lcd200
4500,10.6,0.0,115.4,3.6,0.0,116.7,10481_to32,g1_lcd200
4650,15.5,0.0,111.3,4.5,0.0,111.4,10481_to32,g1_lcd200
4800,11.0,0.0,119.0,3.5,0.0,121.3,10481_to32,g1_lcd200
4950,13.5,0.0,114.8,4.9,0.0,110.3,10481_to32,g1_lcd200
5100,16.5,0.0,112.1,4.9,0.0,109.8,10481_to32,g1_lcd200
5250,13.3,0.2,107.7,4.3,0.2,98.8,10481_to32,g1_lcd200
150,5.0,0.0,102.2,2.3,0.0,87.6,10483_to31,g1_lcd200
300,12.5,0.0,111.2,4.6,0.0,99.5,10483_to31,g1_lcd200
450,13.2,0.0,109.4,5.0,0.0,96.0,10483_to31,g1_lcd200
600,12.0,0.1,110.8,4.7,0.0,104.4,10483_to31,g1_lcd200
750,13.1,0.0,106.1,5.7,0.0,94.1,10483_to31,g1_lcd200
900,14.8,0.3,100.6,6.3,0.2,85.3,10483_to31,g1_lcd200
1050,16.1,0.1,103.8,5.7,0.1,87.1,10483_to31,g1_lcd200
1200,20.2,0.1,98.4,7.6,0.1,80.8,10483_to31,g1_lcd200
1350,16.0,0.1,104.9,7.2,0.1,94.8,10483_to31,g1_lcd200
1500,12.9,0.0,106.2,4.9,0.0,90.4,10483_to31,g1_lcd200
1650,13.4,0.0,102.7,6.0,0.0,88.4,10483_to31,g1_lcd200
1800,15.3,0.1,95.5,6.4,0.1,78.2,10483_to31,g1_lcd200
1950,11.9,0.0,106.1,5.2,0.0,92.8,10483_to31,g1_lcd200
2100,10.3,0.0,106.4,4.4,0.0,92.2,10483_to31,g1_lcd200
2250,13.3,0.0,103.8,5.6,0.0,90.6,10483_to31,g1_lcd200
2400,11.0,0.0,103.3,5.1,0.0,92.6,10483_to31,g1_lcd200
2550,10.7,0.1,101.5,5.4,0.1,86.8,10483_to31,g1_lcd200
2700,10.3,0.0,104.3,4.1,0.0,87.8,10483_to31,g1_lcd200
2850,11.3,0.2,95.1,5.1,0.0,80.8,10483_to31,g1_lcd200
3000,10.7,0.1,103.1,4.3,0.0,86.8,10483_to31,g1_lcd200
3150,9.3,0.0,106.1,4.3,0.0,92.1,10483_to31,g1_lcd200
3300,11.1,0.1,96.5,5.7,0.1,86.0,10483_to31,g1_lcd200
3450,9.7,0.0,107.7,3.7,0.0,96.7,10483_to31,g1_lcd200
3600,10.0,0.0,107.6,4.0,0.0,95.9,10483_to31,g1_lcd200
3750,13.1,0.1,105.2,6.3,0.0,96.1,10483_to31,g1_lcd200
3900,10.4,0.0,111.4,4.5,0.0,104.8,10483_to31,g1_lcd200
4050,8.4,0.0,108.1,3.6,0.0,96.4,10483_to31,g1_lcd200
4200,12.5,0.0,109.1,4.8,0.0,98.7,10483_to31,g1_lcd200
4350,10.3,0.0,110.5,4.1,0.0,105.2,10483_to31,g1_lcd200
4500,9.4,0.0,109.8,4.0,0.0,103.3,10483_to31,g1_lcd200
4650,12.7,0.1,107.9,4.4,0.0,99.7,10483_to31,g1_lcd200
4800,12.1,3.0,78.7,6.7,3.0,49.9,10483_to31,g1_lcd200
4950,33.5,18.3,36.5,25.3,18.0,14.8,10483_to31,g1_lcd200
5100,59.2,44.3,21.5,46.2,42.2,5.1,10483_to31,g1_lcd200
5250,84.6,69.3,12.9,65.8,63.9,1.4,10483_to31,g1_lcd200
150,8.1,0.0,119.1,2.3,0.0,118.9,10638_to70,g1_lcd200
300,13.9,0.0,115.5,3.5,0.0,105.9,10638_to70,g1_lcd200
450,21.4,0.5,90.8,6.0,0.0,85.5,10638_to70,g1_lcd200
600,19.1,0.1,98.7,5.3,0.0,85.3,10638_to70,g1_lcd200
750,20.2,0.3,94.0,5.8,0.0,77.1,10638_to70,g1_lcd200
900,21.4,0.1,95.7,6.6,0.1,77.0,10638_to70,g1_lcd200
1050,20.5,0.0,104.2,6.0,0.0,91.8,10638_to70,g1_lcd200
1200,22.9,0.0,98.2,7.0,0.0,84.2,10638_to70,g1_lcd200
1350,26.5,0.5,81.4,7.8,0.2,66.6,10638_to70,g1_lcd200
1500,23.4,0.6,83.9,7.3,0.2,73.6,10638_to70,g1_lcd200
1650,24.9,0.0,82.7,7.3,0.0,67.4,10638_to70,g1_lcd200
1800,21.6,0.1,99.7,6.7,0.0,85.8,10638_to70,g1_lcd200
1950,22.2,0.3,89.9,6.9,0.0,72.0,10638_to70,g1_lcd200
2100,20.3,0.2,74.2,6.8,0.2,58.7,10638_to70,g1_lcd200
2250,22.2,0.2,71.2,7.2,0.1,60.3,10638_to70,g1_lcd200
2400,20.3,0.0,77.1,5.5,0.0,66.2,10638_to70,g1_lcd200
2550,24.1,0.1,74.7,7.4,0.0,65.1,10638_to70,g1_lcd200
2700,22.8,0.0,81.0,6.1,0.0,72.7,10638_to70,g1_lcd200
2850,29.1,0.0,77.5,8.4,0.0,71.2,10638_to70,g1_lcd200
3000,34.1,0.6,69.7,9.8,0.4,61.0,10638_to70,g1_lcd200
3150,25.5,0.4,71.5,6.8,0.0,59.8,10638_to70,g1_lcd200
3300,23.5,0.1,77.4,6.7,0.0,69.1,10638_to70,g1_lcd200
3450,27.7,0.1,74.6,8.3,0.0,68.6,10638_to70,g1_lcd200
3600,29.4,0.4,71.5,9.1,0.2,62.7,10638_to70,g1_lcd200
3750,23.3,0.0,79.0,6.5,0.0,69.9,10638_to70,g1_lcd200
3900,19.2,0.0,78.3,4.8,0.0,68.1,10638_to70,g1_lcd200
4050,21.7,0.0,76.8,6.4,0.0,65.4,10638_to70,g1_lcd200
4200,22.8,0.0,75.8,6.2,0.0,66.2,10638_to70,g1_lcd200
4350,19.0,0.0,78.6,4.8,0.0,67.9,10638_to70,g1_lcd200
4500,18.3,0.0,77.9,5.4,0.0,68.5,10638_to70,g1_lcd200
4650,19.5,0.0,78.6,4.4,0.0,67.1,10638_to70,g1_lcd200
4800,21.8,0.0,79.3,5.9,0.0,70.1,10638_to70,g1_lcd200
4950,25.1,0.0,78.6,6.5,0.0,70.8,10638_to70,g1_lcd200
5100,23.3,0.0,94.3,6.5,0.0,80.7,10638_to70,g1_lcd200
5250,17.3,0.0,101.0,5.3,0.0,86.4,10638_to70,g1_lcd200
150,11.4,0.0,117.9,4.2,0.0,117.7,10645_to68,g1_lcd200
300,16.2,0.0,116.1,5.9,0.0,111.4,10645_to68,g1_lcd200
450,22.1,0.5,104.6,7.6,0.0,107.0,10645_to68,g1_lcd200
600,19.5,0.1,108.4,6.8,0.0,103.4,10645_to68,g1_lcd200
750,19.4,0.3,108.5,6.8,0.0,104.1,10645_to68,g1_lcd200
900,20.7,0.0,111.3,8.0,0.0,107.6,10645_to68,g1_lcd200
1050,22.6,0.0,109.0,8.3,0.0,105.9,10645_to68,g1_lcd200
1200,20.2,0.0,113.3,6.3,0.0,112.0,10645_to68,g1_lcd200
1350,26.2,0.4,90.8,8.9,0.1,81.9,10645_to68,g1_lcd200
1500,19.9,0.2,106.8,6.8,0.0,108.4,10645_to68,g1_lcd200
1650,22.5,0.0,100.9,7.7,0.0,99.1,10645_to68,g1_lcd200
1800,20.8,0.0,112.3,8.0,0.0,108.7,10645_to68,g1_lcd200
1950,23.4,0.3,99.2,8.3,0.0,92.1,10645_to68,g1_lcd200
2100,20.6,0.2,79.7,9.1,0.2,73.1,10645_to68,g1_lcd200
2250,19.6,0.1,82.3,7.1,0.0,81.5,10645_to68,g1_lcd200
2400,21.4,0.0,83.8,7.2,0.0,82.7,10645_to68,g1_lcd200
2550,25.0,0.1,83.2,9.4,0.0,82.5,10645_to68,g1_lcd200
2700,24.0,0.0,84.6,7.1,0.0,82.8,10645_to68,g1_lcd200
2850,30.9,0.0,82.6,11.8,0.0,81.2,10645_to68,g1_lcd200
3000,32.1,0.0,82.1,11.5,0.0,79.6,10645_to68,g1_lcd200
3150,25.6,0.4,78.7,8.0,0.0,77.6,10645_to68,g1_lcd200
3300,24.6,0.0,83.7,9.4,0.0,81.7,10645_to68,g1_lcd200
3450,27.9,0.0,83.6,9.7,0.0,82.9,10645_to68,g1_lcd200
3600,29.3,0.1,81.5,11.1,0.1,77.9,10645_to68,g1_lcd200
3750,25.1,0.0,84.5,9.1,0.0,83.8,10645_to68,g1_lcd200
3900,18.0,0.0,85.4,4.8,0.0,85.7,10645_to68,g1_lcd200
4050,21.1,0.0,84.2,6.3,0.0,84.4,10645_to68,g1_lcd200
4200,21.6,0.0,84.2,6.2,0.0,84.7,10645_to68,g1_lcd200
4350,19.5,0.0,85.4,6.5,0.0,85.1,10645_to68,g1_lcd200
4500,18.2,0.0,84.5,6.2,0.0,83.9,10645_to68,g1_lcd200
4650,18.9,0.0,84.9,4.4,0.0,86.4,10645_to68,g1_lcd200
4800,22.5,0.0,84.3,7.1,0.0,83.6,10645_to68,g1_lcd200
4950,25.6,0.0,84.0,8.3,0.0,83.4,10645_to68,g1_lcd200
5100,21.5,0.0,107.4,6.7,0.0,105.2,10645_to68,g1_lcd200
5250,17.3,0.0,113.9,5.9,0.0,112.1,10645_to68,g1_lcd200
0,4.5,0.0,119.9,1.9,0.0,118.5,10491_to32,g1_lcd200
150,22.2,0.0,108.6,9.0,0.0,98.6,10491_to32,g1_lcd200
300,29.4,0.6,81.8,11.3,0.2,70.6,10491_to32,g1_lcd200
450,31.1,0.1,89.9,12.1,0.1,73.0,10491_to32,g1_lcd200
600,28.3,0.3,95.0,10.9,0.0,90.7,10491_to32,g1_lcd200
750,38.6,1.0,72.8,16.3,0.8,49.5,10491_to32,g1_lcd200
900,34.6,0.8,78.1,14.3,0.5,60.9,10491_to32,g1_lcd200
1050,34.1,0.2,84.4,13.4,0.2,65.7,10491_to32,g1_lcd200
1200,38.0,1.2,70.7,15.9,1.0,49.0,10491_to32,g1_lcd200
1350,34.5,0.6,74.1,16.5,0.6,52.8,10491_to32,g1_lcd200
1500,35.2,0.4,79.8,14.3,0.3,60.1,10491_to32,g1_lcd200
1650,35.6,1.1,70.2,12.6,0.5,58.6,10491_to32,g1_lcd200
1800,32.2,0.2,81.3,14.3,0.2,61.0,10491_to32,g1_lcd200
1950,32.1,0.3,81.5,14.5,0.2,59.8,10491_to32,g1_lcd200
2100,35.3,0.7,68.8,14.8,0.6,47.1,10491_to32,g1_lcd200
2250,32.5,0.0,75.0,13.5,0.0,62.2,10491_to32,g1_lcd200
2400,32.8,0.0,76.9,12.7,0.0,66.7,10491_to32,g1_lcd200
2550,30.9,0.0,76.6,13.1,0.0,65.3,10491_to32,g1_lcd200
2700,35.5,1.1,68.1,15.9,1.1,50.3,10491_to32,g1_lcd200
2850,36.7,1.9,62.9,17.0,1.9,42.3,10491_to32,g1_lcd200
3000,33.6,0.8,69.3,14.7,0.8,51.8,10491_to32,g1_lcd200
3150,34.8,0.4,72.2,14.3,0.4,57.8,10491_to32,g1_lcd200
3300,35.9,0.0,72.2,13.1,0.0,60.1,10491_to32,g1_lcd200
3450,38.1,0.4,69.5,14.3,0.1,59.8,10491_to32,g1_lcd200
3600,35.5,0.6,70.3,14.2,0.6,51.8,10491_to32,g1_lcd200
3750,39.4,1.9,61.9,16.5,1.8,38.7,10491_to32,g1_lcd200
3900,31.6,0.4,69.1,14.5,0.4,51.9,10491_to32,g1_lcd200
4050,37.0,1.0,68.3,15.0,1.0,50.6,10491_to32,g1_lcd200
4200,33.6,0.6,70.9,13.6,0.5,54.4,10491_to32,g1_lcd200
4350,31.6,0.3,75.7,12.4,0.3,62.4,10491_to32,g1_lcd200
4500,29.9,0.0,80.1,11.4,0.0,72.8,10491_to32,g1_lcd200
4650,30.7,0.3,74.0,11.7,0.3,61.7,10491_to32,g1_lcd200
4800,41.1,0.5,70.7,15.7,0.5,53.1,10491_to32,g1_lcd200
4950,33.7,0.0,77.9,11.2,0.0,72.6,10491_to32,g1_lcd200
5100,31.1,0.2,88.0,11.1,0.2,75.0,10491_to32,g1_lcd200
5250,32.3,0.0,85.9,12.4,0.0,66.2,10491_to32,g1_lcd200
0,5.8,0.0,117.8,2.5,0.0,113.9,10479_to31,g1_lcd200
150,24.2,0.0,107.3,10.7,0.0,100.1,10479_to31,g1_lcd200
300,33.3,0.6,84.8,13.9,0.2,74.4,10479_to31,g1_lcd200
450,33.0,0.2,87.6,14.4,0.2,71.3,10479_to31,g1_lcd200
600,29.3,0.0,100.0,12.3,0.0,92.3,10479_to31,g1_lcd200
750,45.2,1.4,69.1,20.2,1.3,47.9,10479_to31,g1_lcd200
900,30.2,0.3,91.4,12.3,0.1,79.1,10479_to31,g1_lcd200
1050,42.5,1.8,77.2,18.6,1.8,56.7,10479_to31,g1_lcd200
1200,53.8,4.7,52.0,26.4,4.6,31.2,10479_to31,g1_lcd200
1350,42.7,0.9,62.3,21.2,0.9,43.9,10479_to31,g1_lcd200
1500,44.4,1.5,64.1,20.7,1.5,44.2,10479_to31,g1_lcd200
1650,43.8,2.0,64.3,17.9,1.4,51.3,10479_to31,g1_lcd200
1800,43.4,1.2,64.4,21.4,1.2,45.6,10479_to31,g1_lcd200
1950,40.1,0.5,69.7,18.8,0.5,51.2,10479_to31,g1_lcd200
2100,48.2,2.2,55.4,24.4,2.1,34.7,10479_to31,g1_lcd200
2250,43.6,1.5,61.2,22.0,1.5,43.4,10479_to31,g1_lcd200
2400,40.8,1.4,66.0,19.1,1.4,51.3,10479_to31,g1_lcd200
2550,37.7,0.7,69.2,17.9,0.7,56.6,10479_to31,g1_lcd200
2700,44.2,3.9,59.3,23.3,3.9,40.9,10479_to31,g1_lcd200
2850,48.6,3.9,51.4,27.2,3.9,31.4,10479_to31,g1_lcd200
3000,48.3,3.7,52.3,24.5,3.6,34.3,10479_to31,g1_lcd200
3150,41.2,1.3,62.9,20.2,1.3,47.2,10479_to31,g1_lcd200
3300,44.0,1.1,65.7,18.6,1.0,49.8,10479_to31,g1_lcd200
3450,45.4,0.7,62.3,20.4,0.7,46.8,10479_to31,g1_lcd200
3600,44.9,1.9,60.3,21.7,1.9,41.9,10479_to31,g1_lcd200
3750,52.7,5.5,49.1,28.2,5.4,27.9,10479_to31,g1_lcd200
3900,48.6,3.0,49.8,26.2,3.0,31.5,10479_to31,g1_lcd200
4050,46.6,3.3,56.1,22.9,3.3,37.4,10479_to31,g1_lcd200
4200,47.0,2.5,56.6,23.5,2.4,38.1,10479_to31,g1_lcd200
4350,43.6,2.2,59.4,22.3,2.2,40.7,10479_to31,g1_lcd200
4500,38.9,0.9,67.6,18.4,0.9,54.1,10479_to31,g1_lcd200
4650,45.5,2.4,56.7,20.9,2.2,41.7,10479_to31,g1_lcd200
4800,47.0,1.2,64.5,20.7,1.2,48.4,10479_to31,g1_lcd200
4950,43.9,1.3,65.7,18.2,1.3,53.1,10479_to31,g1_lcd200
5100,40.4,0.8,72.3,18.1,0.8,53.9,10479_to31,g1_lcd200
5250,38.8,0.1,79.3,15.9,0.1,65.5,10479_to31,g1_lcd200
0,1.6,0.0,124.6,0.5,0.0,124.7,10643_to70,h0
150,23.1,0.0,108.7,8.9,0.0,101.3,10643_to70,h0
300,33.2,0.6,83.9,14.1,0.5,70.3,10643_to70,h0
450,29.0,0.6,93.0,11.3,0.6,77.7,10643_to70,h0
600,30.5,0.5,86.8,13.5,0.5,69.3,10643_to70,h0
750,36.3,1.8,77.6,15.9,1.5,55.4,10643_to70,h0
900,65.2,12.8,38.9,32.6,11.9,18.2,10643_to70,h0
1050,100.1,27.4,24.3,48.2,25.4,8.4,10643_to70,h0
1200,98.6,29.5,24.5,48.6,28.1,7.6,10643_to70,h0
1350,103.6,36.5,20.3,56.1,35.3,5.3,10643_to70,h0
1500,123.1,51.9,16.3,63.1,47.1,3.4,10643_to70,h0
1650,133.6,58.9,15.2,65.0,51.3,2.9,10643_to70,h0
1800,137.2,61.2,13.9,66.5,52.9,2.6,10643_to70,h0
1950,134.4,60.7,14.1,67.2,54.0,2.5,10643_to70,h0
2100,142.5,71.3,12.1,70.0,59.7,1.8,10643_to70,h0
2250,155.1,81.4,11.3,65.8,52.8,2.4,10643_to70,h0
2400,162.2,102.3,8.9,66.3,56.6,2.1,10643_to70,h0
2550,159.6,89.9,10.6,64.9,51.9,2.7,10643_to70,h0
2700,171.7,111.5,8.4,66.1,57.3,1.9,10643_to70,h0
2850,173.0,108.2,8.5,66.6,55.6,2.1,10643_to70,h0
3000,167.4,99.1,9.2,68.0,57.9,1.8,10643_to70,h0
3150,158.2,86.9,10.5,66.8,55.3,2.3,10643_to70,h0
3300,179.5,114.7,8.5,70.6,63.4,1.3,10643_to70,h0
3450,198.5,130.8,6.8,69.0,59.8,1.7,10643_to70,h0
3600,194.7,122.5,7.3,69.9,60.7,1.7,10643_to70,h0
3750,191.7,119.4,7.3,67.4,57.1,2.0,10643_to70,h0
3900,179.4,106.5,8.8,67.3,58.9,1.6,10643_to70,h0
4050,182.4,109.5,8.3,67.6,60.9,1.5,10643_to70,h0
4200,191.2,122.6,7.3,67.1,60.3,1.4,10643_to70,h0
4350,177.8,101.8,8.5,65.3,56.6,1.6,10643_to70,h0
4500,182.4,113.4,7.9,68.8,62.7,1.3,10643_to70,h0
4650,182.2,113.8,7.9,66.5,58.8,1.6,10643_to70,h0
4800,166.8,94.9,9.4,62.9,51.1,2.4,10643_to70,h0
4950,151.8,85.0,10.4,65.1,55.0,1.9,10643_to70,h0
5100,161.8,96.2,9.7,66.8,57.3,1.7,10643_to70,h0
5250,160.2,98.6,9.1,67.7,58.9,1.6,10643_to70,h0
0,0.9,0.0,129.3,0.3,0.0,126.8,10682_to68,h0
150,21.5,0.1,104.5,9.4,0.0,91.5,10682_to68,h0
300,27.8,0.8,86.3,13.2,0.6,68.9,10682_to68,h0
450,49.2,9.7,51.5,28.3,9.3,27.4,10682_to68,h0
600,43.8,7.0,53.7,26.9,7.0,26.4,10682_to68,h0
750,61.1,16.2,39.8,36.3,15.1,15.7,10682_to68,h0
900,73.3,22.8,29.8,46.5,22.3,9.9,10682_to68,h0
1050,69.8,18.8,33.6,41.8,18.5,12.6,10682_to68,h0
1200,71.7,24.1,30.0,47.5,23.9,9.6,10682_to68,h0
1350,84.3,32.6,23.6,54.5,31.9,6.2,10682_to68,h0
1500,84.7,38.2,20.9,58.3,37.4,5.8,10682_to68,h0
1650,94.8,41.8,20.3,60.0,40.5,5.3,10682_to68,h0
1800,105.0,52.7,15.2,67.3,50.4,3.3,10682_to68,h0
1950,122.3,63.1,15.0,67.5,52.1,3.2,10682_to68,h0
2100,119.2,71.7,12.6,61.1,44.8,4.8,10682_to68,h0
2250,154.8,90.7,10.2,62.9,44.5,4.2,10682_to68,h0
2400,171.5,109.0,8.2,58.1,41.8,4.8,10682_to68,h0
2550,174.1,107.7,8.6,64.8,47.8,3.4,10682_to68,h0
2700,191.7,123.6,7.5,58.4,39.9,4.8,10682_to68,h0
2850,189.5,124.1,7.2,63.3,45.3,3.8,10682_to68,h0
3000,188.5,110.5,8.3,58.3,39.1,4.5,10682_to68,h0
3150,194.0,125.0,7.2,60.7,44.9,3.7,10682_to68,h0
3300,212.9,154.0,5.9,67.0,56.5,2.0,10682_to68,h0
3450,201.7,137.3,6.6,62.9,47.1,3.2,10682_to68,h0
3600,206.9,138.8,6.3,66.3,50.5,3.2,10682_to68,h0
3750,200.9,131.8,7.1,59.7,41.6,4.9,10682_to68,h0
3900,199.9,132.6,7.0,64.2,48.4,3.5,10682_to68,h0
4050,212.3,143.1,6.3,66.9,51.2,3.3,10682_to68,h0
4200,205.8,135.5,6.6,65.1,48.9,3.3,10682_to68,h0
4350,191.4,122.7,7.1,69.1,58.0,2.1,10682_to68,h0
4500,200.1,131.5,7.1,58.4,42.5,4.7,10682_to68,h0
4650,201.2,131.3,7.3,58.2,40.4,4.9,10682_to68,h0
4800,180.0,110.9,9.0,51.8,30.6,7.3,10682_to68,h0
4950,172.1,108.9,8.3,65.6,49.1,3.2,10682_to68,h0
5100,180.6,117.5,7.8,68.7,55.1,2.6,10682_to68,h0
5250,186.4,123.1,7.2,60.8,44.6,4.0,10682_to68,h0
150,5.7,0.0,122.6,1.8,0.0,126.7,10481_to32,h0
300,14.2,0.0,116.6,4.4,0.0,116.0,10481_to32,h0
450,14.6,0.0,115.4,4.6,0.0,115.0,10481_to32,h0
600,15.5,0.0,114.5,5.3,0.0,112.6,10481_to32,h0
750,15.8,0.0,116.1,5.4,0.0,114.9,10481_to32,h0
900,14.9,0.0,114.2,5.3,0.0,112.0,10481_to32,h0
1050,16.2,0.0,115.0,5.1,0.0,111.3,10481_to32,h0
1200,15.9,0.0,115.7,5.2,0.0,115.6,10481_to32,h0
1350,16.0,0.0,114.9,5.8,0.0,115.3,10481_to32,h0
1500,14.2,0.1,113.6,4.7,0.0,116.0,10481_to32,h0
1650,11.5,0.0,113.4,4.1,0.0,111.1,10481_to32,h0
1800,13.8,0.0,110.7,4.9,0.0,108.8,10481_to32,h0
1950,14.2,0.1,103.0,4.7,0.0,101.1,10481_to32,h0
2100,38.7,18.3,36.7,16.4,8.7,25.5,10481_to32,h0
2250,47.9,30.6,20.7,21.4,14.8,12.9,10481_to32,h0
2400,54.7,33.0,21.6,26.0,18.4,11.1,10481_to32,h0
2550,68.8,45.5,16.3,34.1,25.5,7.7,10481_to32,h0
2700,81.6,56.9,13.2,37.0,27.9,5.6,10481_to32,h0
2850,106.2,86.2,8.1,52.3,46.8,2.6,10481_to32,h0
3000,124.0,97.1,9.1,58.2,50.5,2.4,10481_to32,h0
3150,117.0,86.7,9.7,54.9,45.6,3.8,10481_to32,h0
3300,109.7,83.0,9.2,52.3,43.6,3.1,10481_to32,h0
3450,113.6,87.6,9.5,50.9,42.9,3.9,10481_to32,h0
3600,108.8,78.9,10.0,50.9,39.9,4.1,10481_to32,h0
3750,120.8,90.9,7.9,55.2,45.6,3.0,10481_to32,h0
3900,141.0,110.6,6.9,62.6,54.1,2.1,10481_to32,h0
4050,133.4,98.4,7.3,61.3,48.1,3.3,10481_to32,h0
4200,139.7,103.5,7.0,65.2,53.4,2.8,10481_to32,h0
4350,154.5,121.4,6.3,68.9,59.7,2.2,10481_to32,h0
4500,153.8,121.5,6.5,69.3,59.7,2.0,10481_to32,h0
4650,152.6,124.0,5.8,71.9,64.2,1.5,10481_to32,h0
4800,158.2,123.8,6.5,72.2,63.6,1.6,10481_to32,h0
4950,162.8,122.0,6.9,67.8,57.8,2.6,10481_to32,h0
5100,153.0,117.9,6.1,65.5,54.3,2.7,10481_to32,h0
5250,156.4,117.5,6.6,66.1,56.0,2.3,10481_to32,h0
150,5.2,0.0,100.4,2.4,0.0,85.7,10483_to31,h0
300,12.2,0.0,111.0,4.7,0.0,99.5,10483_to31,h0
450,12.4,0.0,108.9,4.6,0.0,97.7,10483_to31,h0
600,13.6,0.1,107.7,5.4,0.0,97.8,10483_to31,h0
750,13.0,0.0,107.9,5.7,0.0,94.8,10483_to31,h0
900,14.5,0.0,105.0,6.9,0.0,92.1,10483_to31,h0
1050,14.6,0.0,103.8,5.7,0.0,86.9,10483_to31,h0
1200,15.3,0.1,101.5,6.4,0.1,83.9,10483_to31,h0
1350,14.5,0.0,105.4,6.3,0.0,96.3,10483_to31,h0
1500,12.9,0.1,101.0,5.2,0.0,91.8,10483_to31,h0
1650,10.9,0.0,101.8,5.2,0.0,88.9,10483_to31,h0
1800,11.7,0.0,106.3,4.4,0.0,96.5,10483_to31,h0
1950,11.7,0.2,88.9,4.6,0.1,76.5,10483_to31,h0
2100,30.5,15.8,32.3,11.6,7.0,18.8,10483_to31,h0
2250,31.1,19.4,25.1,14.4,9.2,17.7,10483_to31,h0
2400,31.8,17.4,30.6,13.8,8.9,14.9,10483_to31,h0
2550,33.2,20.6,25.4,14.1,10.2,10.5,10483_to31,h0
2700,32.1,19.8,25.9,13.9,8.8,16.4,10483_to31,h0
2850,32.1,22.2,20.1,14.2,11.6,7.6,10483_to31,h0
3000,37.7,22.9,23.2,15.5,10.7,12.6,10483_to31,h0
3150,33.3,17.4,32.1,14.9,9.0,21.9,10483_to31,h0
3300,32.9,21.4,22.4,14.6,10.4,14.0,10483_to31,h0
3450,35.8,20.0,29.3,15.2,9.1,22.7,10483_to31,h0
3600,32.5,20.0,24.2,13.9,9.6,15.7,10483_to31,h0
