link,seg,w900,veh_h,spd,stop_veh_h,run
2,1500,900,13.6,45.3,2.5,g1_lcd200
2,1500,1800,16.4,28.3,5.4,g1_lcd200
2,1500,2700,15.8,29.5,4.8,g1_lcd200
2,1500,3600,12.8,39.9,2.7,g1_lcd200
2,1500,4500,12.5,45.2,2.4,g1_lcd200
2,2000,0,3.7,94.4,0.0,g1_lcd200
2,2000,900,5.9,80.5,0.1,g1_lcd200
2,2000,1800,5.0,73.7,0.1,g1_lcd200
2,2000,2700,4.2,79.5,0.1,g1_lcd200
2,2000,3600,4.3,84.7,0.1,g1_lcd200
2,2000,4500,4.3,90.3,0.0,g1_lcd200
2,2500,0,3.2,104.4,0.0,g1_lcd200
2,2500,900,5.3,91.4,0.0,g1_lcd200
2,2500,1800,4.2,90.8,0.0,g1_lcd200
2,2500,2700,3.7,92.6,0.0,g1_lcd200
2,2500,3600,3.7,99.0,0.0,g1_lcd200
2,2500,4500,3.8,102.6,0.0,g1_lcd200
2,3000,0,2.8,116.5,0.0,g1_lcd200
2,3000,900,4.3,112.9,0.0,g1_lcd200
2,3000,1800,3.4,113.6,0.0,g1_lcd200
2,3000,2700,2.9,114.2,0.0,g1_lcd200
2,3000,3600,3.3,115.2,0.0,g1_lcd200
2,3000,4500,3.3,115.0,0.0,g1_lcd200
2,3500,0,2.8,116.6,0.0,g1_lcd200
2,3500,900,4.4,112.0,0.0,g1_lcd200
2,3500,1800,3.3,114.5,0.0,g1_lcd200
2,3500,2700,2.9,115.4,0.0,g1_lcd200
2,3500,3600,3.2,116.2,0.0,g1_lcd200
2,3500,4500,3.3,115.1,0.0,g1_lcd200
2,4000,0,2.3,108.8,0.0,g1_lcd200
2,4000,900,3.9,102.6,0.0,g1_lcd200
2,4000,1800,3.0,102.5,0.0,g1_lcd200
2,4000,2700,2.6,101.9,0.0,g1_lcd200
2,4000,3600,2.7,108.7,0.0,g1_lcd200
2,4000,4500,8.8,32.8,5.6,g1_lcd200
2,4500,0,0.8,92.3,0.0,g1_lcd200
2,4500,900,1.4,86.7,0.0,g1_lcd200
2,4500,1800,1.2,79.6,0.0,g1_lcd200
2,4500,2700,1.0,85.1,0.0,g1_lcd200
2,4500,3600,0.9,94.0,0.0,g1_lcd200
2,4500,4500,0.9,96.3,0.0,g1_lcd200
24,0,0,3.0,75.5,0.0,g1_lcd200
24,0,900,5.6,70.0,0.0,g1_lcd200
24,0,1800,4.8,64.8,0.0,g1_lcd200
24,0,2700,4.5,64.6,0.0,g1_lcd200
24,0,3600,3.9,71.4,0.0,g1_lcd200
24,0,4500,3.9,74.8,0.0,g1_lcd200
24,500,0,2.4,91.5,0.0,g1_lcd200
24,500,900,4.6,85.8,0.0,g1_lcd200
24,500,1800,3.8,80.9,0.0,g1_lcd200
24,500,2700,3.5,83.8,0.0,g1_lcd200
24,500,3600,3.2,88.2,0.0,g1_lcd200
24,500,4500,3.2,90.8,0.0,g1_lcd200
24,1000,0,1.8,115.9,0.0,g1_lcd200
24,1000,900,3.4,114.6,0.0,g1_lcd200
24,1000,1800,2.8,113.0,0.0,g1_lcd200
24,1000,2700,2.5,115.9,0.0,g1_lcd200
24,1000,3600,2.4,115.4,0.0,g1_lcd200
24,1000,4500,2.6,115.8,0.0,g1_lcd200
24,1500,0,1.8,118.2,0.0,g1_lcd200
24,1500,900,3.3,117.0,0.0,g1_lcd200
24,1500,1800,2.7,116.0,0.0,g1_lcd200
24,1500,2700,2.5,117.6,0.0,g1_lcd200
24,1500,3600,2.4,118.2,0.0,g1_lcd200
24,1500,4500,2.5,117.2,0.0,g1_lcd200
24,2000,0,1.7,118.2,0.0,g1_lcd200
24,2000,900,3.3,116.8,0.0,g1_lcd200
24,2000,1800,2.8,117.0,0.0,g1_lcd200
24,2000,2700,2.4,118.5,0.0,g1_lcd200
24,2000,3600,2.4,118.6,0.0,g1_lcd200
24,2000,4500,2.5,117.2,0.0,g1_lcd200
24,2500,0,1.7,118.4,0.0,g1_lcd200
24,2500,900,3.2,116.8,0.0,g1_lcd200
24,2500,1800,2.8,117.5,0.0,g1_lcd200
24,2500,2700,2.4,118.5,0.0,g1_lcd200
24,2500,3600,2.4,118.8,0.0,g1_lcd200
24,2500,4500,2.5,118.1,0.0,g1_lcd200
24,3000,0,1.2,118.7,0.0,g1_lcd200
24,3000,900,2.4,117.3,0.0,g1_lcd200
24,3000,1800,2.2,117.7,0.0,g1_lcd200
24,3000,2700,1.8,118.5,0.0,g1_lcd200
24,3000,3600,1.8,119.0,0.0,g1_lcd200
24,3000,4500,1.9,117.9,0.0,g1_lcd200
26,-500,0,0.0,11.5,0.0,g1_lcd200
26,-500,900,0.0,16.7,0.0,g1_lcd200
26,-500,1800,0.0,7.0,0.0,g1_lcd200
26,-500,2700,0.0,5.1,0.0,g1_lcd200
26,-500,3600,0.0,7.6,0.0,g1_lcd200
26,-500,4500,0.0,7.6,0.0,g1_lcd200
26,0,0,9.4,74.9,0.0,g1_lcd200
26,0,900,13.8,64.5,0.1,g1_lcd200
26,0,1800,26.4,28.4,5.4,g1_lcd200
26,0,2700,32.2,20.5,8.6,g1_lcd200
26,0,3600,31.6,21.3,7.8,g1_lcd200
26,0,4500,32.5,19.9,8.9,g1_lcd200
26,500,0,6.6,103.7,0.0,g1_lcd200
26,500,900,11.3,77.8,0.1,g1_lcd200
26,500,1800,27.6,26.1,5.5,g1_lcd200
26,500,2700,31.2,20.9,8.7,g1_lcd200
26,500,3600,29.3,23.2,5.9,g1_lcd200
26,500,4500,29.9,22.2,6.7,g1_lcd200
26,1000,0,6.2,108.3,0.0,g1_lcd200
26,1000,900,10.6,80.7,0.3,g1_lcd200
26,1000,1800,28.2,24.6,5.9,g1_lcd200
26,1000,2700,30.9,21.2,7.9,g1_lcd200
26,1000,3600,29.7,22.7,6.8,g1_lcd200
26,1000,4500,29.4,22.9,6.2,g1_lcd200
26,1500,0,5.9,111.6,0.0,g1_lcd200
26,1500,900,12.8,63.8,1.2,g1_lcd200
26,1500,1800,28.8,24.1,5.8,g1_lcd200
26,1500,2700,31.7,20.6,7.9,g1_lcd200
26,1500,3600,30.4,21.8,7.0,g1_lcd200
26,1500,4500,28.3,24.3,5.5,g1_lcd200
26,2000,0,5.8,112.1,0.0,g1_lcd200
26,2000,900,18.2,42.5,2.8,g1_lcd200
26,2000,1800,29.9,23.0,5.8,g1_lcd200
26,2000,2700,30.5,21.8,6.5,g1_lcd200
26,2000,3600,30.8,21.6,7.0,g1_lcd200
26,2000,4500,28.7,24.0,5.6,g1_lcd200
26,2500,0,6.0,105.9,0.0,g1_lcd200
26,2500,900,17.1,42.5,2.0,g1_lcd200
26,2500,1800,21.9,31.0,3.1,g1_lcd200
26,2500,2700,22.3,30.0,3.7,g1_lcd200
26,2500,3600,23.8,27.3,4.3,g1_lcd200
26,2500,4500,20.8,34.2,2.6,g1_lcd200
26,3000,0,6.9,88.3,0.1,g1_lcd200
26,3000,900,9.8,71.7,0.3,g1_lcd200
