time_s,network_n,FW_E_n,FW_W_n
3340.1,5196,1142,659
3345.1,5188,1140,663
3350.1,5189,1139,675
3355.1,5189,1135,674
3360.1,5199,1134,674
3365.1,5199,1131,676
3370.1,5204,1128,675
3375.1,5207,1122,674
3380.1,5209,1122,671
3385.1,5196,1125,669
3390.1,5198,1121,673
3395.1,5190,1120,675
3400.1,5183,1118,664
3405.1,5191,1116,661
3410.1,5209,1125,654
3415.1,5221,1129,654
3420.1,5239,1126,662
3425.1,5241,1114,667
3430.1,5257,1112,665
3435.1,5257,1113,666
3440.1,5256,1112,666
3445.1,5252,1112,667
3450.1,5260,1113,669
3455.1,5264,1113,672
3460.1,5273,1110,671
3465.1,5258,1107,670
3470.1,5269,1114,671
3475.1,5257,1121,676
3480.1,5265,1132,686
3485.1,5270,1144,693
3490.1,5253,1150,698
3495.1,5239,1140,684
3500.1,5249,1142,693
3505.1,5242,1139,684
3510.1,5230,1144,681
3515.1,5235,1151,675
3520.1,5238,1151,676
3525.1,5233,1153,682
3530.1,5211,1148,684
3535.1,5214,1144,687
3540.1,5225,1147,690
3545.1,5217,1147,688
3550.1,5229,1151,694
3555.1,5216,1154,683
3560.1,5233,1152,683
3565.1,5244,1152,684
3570.1,5248,1145,679
3575.1,5252,1139,673
3580.1,5273,1140,668
3585.1,5288,1142,668
3590.1,5297,1139,672
3595.1,5309,1146,672
3600.1,5315,1141,671
3605.1,5305,1136,672
3610.1,5293,1132,671
3615.1,5294,1134,672
3620.1,5288,1141,672
3625.1,5283,1150,673
3630.1,5263,1152,680
3635.1,5258,1153,676
3640.1,5241,1158,679
3645.1,5234,1162,682
3650.1,5226,1157,683
3655.1,5218,1157,681
3660.1,5223,1165,681
3665.1,5232,1162,679
3670.1,5234,1161,685
3675.1,5233,1159,686
3680.1,5235,1160,688
3685.1,5222,1152,688
3690.1,5232,1149,683
3695.1,5221,1154,685
3700.1,5228,1155,689
3705.1,5210,1147,690
3710.1,5207,1150,687
3715.1,5205,1151,690
3720.1,5214,1152,689
3725.1,5220,1154,687
3730.1,5223,1153,685
3735.1,5228,1148,681
3740.1,5225,1141,677
3745.1,5198,1135,665
3750.1,5196,1133,674
3755.1,5182,1132,677
3760.1,5184,1134,673
3765.1,5172,1137,675
3770.1,5183,1137,678
3775.1,5177,1137,682
3780.1,5171,1137,686
3785.1,5177,1138,693
3790.1,5178,1145,708
3795.1,5166,1145,708
3800.1,5156,1143,705
3805.1,5141,1147,698
3810.1,5134,1151,700
3815.1,5130,1154,704
3820.1,5114,1159,704
3825.1,5099,1162,698
3830.1,5106,1174,698
3835.1,5095,1177,691
3840.1,5085,1178,677
