simsec,sc,states
28,1002,RRRGRRRG
28,1003,RRRGRRRG
28,1004,RRRGRRRG
28,1005,RRRGRRRG
29,1,GRRRGRRR
29,5,RRGRRRGRRGRRRGRRRRRGRRRG
29,6,RGRRRGRR
29,11,RRRGRRRG
29,12,RGRRRGRR
29,101,GRRRGRRR
29,105,RRGRRRGR
29,107,RGRRRGRR
29,108,RGRRRGRR
29,109,RGRRRGRR
29,1001,RRRGRRRG
29,1002,RRRGRRRG
29,1003,RRRGRRRG
29,1004,RRRGRRRG
29,1005,RRRGRRRG
30,1,GRRRGRRR
30,5,RRGRRRGRRGRRRGRRRRRGRRRG
30,6,RGRRRGRR
30,11,RRRGRRRG
30,12,RGRRRGRR
30,101,GRRRGRRR
30,105,RRGRRRGR
30,107,RGRRRGRR
30,108,RGRRRGRR
30,109,RGRRRGRR
30,1001,RRRGRRRG
30,1002,RRRGRRRG
30,1003,RRRGRRRG
30,1004,RRRGRRRG
30,1005,RRRGRRRG
31,1,GRRRGRRR
31,5,RRGRRRGRRGRRRGRRRRRGRRRG
31,6,RGRRRGRR
31,11,RRRGRRRG
31,12,RGRRRGRR
31,101,GRRRGRRR
31,105,RRGRRRGR
31,107,RGRRRGRR
31,108,RGRRRGRR
31,109,RGRRRGRR
31,1001,RRRGRRRG
31,1002,RRRGRRRG
31,1003,RRRGRRRG
31,1004,RRRGRRRG
31,1005,RRRGRRRG
32,1,GRRRGRRR
32,5,RRGRRRGRRGRRRGRRRRRGRRRG
32,6,RGRRRGRR
32,11,RRRGRRRG
32,12,RGRRRGRR
32,101,GRRRGRRR
32,105,RRARRRAR
32,107,RGRRRGRR
32,108,RGRRRGRR
32,109,RGRRRGRR
32,1001,RRRGRRRG
32,1002,RRRGRRRG
32,1003,RRRGRRRG
32,1004,RRRGRRRG
32,1005,RRRGRRRG
33,1,GRRRGRRR
33,5,RRARRRARRGRRRGRRRRRARRRA
33,6,RGRRRGRR
33,11,RRRGRRRG
33,12,RGRRRGRR
33,101,GRRRGRRR
33,105,RRARRRAR
33,107,RGRRRGRR
33,108,RGRRRGRR
33,109,RGRRRGRR
33,1001,RRRGRRRG
33,1002,RRRGRRRG
33,1003,RRRGRRRG
33,1004,RRRGRRRG
33,1005,RRRGRRRG
34,1,GRRRGRRR
34,5,RRARRRARRGRRRGRRRRRARRRA
34,6,RGRRRGRR
34,11,RRRGRRRG
34,12,RGRRRGRR
34,101,GRRRGRRR
34,105,RRARRRAR
34,107,RGRRRGRR
34,108,RGRRRGRR
34,109,RGRRRGRR
34,1001,RRRGRRRG
34,1002,RRRGRRRG
34,1003,RRRGRRRG
34,1004,RRRGRRRG
34,1005,RRRGRRRG
35,1,GRRRGRRR
35,5,RRARRRARRGRRRGRRRRRARRRA
35,6,RGRRRGRR
35,11,RRRGRRRG
35,12,RGRRRGRR
35,101,GRRRGRRR
35,105,RGRRRGRR
35,107,RGRRRGRR
35,108,RGRRRGRR
35,109,RGRRRGRR
35,1001,RRRGRRRG
35,1002,RRRGRRRG
35,1003,RRRGRRRG
35,1004,RRRGRRRG
35,1005,RRRGRRRG
36,1,GRRRGRRR
36,5,RGRRRGRRRGRRRGRRRRRRRRRR
36,6,RGRRRGRR
36,11,RRRGRRRG
36,12,RGRRRGRR
36,101,GRRRGRRR
36,105,RGRRRGRR
36,107,RGRRRGRR
36,108,RGRRRGRR
36,109,RGRRRGRR
36,1001,RRRGRRRG
36,1002,RRRGRRRG
36,1003,RRRGRRRG
36,1004,RRRGRRRG
36,1005,RRRGRRRG
37,1,GRRRGRRR
37,5,RGRRRGRRRGRRRGRRRRRRRRRR
37,6,RGRRRGRR
37,11,RRRGRRRG
37,12,RARRRARR
37,101,GRRRGRRR
37,105,RGRRRGRR
37,107,RGRRRGRR
37,108,RGRRRGRR
37,109,RGRRRGRR
37,1001,RRRGRRRG
37,1002,RRRGRRRG
37,1003,RRRGRRRG
37,1004,RRRGRRRG
37,1005,RRRGRRRG
38,1,GRRRGRRR
38,5,RGRRRGRRRGRRRGRRRRRRRRRR
38,6,RGRRRGRR
38,11,RRRGRRRG
38,12,RARRRARR
38,101,GRRRGRRR
38,105,RGRRRGRR
38,107,RGRRRGRR
38,108,RGRRRGRR
38,109,RGRRRGRR
38,1001,RRRGRRRG
38,1002,RRRGRRRG
38,1003,RRRGRRRG
38,1004,RRRGRRRG
38,1005,RRRGRRRG
39,1,GRRRGRRR
39,5,RGRRRGRRRGRRRGRRRRRRRRRR
39,6,RARRRARR
39,11,RRRGRRRG
39,12,RARRRARR
39,101,GRRRGRRR
39,105,RGRRRGRR
39,107,RGRRRGRR
39,108,RGRRRGRR
39,109,RGRRRGRR
39,1001,RRRGRRRG
39,1002,RRRGRRRG
39,1003,RRRGRRRG
39,1004,RRRGRRRG
39,1005,RRRGRRRG
40,1,GRRRGRRR
40,5,RGRRRGRRRGRRRGRRRRRRRRRR
40,6,RARRRARR
40,11,RRRGRRRG
40,12,GRRRGRRR
40,101,GRRRGRRR
40,105,RGRRRGRR
40,107,RGRRRGRR
40,108,RGRRRGRR
40,109,RGRRRGRR
40,1001,RRRGRRRG
40,1002,RRRGRRRG
40,1003,RRRGRRRG
40,1004,RRRGRRRG
40,1005,RRRGRRRG
41,1,GRRRGRRR
41,5,RGRRRGRRRGRRRGRRRRRRRRRR
41,6,RARRRARR
41,11,RRRGRRRG
41,12,GRRRGRRR
