link,inside_omega,group,nc_ttt_veh_h,nc_slow_veh_h,cl_ttt_veh_h,cl_slow_veh_h,delta_ttt_veh_h,delta_slow_veh_h
73,False,urban_and_ramps,19.479444444444066,6.121666666666222,23.998472222221885,10.25166666666605,4.5190277777778185,4.1299999999998285
74,True,freeway_E,370.70805555554085,75.48388888888879,386.18222222221397,79.24111111111127,15.474166666673113,3.757222222222481
75,True,urban_and_ramps,0.5411111111111351,0,0.5411111111111351,0,0.0,0
76,False,urban_and_ramps,11.682916666665145,6.715833333332204,11.682916666665145,6.715833333332204,0.0,0.0
77,False,urban_and_ramps,2.7672222222224914,0,2.7772222222224925,0,0.010000000000001119,0
78,True,urban_and_ramps,7.163333333332128,0,7.049444444443153,0,-0.11388888888897508,0
80,False,urban_and_ramps,15.06249999999892,8.331249999998366,15.06249999999892,8.331249999998366,0.0,0.0
81,False,urban_and_ramps,3.602361111111444,0,3.623194444444781,0,0.02083333333333659,0
82,False,urban_and_ramps,0.6794444444444674,0,0.6794444444444674,0,0.0,0
83,False,urban_and_ramps,3.5622222222225415,1.433055555555672,3.5622222222225415,1.433055555555672,0.0,0.0
84,False,urban_and_ramps,5.078749999999531,4.059583333333659,4.914583333333211,3.936666666667091,-0.16416666666632018,-0.1229166666665682
85,False,urban_and_ramps,2.4680555555557846,0,2.379444444444667,0,-0.08861111111111741,0
86,False,urban_and_ramps,1.6811111111112587,0,1.6711111111112438,0,-0.010000000000014886,0
87,False,urban_and_ramps,7.285833333332069,6.252499999999021,6.772361111109894,5.794583333332382,-0.513472222222175,-0.45791666666663833
88,False,urban_and_ramps,4.894166666666346,2.0769444444446195,5.20097222222174,2.3634722222224522,0.30680555555539346,0.2865277777778328
89,False,urban_and_ramps,4.450138888888861,0,4.609305555555558,0,0.15916666666669688,0
90,False,urban_and_ramps,3.713333333333757,1.7872222222223746,3.7125000000004236,1.786666666666819,-0.0008333333333334636,-0.0005555555555556424
93,False,urban_and_ramps,1.1813888888889357,0.0011111111111111111,1.1930555555556037,0.0008333333333333334,0.011666666666668046,-0.0002777777777777777
94,False,urban_and_ramps,7.645833333332695,3.4425000000001447,7.522499999999489,3.3216666666668018,-0.12333333333320606,-0.1208333333333429
95,False,urban_and_ramps,4.371250000000133,0,4.281388888889041,0.0005555555555555556,-0.08986111111109185,0.0005555555555555556
96,False,urban_and_ramps,0.40000000000000624,0.0011111111111111111,0.40027777777778173,0,0.00027777777777548973,-0.0011111111111111111
99,False,urban_and_ramps,16.087083333332092,9.631249999999008,16.087083333332092,9.630694444443451,0.0,-0.0005555555555574188
100,True,urban_and_ramps,5.442916666665938,0,5.442916666665938,0,0.0,0
101,False,urban_and_ramps,1.6402777777778954,0,1.5763888888890016,0,-0.06388888888889377,0
102,False,urban_and_ramps,9.872083333332434,4.525972222222115,9.56055555555404,4.328055555555444,-0.31152777777839447,-0.19791666666667052
103,False,urban_and_ramps,4.9130555555553395,0,4.821388888888692,0,-0.09166666666664725,0
104,False,urban_and_ramps,4.104583333333654,2.299583333333552,4.007638888889268,2.2404166666668797,-0.09694444444438588,-0.05916666666667236
107,False,urban_and_ramps,9.872083333332059,4.454166666666661,10.078749999998896,4.861944444444254,0.20666666666683753,0.40777777777759283
108,False,urban_and_ramps,14.953055555554768,5.060277777777481,14.32694444444315,4.515972222222255,-0.6261111111116175,-0.5443055555552254
109,False,urban_and_ramps,6.1519444444435445,0,6.344305555554725,0,0.1923611111111807,0
112,False,urban_and_ramps,1.384583333333447,0.635972222222267,1.3848611111112248,0.635972222222267,0.0002777777777778212,0.0
113,False,urban_and_ramps,3.9388888888893185,0,3.942222222222652,0,0.0033333333333334103,0
114,False,urban_and_ramps,0.6277777777778001,0,0.6338888888889102,0,0.006111111111110068,0
115,False,urban_and_ramps,6.867222222221085,0,6.872361111109972,0,0.005138888888886584,0
116,False,urban_and_ramps,0.6833333333333648,0,0.6766666666666935,0,-0.0066666666666712615,0
117,False,urban_and_ramps,13.33319444444275,6.280416666665848,13.331527777776076,6.279861111110288,-0.0016666666666740326,-0.0005555555555591951
118,True,urban_and_ramps,3.917222222222508,2.6125000000001015,4.020000000000225,2.704722222222316,0.10277777777771702,0.09222222222221443
119,True,freeway_E,23.461805555555166,0.05472222222222235,23.10569444444408,0.0436111111111112,-0.35611111111108684,-0.011111111111111155
120,True,freeway_W,373.502916666666,0.14805555555555439,372.4773611111127,0.12166666666666577,-1.0255555555532965,-0.026388888888888615
121,True,urban_and_ramps,18.142916666665275,1.2727777777778408,17.12263888888809,0.9916666666667037,-1.020277777777185,-0.2811111111111372
122,True,urban_and_ramps,3.3750000000003184,1.2322222222222783,3.2287500000003133,1.1719444444445042,-0.1462500000000051,-0.0602777777777741
123,False,urban_and_ramps,70.32347222222478,0,70.97944444444715,0,0.6559722222223741,0
124,True,urban_and_ramps,8.069583333332162,0.011111111111111096,7.76083333333239,0.005555555555555556,-0.3087499999997716,-0.00555555555555554
