input_no,head,road,sg,lane,green_start_sec,green_end_sec,departure_ordinal,previous_vehicle_id,vehicle_id,linear_estimate_headway_sec,lower_headway_sec,upper_headway_sec,all_prehead_queued,near20_queued,downstream_stopped_witness,ambiguous_crossing_count,both_departures_previously_stopped_same_lane,minimum_nearest_stopped_distance_m,maximum_nearest_stopped_distance_m,queued_after_third_departure,qualified_broad_only
90030875,90030875,66,3,4,1399,1422,11,5015,5016,1.2822403817685881,1,3,True,False,False,0,True,109.96736730785551,115.95736730785575,False,True
90030875,90030875,66,3,4,1549,1572,2,4877,5404,3.64862120369321,3,5,False,False,False,0,True,11.737367307855493,30.07736730785564,False,False
90030875,90030875,66,3,4,1549,1572,3,5404,5152,2.7304672577363363,1,3,False,False,False,0,True,29.57736730785564,34.96736730785551,False,False
90030875,90030875,66,3,4,1549,1572,4,5152,5459,2.369760011554945,2,4,True,False,False,0,True,40.787367307855675,46.887367307855584,False,True
90030875,90030875,66,3,4,1549,1572,5,5459,5526,2.0070454870956382,1,3,True,False,False,0,True,53.04736730785544,58.48736730785549,False,True
90030875,90030875,66,3,4,1549,1572,6,5526,5631,1.714469404015972,1,3,True,False,False,0,True,70.05736730785566,74.94736730785553,False,True
90030875,90030875,66,3,4,1549,1572,7,5631,5670,2.146244130076866,1,3,True,False,False,0,True,74.94736730785553,81.34736730785562,False,True
90030875,90030875,66,3,4,1549,1572,8,5670,5905,1.8012819890534502,1,3,True,False,False,0,True,87.87736730785582,93.13736730785558,False,True
90030875,90030875,66,3,4,1549,1572,9,5905,5474,2.5293616219498745,1,3,True,False,False,0,True,92.56736730785542,99.2373673078555,False,True
90030875,90030875,66,3,4,1549,1572,10,5474,5929,1.9696962169359722,1,3,True,False,False,0,True,104.55736730785566,105.18736730785577,False,True
90030875,90030875,66,3,4,1699,1722,2,5988,5970,2.8967372051731672,2,4,False,False,False,0,True,7.657367307855566,19.527367307855457,False,False
90030875,90030875,66,3,4,1699,1722,3,5970,6088,2.145740436049209,1,3,False,False,False,0,True,25.537367307855675,31.81736730785542,False,False
90030875,90030875,66,3,4,1699,1722,4,6088,6065,2.3718865600912977,2,4,True,False,False,0,True,37.857367307855384,50.26736730785569,False,True
90030875,90030875,66,3,4,1699,1722,5,6065,6144,2.341221974292239,1,3,True,False,False,0,True,55.73736730785549,61.417367307855784,False,True
90030875,90030875,66,3,4,1699,1722,6,6144,6166,2.1646734638447924,1,3,True,False,False,0,True,42.48736730785549,67.41736730785578,False,True
90030875,90030875,66,3,4,1699,1722,7,6166,6359,1.9934905080558565,1,3,True,False,False,0,True,41.537367307855675,55.1173673078556,False,True
90030875,90030875,66,3,4,1699,1722,8,6359,6308,1.8507191519684056,1,3,True,False,False,0,True,62.917367307855784,69.41736730785578,False,True
90030875,90030875,66,3,4,1699,1722,9,6308,6442,1.7193380708599761,1,3,True,False,False,0,True,69.41736730785578,75.21736730785551,False,True
90030875,90030875,66,3,4,1699,1722,10,6442,6488,2.310531290348308,1,3,True,False,False,0,True,101.94736730785553,101.94736730785553,False,True
90030875,90030875,66,3,4,1699,1722,11,6488,6515,1.836041174215552,1,3,True,False,False,0,True,114.1473673078558,114.1473673078558,False,True
90030875,90030875,66,3,4,1849,1872,2,6606,6131,2.60249080455651,2,4,False,False,False,0,True,6.957367307855748,24.237367307855493,False,False
90030875,90030875,66,3,4,1849,1872,3,6131,6681,2.6148306265022256,1,3,False,False,False,0,True,23.99736730785571,29.427367307855548,False,False
90030875,90030875,66,3,4,1849,1872,4,6681,6875,1.8485481663847168,1,3,True,False,False,0,True,41.26736730785569,41.62736730785582,False,True
90030875,90030875,66,3,4,1849,1872,5,6875,6437,2.4284566097478546,2,4,True,False,False,0,True,47.81736730785542,59.94736730785553,False,True
90030875,90030875,66,3,4,1849,1872,6,6437,6791,2.526405412043232,1,3,True,False,False,0,True,59.94736730785553,65.62736730785582,False,True
90030875,90030875,66,3,4,1849,1872,7,6791,6973,1.7646211727292211,1,3,True,False,False,0,True,71.1473673078558,71.6473673078558,False,True
90030875,90030875,66,3,4,1849,1872,8,6973,7031,1.8952978316256122,1,3,True,False,False,0,True,76.7673673078557,82.6473673078558,False,True
90030875,90030875,66,3,4,1849,1872,9,7031,7025,1.6478002401431695,1,3,True,False,False,0,True,88.79736730785544,94.87736730785582,False,True
90030875,90030875,66,3,4,1849,1872,10,7025,7006,2.3185420631523357,1,3,True,False,False,0,True,101.31736730785542,101.31736730785542,False,True
90030875,90030875,66,3,4,1849,1872,11,7006,7121,1.5729399294091309,0.0,2,True,False,False,0,True,107.67736730785555,107.67736730785555,False,True
90030875,90030875,66,3,4,1999,2022,2,7123,7156,3.008016305251658,2,4,False,False,False,0,True,6.957367307855748,19.607367307855384,False,False
90030875,90030875,66,3,4,1999,2022,3,7156,7207,2.550123448623708,2,4,False,False,False,0,True,19.607367307855384,32.037367307855675,False,False
90030875,90030875,66,3,4,1999,2022,4,7207,7221,2.387114328444568,1,3,True,False,False,0,True,37.46736730785551,42.787367307855675,False,True
90030875,90030875,66,3,4,1999,2022,5,7221,7236,2.034876400726489,1,3,True,False,False,0,True,48.46736730785551,53.5873673078554,False,True
90030875,90030875,66,3,4,1999,2022,6,7236,7302,2.0432348733982053,1,3,True,False,False,0,True,53.5873673078554,58.757367307855475,False,True
90030875,90030875,66,3,4,1999,2022,7,7302,7575,1.9005670581111644,1,3,True,False,False,0,True,58.757367307855475,64.95736730785575,False,True
90030875,90030875,66,3,4,1999,2022,8,7575,7650,1.5093208797495663,0.0,2,True,False,False,0,True,71.2373673078555,71.2373673078555,False,True
90030875,90030875,66,3,4,1999,2022,9,7650,7666,1.6393891177576734,1,3,True,False,False,0,True,71.2373673078555,76.96736730785551,False,True
90030875,90030875,66,3,4,1999,2022,10,7666,7746,2.483239004694269,2,4,True,False,False,0,True,81.84736730785562,87.70736730785575,False,True
90030875,90030875,66,3,4,1999,2022,11,7746,7779,1.9161581516618753,0.0,2,True,False,False,0,True,93.47736730785573,93.47736730785573,False,True
90030875,90030875,66,3,4,2149,2172,2,7878,7865,2.52526823967537,2,4,False,False,False,0,True,6.707367307855748,18.37736730785582,False,False
90030875,90030875,66,3,4,2149,2172,3,7865,7917,2.3128289372502877,1,3,False,False,False,0,True,24.757367307855475,36.21736730785551,False,False
90030875,90030875,66,3,4,2149,2172,4,7917,8034,2.357691157701993,1,3,True,False,False,0,True,41.657367307855566,41.657367307855566,False,True
90030875,90030875,66,3,4,2149,2172,5,8034,7761,2.518189975248788,2,4,True,False,False,0,True,48.09736730785562,59.87736730785582,False,True
90030875,90030875,66,3,4,2149,2172,6,7761,8094,2.235907737585876,1,3,True,False,False,0,True,65.52736730785546,71.1473673078558,False,True
90030875,90030875,66,3,4,2149,2172,7,8094,8107,1.4719008894116996,1,3,True,False,False,0,True,76.59736730785562,82.62736730785582,False,True
90030875,90030875,66,3,4,2149,2172,8,8107,8160,1.819050078809596,0.0,2,True,False,False,0,True,88.53736730785567,88.53736730785567,False,True
90030875,90030875,66,3,4,2149,2172,9,8160,8106,1.9107396286781295,1,3,True,False,False,0,True,70.6173673078556,71.67736730785555,False,True
90030875,90030875,66,3,4,2149,2172,10,8106,8204,1.6466457447550056,1,3,True,False,False,0,True,83.8973673078558,85.17736730785555,False,True
90030875,90030875,66,3,4,2149,2172,11,8204,8132,2.1938425771754737,1,3,True,False,False,0,True,106.13736730785558,111.6173673078556,False,True
