sim_sec,elapsed_sec,link,cell_index_zero_based,count_veh,speed_kph,density_veh_km_lane,effective_lanes
1300.0,100.0,FW_W,4,47.96580203394255,59.26879074832083,31.14009336609435,3.0
1300.0,100.0,FW_W,5,55.15458758252263,49.43378813794608,35.80715705895622,3.0
1300.0,100.0,FW_W,6,43.08956611596954,62.39582031561153,30.836402499196236,2.7215597266893474
1300.0,100.0,FW_W,7,30.136298796218025,70.25351887433797,14.673691230452,4.0
1300.0,100.0,FW_W,8,23.69239648622192,87.06874139446182,11.536085200744544,4.0
1300.0,100.0,FW_W,9,19.988106663368985,99.61461082003834,9.732426249252097,4.0
1300.0,100.0,FW_W,10,18.08465729584072,105.71424640511692,8.805616076550528,4.0
1300.0,100.0,FW_W,11,17.529826654307207,105.03383901906842,8.543923591405505,3.996039018462753
1300.0,100.0,FW_W,12,14.142251402251002,101.88524176741687,6.886015823751415,4.0
1300.0,100.0,FW_W,13,20.101466022967127,90.06230092145186,9.787622152772727,4.0
1300.0,100.0,FW_W,14,22.40657387568828,83.55905015455699,10.910004204810425,4.0
1300.0,100.0,FW_W,15,24.09901806409814,82.30486795397282,11.734073663818306,4.0
1300.0,100.0,FW_W,16,22.333976797635408,93.46237523132419,10.874655898942336,4.0
1300.0,100.0,FW_W,17,21.69108044589826,100.6451420197073,10.5616226820113,4.0
1300.0,100.0,FW_W,18,21.33595329062184,105.217688504095,10.388707412644218,4.0
1300.0,100.0,FW_W,19,20.32433729708909,108.42164496595754,9.896140597015572,4.0
1300.0,100.0,FW_W,20,18.63684077752502,110.5410387966982,9.074480211711286,4.0
1300.0,100.0,FW_E,0,37.002057905007476,91.59968522651555,18.01670391778582,4.0
1300.0,100.0,FW_E,1,37.08296019941937,91.38389853005332,18.056096123712056,4.0
1300.0,100.0,FW_E,2,36.55882085552758,92.43014020436235,17.800886983863567,4.0
1300.0,100.0,FW_E,3,35.87126661717772,93.5307034942818,17.466109356857807,4.0
1300.0,100.0,FW_E,4,35.101038470032016,94.63578100785315,17.09107690563863,4.0
1300.0,100.0,FW_E,5,34.33628975345567,95.8248546525005,16.718712448682354,4.0
1300.0,100.0,FW_E,6,33.35915661678086,97.29173842851127,16.242935710617605,4.0
1300.0,100.0,FW_E,7,32.44878316333573,97.2703337146622,15.799664987474573,4.0
1300.0,100.0,FW_E,8,32.49337965742741,96.70240817713325,15.918422832315466,3.97561483861215
1300.0,100.0,FW_E,9,32.91094289110329,82.41564619950118,16.024695578997044,4.0
1300.0,100.0,FW_E,10,37.25478851830241,78.49940746599016,18.139761198610167,4.0
1300.0,100.0,FW_E,11,33.6656656692589,87.50632850365754,16.39217829763249,4.0
1300.0,100.0,FW_E,12,34.10138519835822,77.57380164240422,16.604334869224616,4.0
1300.0,100.0,FW_E,13,26.549893820802254,85.40108651947257,17.257693728693035,2.9963289173853687
1300.0,100.0,FW_E,14,25.62853555413373,72.67588884841972,16.638416458193333,3.0
1300.0,100.0,FW_E,15,25.352486965388202,67.38015435189703,16.45920171638559,3.0
1300.0,100.0,FW_E,16,20.74131965692259,82.74288405498706,13.46556511648699,3.0
1300.0,100.0,FW_E,17,18.73887314120059,93.82736741935555,12.165547837174792,3.0
1300.0,100.0,FW_E,18,17.46084560523297,100.4152364080048,11.335833851233128,3.0
1300.0,100.0,FW_E,19,15.922768030639016,105.04997960237318,10.33729161392709,3.0
1300.0,100.0,FW_E,20,14.109302765878706,108.28696134540652,9.159963699742654,3.0
1310.0,110.0,FW_W,0,43.10179917407167,77.99479195171966,27.982312264422248,3.0
1310.0,110.0,FW_W,1,48.83216542523786,66.55025872339982,31.70254902720914,3.0
1310.0,110.0,FW_W,2,47.478283956473604,64.3715928398541,30.823589569508215,3.0
1310.0,110.0,FW_W,3,45.04899708047748,63.93061066014792,29.246461346404278,3.0
1310.0,110.0,FW_W,4,48.10145456053728,58.73925749982235,31.228160951006558,3.0
1310.0,110.0,FW_W,5,55.784189763552774,47.904179000113544,36.21590391336932,3.0
1310.0,110.0,FW_W,6,43.29456301456655,61.168511951485115,31.540235063982383,2.673485846041346
1310.0,110.0,FW_W,7,30.318652451895908,69.57421028178776,14.762481206163855,4.0
