run_label,run,seed,sim_sec,vehicle_id,physical_link,lane,local_pos_m,chain_pos_m,cell,speed_kph,speed_class
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14511,2,2,1742.72,4477.247,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14535,2,3,1847.73,4582.257,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14546,2,1,1408.97,4143.497,8,2.01,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14547,2,2,1413.55,4148.077,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14637,2,2,1454.84,4189.367,8,15.21,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14712,2,2,1375.67,4110.197,8,0.9,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14713,2,1,1698.59,4433.117,8,1.55,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14714,2,2,1932.23,4666.757,9,2.99,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14800,2,2,1588.11,4322.637,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14873,2,3,1561.87,4296.397,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15007,2,2,1832.95,4567.477,8,3.31,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15025,2,2,1677.25,4411.777,8,4.32,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15031,2,2,1755.51,4490.037,8,4.11,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15045,2,2,1750.92,4485.447,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15080,2,2,1605.15,4339.677,8,2.63,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15112,2,2,1552.26,4286.787,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15113,2,2,1937.91,4672.437,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15114,2,2,1523.85,4258.377,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15126,2,2,1957.16,4691.687,9,12.34,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15158,2,3,1896.12,4630.647,9,1.31,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15175,2,1,1750.53,4485.057,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15183,2,1,1712.94,4447.467000000001,8,2.06,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15184,2,3,1737.1,4471.627,8,3.7,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15191,2,2,1736.61,4471.137,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15192,2,2,1501.66,4236.187,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15198,2,3,1567.65,4302.177,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15208,2,4,2123.81,4858.3369999999995,9,119.54,moving
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15209,2,2,1978.2,4712.727,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15219,2,2,1972.3,4706.827,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15234,2,3,1829.73,4564.257,8,1.04,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15240,2,3,1965.38,4699.907,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15241,2,2,1873.3,4607.827,8,0.06,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15248,2,2,1984.46,4718.987,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15265,2,2,1783.4,4517.927,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15309,2,2,1495.55,4230.077,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15310,2,2,1880.92,4615.447,8,11.78,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15320,2,3,1993.99,4728.517,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15327,2,2,1793.9,4528.427,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15343,2,1,1727.13,4461.657,8,7.65,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15351,2,3,1983.2,4717.727,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15382,2,3,1977.15,4711.677,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15417,2,2,1593.07,4327.597,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15418,2,1,1439.81,4174.3369999999995,8,8.53,slow
