run,link,sim_sec,count,stopped_count,mean_speed_kph
FixedGreen,10682,5190,9.0,0.0,29.861497
FixedGreen,10682,5220,12.0,0.0,14.895472
FixedGreen,10682,5250,15.0,1.0,15.627119
FixedGreen,10682,5280,18.0,4.0,12.564809
FixedGreen,10682,5310,23.0,6.0,9.024912
FixedGreen,10682,5340,23.0,7.0,7.648127
FixedGreen,10682,5370,22.0,5.0,9.861342
FixedGreen,10682,5400,22.0,3.0,8.646512
FixedGreen,68,900,1.0,0.0,25.816068
FixedGreen,68,930,8.0,0.0,34.984568
FixedGreen,68,960,0,0,0
FixedGreen,68,990,8.0,0.0,37.881479
FixedGreen,68,1020,4.0,0.0,57.233195
FixedGreen,68,1050,0,0,0
FixedGreen,68,1080,6.0,0.0,42.585493
FixedGreen,68,1110,3.0,0.0,63.729235
FixedGreen,68,1140,8.0,0.0,31.063849
FixedGreen,68,1170,2.0,0.0,40.112905
FixedGreen,68,1200,0,0,0
FixedGreen,68,1230,6.0,0.0,45.975421
FixedGreen,68,1260,2.0,0.0,65.086448
FixedGreen,68,1290,9.0,0.0,20.636547
FixedGreen,68,1320,4.0,0.0,38.567809
FixedGreen,68,1350,0,0,0
FixedGreen,68,1380,4.0,0.0,35.162368
FixedGreen,68,1410,2.0,0.0,72.032499
FixedGreen,68,1440,10.0,0.0,19.365169
FixedGreen,68,1470,3.0,0.0,72.620398
FixedGreen,68,1500,3.0,0.0,38.86031
FixedGreen,68,1530,11.0,0.0,37.909505
FixedGreen,68,1560,2.0,0.0,61.497987
FixedGreen,68,1590,8.0,0.0,19.075514
FixedGreen,68,1620,13.0,0.0,12.602271
FixedGreen,68,1650,9.0,0.0,19.295882
FixedGreen,68,1680,8.0,0.0,25.381606
FixedGreen,68,1710,4.0,0.0,60.077624
FixedGreen,68,1740,8.0,0.0,42.936494
FixedGreen,68,1770,13.0,2.0,12.696884
FixedGreen,68,1800,12.0,5.0,5.157357
FixedGreen,68,1830,14.0,2.0,23.639702
FixedGreen,68,1860,4.0,1.0,32.431101
FixedGreen,68,1890,11.0,0.0,23.171744
FixedGreen,68,1920,12.0,5.0,11.362717
FixedGreen,68,1950,11.0,3.0,13.696607
FixedGreen,68,1980,12.0,2.0,18.916285
FixedGreen,68,2010,4.0,0.0,61.728378
FixedGreen,68,2040,9.0,0.0,23.285394
FixedGreen,68,2070,15.0,3.0,14.056495
FixedGreen,68,2100,11.0,4.0,11.059341
FixedGreen,68,2130,13.0,3.0,23.501799
FixedGreen,68,2160,2.0,0.0,34.65648
FixedGreen,68,2190,9.0,3.0,25.341132
FixedGreen,68,2220,12.0,3.0,14.727977
FixedGreen,68,2250,12.0,5.0,10.350221
FixedGreen,68,2280,14.0,2.0,22.396085
FixedGreen,68,2310,4.0,0.0,42.97581
FixedGreen,68,2340,16.0,2.0,28.385165
FixedGreen,68,2370,12.0,3.0,14.053604
FixedGreen,68,2400,14.0,5.0,14.096531
FixedGreen,68,2430,12.0,2.0,25.815792
FixedGreen,68,2460,4.0,0.0,54.057402
FixedGreen,68,2490,9.0,0.0,27.766784
FixedGreen,68,2520,14.0,3.0,14.66143
FixedGreen,68,2550,9.0,3.0,13.511388
FixedGreen,68,2580,13.0,3.0,23.971184
FixedGreen,68,2610,3.0,0.0,32.304269
FixedGreen,68,2640,13.0,3.0,20.903605
FixedGreen,68,2670,11.0,5.0,6.600344
FixedGreen,68,2700,10.0,1.0,13.81607
FixedGreen,68,2730,14.0,2.0,18.644188
FixedGreen,68,2760,3.0,0.0,64.019051
FixedGreen,68,2790,11.0,2.0,22.871052
FixedGreen,68,2820,13.0,4.0,5.424236
FixedGreen,68,2850,12.0,1.0,17.243138
FixedGreen,68,2880,11.0,0.0,21.663083
FixedGreen,68,2910,1.0,0.0,62.171364
FixedGreen,68,2940,11.0,4.0,15.763668
FixedGreen,68,2970,12.0,6.0,7.830009
FixedGreen,68,3000,11.0,4.0,10.590722
FixedGreen,68,3030,9.0,1.0,25.573903
FixedGreen,68,3060,3.0,0.0,58.939633
FixedGreen,68,3090,7.0,0.0,29.500882
FixedGreen,68,3120,18.0,4.0,12.266236
FixedGreen,68,3150,10.0,1.0,10.490488
FixedGreen,68,3180,15.0,2.0,19.565552
FixedGreen,68,3210,6.0,0.0,49.760669
FixedGreen,68,3240,12.0,2.0,20.34213
FixedGreen,68,3270,11.0,5.0,8.737019
FixedGreen,68,3300,3.0,1.0,14.253441
FixedGreen,68,3330,6.0,0.0,39.866773
FixedGreen,68,3360,2.0,0.0,76.478897
FixedGreen,68,3390,8.0,0.0,29.461522
FixedGreen,68,3420,8.0,0.0,17.334991
FixedGreen,68,3450,12.0,3.0,11.437381
FixedGreen,68,3480,11.0,0.0,27.343528
FixedGreen,68,3510,2.0,0.0,61.274701
FixedGreen,68,3540,12.0,0.0,17.849146
FixedGreen,68,3570,16.0,9.0,6.305898
FixedGreen,68,3600,8.0,0.0,13.295044
FixedGreen,68,3630,15.0,3.0,14.531473
FixedGreen,68,3660,3.0,0.0,37.046662
FixedGreen,68,3690,11.0,3.0,16.138561
FixedGreen,68,3720,10.0,2.0,14.926714
FixedGreen,68,3750,10.0,0.0,10.374083
FixedGreen,68,3780,11.0,2.0,22.036942
FixedGreen,68,3810,4.0,0.0,56.383436
FixedGreen,68,3840,8.0,0.0,28.739621
FixedGreen,68,3870,10.0,4.0,11.308718
FixedGreen,68,3900,9.0,3.0,7.401909
FixedGreen,68,3930,8.0,1.0,18.658272
FixedGreen,68,3960,1.0,0.0,71.47771
FixedGreen,68,3990,11.0,0.0,23.202866
FixedGreen,68,4020,11.0,0.0,26.186509
FixedGreen,68,4050,4.0,1.0,20.167133
FixedGreen,68,4080,4.0,0.0,32.627864
FixedGreen,68,4110,1.0,0.0,62.719362
FixedGreen,68,4140,9.0,0.0,34.234459
FixedGreen,68,4170,9.0,2.0,12.818011
FixedGreen,68,4200,6.0,0.0,22.617959
FixedGreen,68,4230,6.0,0.0,31.52871
FixedGreen,68,4260,1.0,0.0,59.346959
FixedGreen,68,4290,11.0,0.0,23.726776
FixedGreen,68,4320,7.0,0.0,30.814671
FixedGreen,68,4350,1.0,0.0,40.818869
FixedGreen,68,4380,5.0,0.0,38.93882
FixedGreen,68,4410,4.0,0.0,56.902505
FixedGreen,68,4440,14.0,2.0,17.087479
FixedGreen,68,4470,10.0,1.0,18.325282
FixedGreen,68,4500,7.0,3.0,5.962488
FixedGreen,68,4530,11.0,0.0,32.621549
FixedGreen,68,4560,3.0,0.0,70.726781
FixedGreen,68,4590,12.0,0.0,33.418048
FixedGreen,68,4620,11.0,3.0,7.492602
FixedGreen,68,4650,4.0,2.0,10.606921
FixedGreen,68,4680,4.0,0.0,41.805712
FixedGreen,68,4710,2.0,0.0,71.627984
FixedGreen,68,4740,6.0,0.0,42.12983
FixedGreen,68,4770,2.0,0.0,27.283803
FixedGreen,68,4800,0,0,0
FixedGreen,68,4830,4.0,0.0,42.478207
FixedGreen,68,4860,3.0,0.0,69.057018
FixedGreen,68,4890,3.0,0.0,35.253616
FixedGreen,68,4920,5.0,0.0,34.699868
FixedGreen,68,4950,2.0,0.0,39.890776
FixedGreen,68,4980,4.0,0.0,41.486712
FixedGreen,68,5010,3.0,0.0,69.341234
FixedGreen,68,5040,7.0,0.0,33.493493
FixedGreen,68,5070,5.0,0.0,39.80307
FixedGreen,68,5100,1.0,0.0,42.24413
FixedGreen,68,5130,4.0,0.0,40.74261
FixedGreen,68,5160,3.0,0.0,62.119198
FixedGreen,68,5190,7.0,0.0,28.181667
FixedGreen,68,5220,3.0,0.0,38.766772
FixedGreen,68,5250,2.0,0.0,39.186046
FixedGreen,68,5280,4.0,0.0,40.807445
FixedGreen,68,5310,2.0,0.0,67.969498
FixedGreen,68,5340,5.0,0.0,37.167383
FixedGreen,68,5370,7.0,0.0,45.807386
FixedGreen,68,5400,2.0,0.0,34.828386
FixedGreen,121,900,12.0,0.0,24.527312
FixedGreen,121,930,11.0,1.0,36.678849
FixedGreen,121,960,10.0,2.0,26.466509
FixedGreen,121,990,13.0,1.0,34.145333
FixedGreen,121,1020,14.0,0.0,22.531053
FixedGreen,121,1050,10.0,0.0,23.5463
FixedGreen,121,1080,8.0,0.0,44.01717
FixedGreen,121,1110,7.0,0.0,32.27778
FixedGreen,121,1140,11.0,0.0,43.155492
FixedGreen,121,1170,14.0,2.0,16.147517
FixedGreen,121,1200,11.0,0.0,28.978129
FixedGreen,121,1230,12.0,0.0,48.984559
FixedGreen,121,1260,7.0,0.0,37.84514
FixedGreen,121,1290,10.0,0.0,31.828971
FixedGreen,121,1320,17.0,0.0,20.726652
FixedGreen,121,1350,11.0,0.0,31.7016
FixedGreen,121,1380,11.0,0.0,42.334883
FixedGreen,121,1410,13.0,0.0,30.202273
FixedGreen,121,1440,16.0,1.0,24.939862
FixedGreen,121,1470,17.0,3.0,16.081134
FixedGreen,121,1500,16.0,1.0,16.935997
FixedGreen,121,1530,13.0,1.0,28.50612
FixedGreen,121,1560,16.0,0.0,27.853453
FixedGreen,121,1590,13.0,1.0,24.582261
FixedGreen,121,1620,16.0,0.0,31.376807
FixedGreen,121,1650,17.0,3.0,16.50364
FixedGreen,121,1680,20.0,0.0,22.366996
FixedGreen,121,1710,18.0,1.0,17.157946
FixedGreen,121,1740,10.0,0.0,23.109317
FixedGreen,121,1770,17.0,2.0,22.117975
FixedGreen,121,1800,17.0,1.0,19.052127
FixedGreen,121,1830,21.0,4.0,21.769888
FixedGreen,121,1860,18.0,0.0,24.029893
FixedGreen,121,1890,18.0,2.0,27.294621
FixedGreen,121,1920,17.0,2.0,23.171434
FixedGreen,121,1950,15.0,3.0,16.215102
FixedGreen,121,1980,22.0,0.0,20.696329
FixedGreen,121,2010,20.0,1.0,20.321415
FixedGreen,121,2040,21.0,2.0,21.374882
FixedGreen,121,2070,16.0,3.0,16.68219
FixedGreen,121,2100,17.0,5.0,14.501719
FixedGreen,121,2130,22.0,2.0,19.221612
FixedGreen,121,2160,21.0,4.0,20.065258
FixedGreen,121,2190,21.0,0.0,31.16768
FixedGreen,121,2220,17.0,2.0,16.654759
FixedGreen,121,2250,16.0,3.0,21.560374
FixedGreen,121,2280,19.0,3.0,21.275114
FixedGreen,121,2310,20.0,3.0,22.627437
FixedGreen,121,2340,17.0,1.0,20.921351
FixedGreen,121,2370,20.0,1.0,26.706667
FixedGreen,121,2400,16.0,3.0,17.004605
FixedGreen,121,2430,24.0,2.0,20.12645
FixedGreen,121,2460,19.0,2.0,19.082006
FixedGreen,121,2490,23.0,1.0,26.662777
FixedGreen,121,2520,20.0,2.0,25.949833
FixedGreen,121,2550,20.0,4.0,22.875569
FixedGreen,121,2580,22.0,3.0,21.358247
FixedGreen,121,2610,21.0,8.0,17.870807
FixedGreen,121,2640,18.0,4.0,17.729513
FixedGreen,121,2670,18.0,3.0,25.60599
FixedGreen,121,2700,17.0,1.0,19.886497
FixedGreen,121,2730,20.0,0.0,24.108344
FixedGreen,121,2760,23.0,3.0,18.075285
FixedGreen,121,2790,20.0,1.0,20.630272
FixedGreen,121,2820,18.0,2.0,16.714277
FixedGreen,121,2850,18.0,6.0,16.933227
FixedGreen,121,2880,18.0,1.0,23.254788
FixedGreen,121,2910,18.0,5.0,15.944428
FixedGreen,121,2940,18.0,4.0,18.74356
FixedGreen,121,2970,16.0,3.0,17.094294
FixedGreen,121,3000,17.0,3.0,22.641804
FixedGreen,121,3030,19.0,1.0,24.327454
FixedGreen,121,3060,16.0,1.0,18.543037
FixedGreen,121,3090,19.0,3.0,23.612875
FixedGreen,121,3120,19.0,1.0,19.147236
FixedGreen,121,3150,15.0,3.0,11.80571
FixedGreen,121,3180,22.0,1.0,21.100924
FixedGreen,121,3210,20.0,4.0,18.621138
FixedGreen,121,3240,17.0,1.0,20.190045
FixedGreen,121,3270,16.0,0.0,26.13981
FixedGreen,121,3300,15.0,0.0,24.634435
FixedGreen,121,3330,14.0,1.0,22.235395
FixedGreen,121,3360,13.0,1.0,23.687073
FixedGreen,121,3390,17.0,0.0,29.940811
FixedGreen,121,3420,18.0,0.0,24.525574
FixedGreen,121,3450,16.0,3.0,17.616655
FixedGreen,121,3480,21.0,1.0,24.474211
FixedGreen,121,3510,21.0,9.0,10.593916
FixedGreen,121,3540,18.0,3.0,20.303445
FixedGreen,121,3570,14.0,0.0,25.516567
FixedGreen,121,3600,16.0,4.0,14.479418
FixedGreen,121,3630,18.0,0.0,20.796131
FixedGreen,121,3660,25.0,3.0,16.306702
FixedGreen,121,3690,18.0,1.0,18.869126
FixedGreen,121,3720,19.0,4.0,20.478536
FixedGreen,121,3750,17.0,1.0,21.889474
FixedGreen,121,3780,19.0,1.0,27.177169
FixedGreen,121,3810,16.0,2.0,20.662777
FixedGreen,121,3840,20.0,3.0,23.466114
FixedGreen,121,3870,16.0,4.0,12.944799
FixedGreen,121,3900,17.0,0.0,22.101598
FixedGreen,121,3930,19.0,0.0,26.523928
FixedGreen,121,3960,16.0,2.0,17.825851
FixedGreen,121,3990,14.0,0.0,25.534263
FixedGreen,121,4020,16.0,1.0,20.398354
FixedGreen,121,4050,19.0,5.0,18.245187
FixedGreen,121,4080,17.0,2.0,19.751491
FixedGreen,121,4110,14.0,1.0,22.986023
FixedGreen,121,4140,15.0,0.0,32.047864
FixedGreen,121,4170,18.0,1.0,22.9169
FixedGreen,121,4200,16.0,0.0,25.93454
FixedGreen,121,4230,16.0,1.0,20.59917
FixedGreen,121,4260,15.0,1.0,22.857623
FixedGreen,121,4290,14.0,0.0,24.749966
FixedGreen,121,4320,13.0,0.0,19.91328
FixedGreen,121,4350,15.0,3.0,19.912734
FixedGreen,121,4380,16.0,0.0,21.469555
FixedGreen,121,4410,12.0,2.0,19.823878
FixedGreen,121,4440,12.0,0.0,26.19684
FixedGreen,121,4470,21.0,4.0,16.512757
FixedGreen,121,4500,19.0,4.0,16.065535
FixedGreen,121,4530,18.0,0.0,21.558253
FixedGreen,121,4560,17.0,0.0,22.511236
FixedGreen,121,4590,18.0,3.0,23.916957
FixedGreen,121,4620,16.0,1.0,17.301242
FixedGreen,121,4650,15.0,0.0,23.954387
FixedGreen,121,4680,15.0,0.0,22.667526
FixedGreen,121,4710,7.0,0.0,34.673244
FixedGreen,121,4740,11.0,0.0,51.879292
FixedGreen,121,4770,10.0,0.0,26.098338
FixedGreen,121,4800,7.0,0.0,33.594309
FixedGreen,121,4830,6.0,0.0,63.979937
FixedGreen,121,4860,5.0,0.0,53.307166
FixedGreen,121,4890,5.0,0.0,52.471802
FixedGreen,121,4920,11.0,0.0,41.658226
FixedGreen,121,4950,10.0,0.0,24.292935
FixedGreen,121,4980,10.0,0.0,39.831188
FixedGreen,121,5010,4.0,0.0,45.184511
FixedGreen,121,5040,9.0,0.0,52.666498
FixedGreen,121,5070,7.0,1.0,25.148572
FixedGreen,121,5100,9.0,0.0,40.89234
FixedGreen,121,5130,7.0,0.0,42.819025
FixedGreen,121,5160,4.0,0.0,60.7564
FixedGreen,121,5190,12.0,1.0,33.99302
FixedGreen,121,5220,15.0,2.0,22.231695
FixedGreen,121,5250,13.0,0.0,18.259702
FixedGreen,121,5280,14.0,0.0,28.407788
FixedGreen,121,5310,8.0,0.0,17.48909
FixedGreen,121,5340,14.0,1.0,25.678033
FixedGreen,121,5370,16.0,1.0,26.348094
FixedGreen,121,5400,14.0,1.0,21.062352
FixedGreen,10646,900,5.0,0.0,42.341608
FixedGreen,10646,930,8.0,0.0,56.906681
FixedGreen,10646,960,5.0,0.0,33.060336
FixedGreen,10646,990,8.0,0.0,37.387453
FixedGreen,10646,1020,5.0,0.0,42.571857
FixedGreen,10646,1050,6.0,0.0,45.090296
FixedGreen,10646,1080,6.0,0.0,41.58832
FixedGreen,10646,1110,5.0,0.0,43.499032
FixedGreen,10646,1140,5.0,0.0,39.896141
FixedGreen,10646,1170,8.0,0.0,36.025743
FixedGreen,10646,1200,5.0,0.0,37.919123
FixedGreen,10646,1230,7.0,0.0,41.470176
FixedGreen,10646,1260,5.0,0.0,42.620192
FixedGreen,10646,1290,3.0,0.0,38.596887
FixedGreen,10646,1320,6.0,0.0,44.668634
FixedGreen,10646,1350,5.0,0.0,50.612332
FixedGreen,10646,1380,5.0,0.0,42.242588
FixedGreen,10646,1410,7.0,0.0,39.731261
FixedGreen,10646,1440,6.0,0.0,35.528506
FixedGreen,10646,1470,7.0,0.0,57.580583
FixedGreen,10646,1500,5.0,0.0,63.164177
FixedGreen,10646,1530,6.0,0.0,43.74011
FixedGreen,10646,1560,7.0,0.0,42.122526
FixedGreen,10646,1590,10.0,0.0,47.605089
FixedGreen,10646,1620,6.0,0.0,40.803532
FixedGreen,10646,1650,8.0,1.0,50.415961
FixedGreen,10646,1680,7.0,0.0,50.272564
FixedGreen,10646,1710,9.0,0.0,41.399742
FixedGreen,10646,1740,9.0,0.0,42.022543
FixedGreen,10646,1770,5.0,0.0,45.701825
FixedGreen,10646,1800,4.0,0.0,47.556188
FixedGreen,10646,1830,7.0,0.0,59.453655
FixedGreen,10646,1860,8.0,0.0,42.165851
FixedGreen,10646,1890,6.0,0.0,47.081549
FixedGreen,10646,1920,6.0,0.0,42.727922
FixedGreen,10646,1950,5.0,0.0,40.124912
FixedGreen,10646,1980,4.0,0.0,47.731534
