dcp_no,dcm_no,role,ref,link,lane,pos,pos_mode,orientation,boundary_ref,segment_json,geometry_assert
960169,960169,head,90030850|1002-5,30,4,528.253289,exact,at,head:90030850,[],"{""head_position_m"":528.2532886140301,""lane_count"":4,""link_length_m"":532.0314104451772}"
960170,960170,head,90030851|1002-7,72,4,705.877697,exact,at,head:90030851,[],"{""head_position_m"":705.8776972187222,""lane_count"":4,""link_length_m"":708.4135334781743}"
960171,960171,head,90030852|1002-1,329,4,117.456407,exact,at,head:90030852,[],"{""head_position_m"":117.45640724162394,""lane_count"":4,""link_length_m"":120.8164777627563}"
960172,960172,head,90030853|1002-6,329,3,117.246235,exact,at,head:90030853,[],"{""head_position_m"":117.24623518440761,""lane_count"":4,""link_length_m"":120.8164777627563}"
960173,960173,head,90030854|1002-6,329,2,117.486619,exact,at,head:90030854,[],"{""head_position_m"":117.48661920112617,""lane_count"":4,""link_length_m"":120.8164777627563}"
960174,960174,head,90030855|1002-3,427,4,516.472576,exact,at,head:90030855,[],"{""head_position_m"":516.4725756965394,""lane_count"":4,""link_length_m"":521.7179243340591}"
960175,960175,head,90030856|1002-8,427,3,516.872904,exact,at,head:90030856,[],"{""head_position_m"":516.8729041977323,""lane_count"":4,""link_length_m"":521.7179243340591}"
960176,960176,head,90030857|1002-8,427,2,516.987454,exact,at,head:90030857,[],"{""head_position_m"":516.9874541624848,""lane_count"":4,""link_length_m"":521.7179243340591}"
960177,960177,head,90030858|1002-4,72,3,705.906299,exact,at,head:90030858,[],"{""head_position_m"":705.9062986445601,""lane_count"":4,""link_length_m"":708.4135334781743}"
960178,960178,head,90030859|1002-4,72,2,706.156691,exact,at,head:90030859,[],"{""head_position_m"":706.1566908453009,""lane_count"":4,""link_length_m"":708.4135334781743}"
960179,960179,head,90030860|1005-7,403,3,271.773668,exact,at,head:90030860,[],"{""head_position_m"":271.7736679109053,""lane_count"":3,""link_length_m"":278.92590580157923}"
960180,960180,head,90030861|1005-7,403,2,271.920135,exact,at,head:90030861,[],"{""head_position_m"":271.9201352234454,""lane_count"":3,""link_length_m"":278.92590580157923}"
960181,960181,head,90030862|1005-5,57,2,413.656604,exact,at,head:90030862,[],"{""head_position_m"":413.65660418847193,""lane_count"":2,""link_length_m"":418.79828629632055}"
960182,960182,head,90030863|1005-2,57,1,413.788666,exact,at,head:90030863,[],"{""head_position_m"":413.78866588895363,""lane_count"":2,""link_length_m"":418.79828629632055}"
960183,960183,head,90030864|1005-6,62,1,396.103999,exact,at,head:90030864,[],"{""head_position_m"":396.1039992476315,""lane_count"":2,""link_length_m"":404.9887454880928}"
960184,960184,head,90030865|1005-6,62,2,395.786358,exact,at,head:90030865,[],"{""head_position_m"":395.78635839776587,""lane_count"":2,""link_length_m"":404.9887454880928}"
960185,960185,head,90030866|1003-4,39,1,1250.501606,exact,at,head:90030866,[],"{""head_position_m"":1250.501605545314,""lane_count"":4,""link_length_m"":1253.9649947999314}"
960186,960186,head,90030867|1003-4,39,2,1250.244496,exact,at,head:90030867,[],"{""head_position_m"":1250.2444957039993,""lane_count"":4,""link_length_m"":1253.9649947999314}"
960187,960187,head,90030868|1003-7,39,3,1250.334629,exact,at,head:90030868,[],"{""head_position_m"":1250.3346289517315,""lane_count"":4,""link_length_m"":1253.9649947999314}"
960188,960188,head,90030869|1003-7,39,4,1250.396003,exact,at,head:90030869,[],"{""head_position_m"":1250.396003345104,""lane_count"":4,""link_length_m"":1253.9649947999314}"
960189,960189,head,90030870|1003-8,47,4,933.686103,exact,at,head:90030870,[],"{""head_position_m"":933.6861034723466,""lane_count"":4,""link_length_m"":937.790927284897}"
960190,960190,head,90030871|1003-8,47,3,933.829124,exact,at,head:90030871,[],"{""head_position_m"":933.8291241103902,""lane_count"":4,""link_length_m"":937.790927284897}"
960191,960191,head,90030872|1003-8,47,2,933.628962,exact,at,head:90030872,[],"{""head_position_m"":933.6289619577317,""lane_count"":4,""link_length_m"":937.790927284897}"
960192,960192,head,90030873|1003-1,425,2,280.142032,exact,at,head:90030873,[],"{""head_position_m"":280.1420317575272,""lane_count"":2,""link_length_m"":284.0345294695288}"
960193,960193,head,90030874|1003-1,425,1,280.307240,exact,at,head:90030874,[],"{""head_position_m"":280.3072399887928,""lane_count"":2,""link_length_m"":284.0345294695288}"
960194,960194,head,90030875|1004-3,66,4,2658.617367,exact,at,head:90030875,[],"{""head_position_m"":2658.6173673078556,""lane_count"":4,""link_length_m"":2661.6180109215707}"
960195,960195,head,90030876|1004-8,66,3,2658.770303,exact,at,head:90030876,[],"{""head_position_m"":2658.7703026862664,""lane_count"":4,""link_length_m"":2661.6180109215707}"
960196,960196,head,90030877|1004-8,66,2,2658.822897,exact,at,head:90030877,[],"{""head_position_m"":2658.822897114408,""lane_count"":4,""link_length_m"":2661.6180109215707}"
960197,960197,head,90030878|1004-8,66,1,2658.841933,exact,at,head:90030878,[],"{""head_position_m"":2658.8419334135556,""lane_count"":4,""link_length_m"":2661.6180109215707}"
960198,960198,head,90030879|1004-5,71,5,78.929689,exact,at,head:90030879,[],"{""head_position_m"":78.9296892094976,""lane_count"":5,""link_length_m"":82.60285666396966}"
960199,960199,head,90030880|1004-5,71,4,78.869329,exact,at,head:90030880,[],"{""head_position_m"":78.86932923744655,""lane_count"":5,""link_length_m"":82.60285666396966}"
960200,960200,head,90030881|1004-2,71,3,78.911421,exact,at,head:90030881,[],"{""head_position_m"":78.91142117780679,""lane_count"":5,""link_length_m"":82.60285666396966}"
960201,960201,head,90030882|1004-2,71,2,78.874358,exact,at,head:90030882,[],"{""head_position_m"":78.87435771713787,""lane_count"":5,""link_length_m"":82.60285666396966}"
960202,960202,head,90030883|1004-2,71,1,78.980074,exact,at,head:90030883,[],"{""head_position_m"":78.98007404982688,""lane_count"":5,""link_length_m"":82.60285666396966}"
960203,960203,head,90030884|1004-6,52,1,463.386143,exact,at,head:90030884,[],"{""head_position_m"":463.38614254772256,""lane_count"":4,""link_length_m"":468.4598239106331}"
960204,960204,head,90030885|1004-6,52,2,463.310854,exact,at,head:90030885,[],"{""head_position_m"":463.3108544496501,""lane_count"":4,""link_length_m"":468.4598239106331}"
960205,960205,head,90030886|1004-6,52,3,463.432711,exact,at,head:90030886,[],"{""head_position_m"":463.43271083205224,""lane_count"":4,""link_length_m"":468.4598239106331}"
960206,960206,head,90030887|1004-1,52,4,463.602596,exact,at,head:90030887,[],"{""head_position_m"":463.6025958298228,""lane_count"":4,""link_length_m"":468.4598239106331}"
960207,960207,head,90030888|1004-7,46,4,953.190746,exact,at,head:90030888,[],"{""head_position_m"":953.1907462857191,""lane_count"":4,""link_length_m"":958.8923008456043}"
960208,960208,head,90030889|1004-4,46,3,953.176960,exact,at,head:90030889,[],"{""head_position_m"":953.1769601046175,""lane_count"":4,""link_length_m"":958.8923008456043}"
960209,960209,head,90030890|1004-4,46,2,953.206709,exact,at,head:90030890,[],"{""head_position_m"":953.2067093372814,""lane_count"":4,""link_length_m"":958.8923008456043}"
960210,960210,head,90030891|1004-4,46,1,953.160164,exact,at,head:90030891,[],"{""head_position_m"":953.160163847278,""lane_count"":4,""link_length_m"":958.8923008456043}"
960211,960211,meter_head,90030892|9101-1,10480,1,145.641196,exact,at,meter_head:90030892,[],"{""head_position_m"":145.641195575947,""lane_count"":1,""link_length_m"":249.7561298130956}"
960212,960212,meter_head,90030894|9102-1,10482,1,374.119678,exact,at,meter_head:90030894,[],"{""head_position_m"":374.11967822309003,""lane_count"":2,""link_length_m"":528.8695435771186}"
960213,960213,meter_head,90030893|9102-1,10482,2,374.217333,exact,at,meter_head:90030893,[],"{""head_position_m"":374.2173333514973,""lane_count"":2,""link_length_m"":528.8695435771186}"
960214,960214,meter_head,90030895|9103-1,10646,1,304.450395,exact,at,meter_head:90030895,[],"{""head_position_m"":304.45039540874615,""lane_count"":1,""link_length_m"":395.87871688654496}"
960215,960215,meter_head,90030896|9104-1,10644,1,814.779922,exact,at,meter_head:90030896,[],"{""head_position_m"":814.7799217676458,""lane_count"":1,""link_length_m"":1023.1966211000583}"
960216,960216,meter_head,90030897|9105-1,10639,1,314.834694,exact,at,meter_head:90030897,[],"{""head_position_m"":314.83469380887993,""lane_count"":1,""link_length_m"":408.4501151684461}"
960217,960217,meter_head,90030898|9106-1,10681,1,290.720031,exact,at,meter_head:90030898,[],"{""head_position_m"":290.72003141146473,""lane_count"":2,""link_length_m"":437.51715237726154}"
960218,960218,meter_head,90030899|9106-1,10681,2,290.720031,exact,at,meter_head:90030899,[],"{""head_position_m"":290.72003141146473,""lane_count"":2,""link_length_m"":437.51715237726154}"
960219,960219,meter_head,90030900|9107-1,10490,1,272.603559,exact,at,meter_head:90030900,[],"{""head_position_m"":272.6035592816065,""lane_count"":1,""link_length_m"":368.37979076458265}"
960220,960220,meter_head,90030901|9108-1,10484,1,377.110763,exact,at,meter_head:90030901,[],"{""head_position_m"":377.1107628548054,""lane_count"":1,""link_length_m"":541.9109347095974}"
960221,960221,off_entry,10479,10479,1,1.000000,exact,down,off_entry:10479,"[{""from_m"":0.0,""lanes"":[1],""link"":10479,""to_m"":1.0}]","{""lane_count"":1,""link_length_m"":258.4144458027135,""linkeval_segment_m"":10.0}"
960222,960222,off_entry,10481,10481,1,1.000000,exact,down,off_entry:10481,"[{""from_m"":0.0,""lanes"":[1],""link"":10481,""to_m"":1.0}]","{""lane_count"":2,""link_length_m"":454.41600765394736,""linkeval_segment_m"":10.0}"
960223,960223,off_entry,10481,10481,2,1.000000,exact,down,off_entry:10481,"[{""from_m"":0.0,""lanes"":[2],""link"":10481,""to_m"":1.0}]","{""lane_count"":2,""link_length_m"":454.41600765394736,""linkeval_segment_m"":10.0}"
960224,960224,off_entry,10483,10483,1,1.000000,exact,down,off_entry:10483,"[{""from_m"":0.0,""lanes"":[1],""link"":10483,""to_m"":1.0}]","{""lane_count"":1,""link_length_m"":302.31648261877154,""linkeval_segment_m"":10.0}"
960225,960225,off_entry,10491,10491,1,1.000000,exact,down,off_entry:10491,"[{""from_m"":0.0,""lanes"":[1],""link"":10491,""to_m"":1.0}]","{""lane_count"":1,""link_length_m"":231.4942209152161,""linkeval_segment_m"":10.0}"
960226,960226,off_entry,10638,10638,1,1.000000,exact,down,off_entry:10638,"[{""from_m"":0.0,""lanes"":[1],""link"":10638,""to_m"":1.0}]","{""lane_count"":2,""link_length_m"":288.1513265118135,""linkeval_segment_m"":10.0}"
960227,960227,off_entry,10638,10638,2,1.000000,exact,down,off_entry:10638,"[{""from_m"":0.0,""lanes"":[2],""link"":10638,""to_m"":1.0}]","{""lane_count"":2,""link_length_m"":288.1513265118135,""linkeval_segment_m"":10.0}"
960228,960228,off_entry,10643,10643,1,1.000000,exact,down,off_entry:10643,"[{""from_m"":0.0,""lanes"":[1],""link"":10643,""to_m"":1.0}]","{""lane_count"":2,""link_length_m"":318.99832762775236,""linkeval_segment_m"":10.0}"
960229,960229,off_entry,10643,10643,2,1.000000,exact,down,off_entry:10643,"[{""from_m"":0.0,""lanes"":[2],""link"":10643,""to_m"":1.0}]","{""lane_count"":2,""link_length_m"":318.99832762775236,""linkeval_segment_m"":10.0}"
960230,960230,off_entry,10645,10645,1,1.000000,exact,down,off_entry:10645,"[{""from_m"":0.0,""lanes"":[1],""link"":10645,""to_m"":1.0}]","{""lane_count"":1,""link_length_m"":350.3857194776235,""linkeval_segment_m"":10.0}"
960231,960231,off_entry,10682,10682,1,1.000000,exact,down,off_entry:10682,"[{""from_m"":0.0,""lanes"":[1],""link"":10682,""to_m"":1.0}]","{""lane_count"":1,""link_length_m"":226.52430853584795,""linkeval_segment_m"":10.0}"
960232,960232,through,10479,26,1,3525.599795,exact,at,through:10479,[],"{""lane_count"":3,""link_length_m"":3818.551999999874}"
960233,960233,through,10479,26,2,3525.599795,exact,at,through:10479,[],"{""lane_count"":3,""link_length_m"":3818.551999999874}"
960234,960234,through,10479,26,3,3525.599795,exact,at,through:10479,[],"{""lane_count"":3,""link_length_m"":3818.551999999874}"
960235,960235,through,10481,10613,1,1.000000,exact,down,through:10481,"[{""from_m"":0.0,""lanes"":[1],""link"":10613,""to_m"":1.0}]","{""lane_count"":3,""link_length_m"":6.237317330252699}"
960236,960236,through,10481,10613,2,1.000000,exact,down,through:10481,"[{""from_m"":0.0,""lanes"":[2],""link"":10613,""to_m"":1.0}]","{""lane_count"":3,""link_length_m"":6.237317330252699}"
960237,960237,through,10481,10613,3,1.000000,exact,down,through:10481,"[{""from_m"":0.0,""lanes"":[3],""link"":10613,""to_m"":1.0}]","{""lane_count"":3,""link_length_m"":6.237317330252699}"
960238,960238,through,10483,119,1,393.698300,exact,at,through:10483,[],"{""lane_count"":3,""link_length_m"":583.3830000001161}"
960239,960239,through,10483,119,2,393.698300,exact,at,through:10483,[],"{""lane_count"":3,""link_length_m"":583.3830000001161}"
960240,960240,through,10483,119,3,393.698300,exact,at,through:10483,[],"{""lane_count"":3,""link_length_m"":583.3830000001161}"
960241,960241,through,10491,10771,1,3.707109,end_minus,up,through:10491,"[{""from_m"":3.707109,""lanes"":[1],""link"":10771,""to_m"":3.80711}]","{""lane_count"":3,""link_length_m"":3.807109138990455,""offset_from_end_m"":0.1}"
960242,960242,through,10491,10771,2,3.707109,end_minus,up,through:10491,"[{""from_m"":3.707109,""lanes"":[2],""link"":10771,""to_m"":3.80711}]","{""lane_count"":3,""link_length_m"":3.807109138990455,""offset_from_end_m"":0.1}"
960243,960243,through,10491,10771,3,3.707109,end_minus,up,through:10491,"[{""from_m"":3.707109,""lanes"":[3],""link"":10771,""to_m"":3.80711}]","{""lane_count"":3,""link_length_m"":3.807109138990455,""offset_from_end_m"":0.1}"
960244,960244,through,10638,120,1,2485.050357,exact,at,through:10638,[],"{""lane_count"":4,""link_length_m"":6958.141078598819}"
960245,960245,through,10638,120,2,2485.050357,exact,at,through:10638,[],"{""lane_count"":4,""link_length_m"":6958.141078598819}"
960246,960246,through,10638,120,3,2485.050357,exact,at,through:10638,[],"{""lane_count"":4,""link_length_m"":6958.141078598819}"
960247,960247,through,10638,120,4,2485.050357,exact,at,through:10638,[],"{""lane_count"":4,""link_length_m"":6958.141078598819}"
960248,960248,through,10643,2,1,1808.011862,exact,at,through:10643,[],"{""lane_count"":4,""link_length_m"":4107.215999999833}"
960249,960249,through,10643,2,2,1808.011862,exact,at,through:10643,[],"{""lane_count"":4,""link_length_m"":4107.215999999833}"
960250,960250,through,10643,2,3,1808.011862,exact,at,through:10643,[],"{""lane_count"":4,""link_length_m"":4107.215999999833}"
960251,960251,through,10643,2,4,1808.011862,exact,at,through:10643,[],"{""lane_count"":4,""link_length_m"":4107.215999999833}"
960252,960252,through,10645,120,1,2100.902537,exact,at,through:10645,[],"{""lane_count"":4,""link_length_m"":6958.141078598819}"
960253,960253,through,10645,120,2,2100.902537,exact,at,through:10645,[],"{""lane_count"":4,""link_length_m"":6958.141078598819}"
960254,960254,through,10645,120,3,2100.902537,exact,at,through:10645,[],"{""lane_count"":4,""link_length_m"":6958.141078598819}"
960255,960255,through,10645,120,4,2100.902537,exact,at,through:10645,[],"{""lane_count"":4,""link_length_m"":6958.141078598819}"
960256,960256,through,10682,2,1,2159.868463,exact,at,through:10682,[],"{""lane_count"":4,""link_length_m"":4107.215999999833}"
960257,960257,through,10682,2,2,2159.868463,exact,at,through:10682,[],"{""lane_count"":4,""link_length_m"":4107.215999999833}"
960258,960258,through,10682,2,3,2159.868463,exact,at,through:10682,[],"{""lane_count"":4,""link_length_m"":4107.215999999833}"
960259,960259,through,10682,2,4,2159.868463,exact,at,through:10682,[],"{""lane_count"":4,""link_length_m"":4107.215999999833}"
960260,960260,x10643_exit,10643,10643,1,318.898328,end_minus,up,x10643_exit:10643,"[{""from_m"":318.898328,""lanes"":[1],""link"":10643,""to_m"":318.998328}]","{""lane_count"":2,""link_length_m"":318.99832762775236,""offset_from_end_m"":0.1}"
960261,960261,x10643_exit,10643,10643,2,318.898328,end_minus,up,x10643_exit:10643,"[{""from_m"":318.898328,""lanes"":[2],""link"":10643,""to_m"":318.998328}]","{""lane_count"":2,""link_length_m"":318.99832762775236,""offset_from_end_m"":0.1}"
960262,960262,destination,10634,10634,1,1.000000,exact,down,destination:10634,"[{""from_m"":0.0,""lanes"":[1],""link"":10634,""to_m"":1.0}]","{""lane_count"":3,""link_length_m"":64.20413823974091}"
960263,960263,destination,10634,10634,2,1.000000,exact,down,destination:10634,"[{""from_m"":0.0,""lanes"":[2],""link"":10634,""to_m"":1.0}]","{""lane_count"":3,""link_length_m"":64.20413823974091}"
960264,960264,destination,10634,10634,3,1.000000,exact,down,destination:10634,"[{""from_m"":0.0,""lanes"":[3],""link"":10634,""to_m"":1.0}]","{""lane_count"":3,""link_length_m"":64.20413823974091}"
960265,960265,destination,10635,10635,1,1.000000,exact,down,destination:10635,"[{""from_m"":0.0,""lanes"":[1],""link"":10635,""to_m"":1.0}]","{""lane_count"":2,""link_length_m"":68.52774484684582}"
960266,960266,destination,10635,10635,2,1.000000,exact,down,destination:10635,"[{""from_m"":0.0,""lanes"":[2],""link"":10635,""to_m"":1.0}]","{""lane_count"":2,""link_length_m"":68.52774484684582}"
960267,960267,destination,10642,10642,1,1.000000,exact,down,destination:10642,"[{""from_m"":0.0,""lanes"":[1],""link"":10642,""to_m"":1.0}]","{""lane_count"":1,""link_length_m"":67.96175880990816}"
960268,960268,ramp_arrival,RM_C10480,10480,1,1.000000,exact,down,ramp_arrival:RM_C10480,"[{""from_m"":0.0,""lanes"":[1],""link"":10480,""to_m"":1.0}]","{""lane_count"":1,""link_length_m"":249.7561298130956,""linkeval_segment_m"":10.0}"
960269,960269,ramp_arrival,RM_C10482,10482,1,1.000000,exact,down,ramp_arrival:RM_C10482,"[{""from_m"":0.0,""lanes"":[1],""link"":10482,""to_m"":1.0}]","{""lane_count"":2,""link_length_m"":528.8695435771186,""linkeval_segment_m"":10.0}"
960270,960270,ramp_arrival,RM_C10482,10482,2,1.000000,exact,down,ramp_arrival:RM_C10482,"[{""from_m"":0.0,""lanes"":[2],""link"":10482,""to_m"":1.0}]","{""lane_count"":2,""link_length_m"":528.8695435771186,""linkeval_segment_m"":10.0}"
960271,960271,ramp_arrival,RM_C10484,10484,1,1.000000,exact,down,ramp_arrival:RM_C10484,"[{""from_m"":0.0,""lanes"":[1],""link"":10484,""to_m"":1.0}]","{""lane_count"":1,""link_length_m"":541.9109347095974,""linkeval_segment_m"":10.0}"
960272,960272,ramp_arrival,RM_C10490,10490,1,1.000000,exact,down,ramp_arrival:RM_C10490,"[{""from_m"":0.0,""lanes"":[1],""link"":10490,""to_m"":1.0}]","{""lane_count"":1,""link_length_m"":368.37979076458265,""linkeval_segment_m"":10.0}"
960273,960273,ramp_arrival,RM_C10639,10639,1,1.000000,exact,down,ramp_arrival:RM_C10639,"[{""from_m"":0.0,""lanes"":[1],""link"":10639,""to_m"":1.0}]","{""lane_count"":1,""link_length_m"":408.4501151684461,""linkeval_segment_m"":10.0}"
960274,960274,ramp_arrival,RM_C10644,10644,1,1.000000,exact,down,ramp_arrival:RM_C10644,"[{""from_m"":0.0,""lanes"":[1],""link"":10644,""to_m"":1.0}]","{""lane_count"":1,""link_length_m"":1023.1966211000583,""linkeval_segment_m"":10.0}"
960275,960275,ramp_arrival,RM_C10646,10646,1,1.000000,exact,down,ramp_arrival:RM_C10646,"[{""from_m"":0.0,""lanes"":[1],""link"":10646,""to_m"":1.0}]","{""lane_count"":1,""link_length_m"":395.87871688654496,""linkeval_segment_m"":10.0}"
960276,960276,ramp_arrival,RM_C10681,10681,1,1.000000,exact,down,ramp_arrival:RM_C10681,"[{""from_m"":0.0,""lanes"":[1],""link"":10681,""to_m"":1.0}]","{""lane_count"":2,""link_length_m"":437.51715237726154,""linkeval_segment_m"":10.0}"
960277,960277,ramp_arrival,RM_C10681,10681,2,1.000000,exact,down,ramp_arrival:RM_C10681,"[{""from_m"":0.0,""lanes"":[2],""link"":10681,""to_m"":1.0}]","{""lane_count"":2,""link_length_m"":437.51715237726154,""linkeval_segment_m"":10.0}"
960278,960278,source,FW_E,74,1,40.000000,exact,down,source:FW_E,"[{""from_m"":0.0,""lanes"":[1],""link"":74,""to_m"":40.0}]","{""lane_count"":4,""link_length_m"":2701.5770003858242}"
960279,960279,source,FW_E,74,2,40.000000,exact,down,source:FW_E,"[{""from_m"":0.0,""lanes"":[2],""link"":74,""to_m"":40.0}]","{""lane_count"":4,""link_length_m"":2701.5770003858242}"
960280,960280,source,FW_E,74,3,40.000000,exact,down,source:FW_E,"[{""from_m"":0.0,""lanes"":[3],""link"":74,""to_m"":40.0}]","{""lane_count"":4,""link_length_m"":2701.5770003858242}"
960281,960281,source,FW_E,74,4,40.000000,exact,down,source:FW_E,"[{""from_m"":0.0,""lanes"":[4],""link"":74,""to_m"":40.0}]","{""lane_count"":4,""link_length_m"":2701.5770003858242}"
960282,960282,source,FW_W,26,1,40.000000,exact,down,source:FW_W,"[{""from_m"":0.0,""lanes"":[1],""link"":26,""to_m"":40.0}]","{""lane_count"":3,""link_length_m"":3818.551999999874}"
960283,960283,source,FW_W,26,2,40.000000,exact,down,source:FW_W,"[{""from_m"":0.0,""lanes"":[2],""link"":26,""to_m"":40.0}]","{""lane_count"":3,""link_length_m"":3818.551999999874}"
960284,960284,source,FW_W,26,3,40.000000,exact,down,source:FW_W,"[{""from_m"":0.0,""lanes"":[3],""link"":26,""to_m"":40.0}]","{""lane_count"":3,""link_length_m"":3818.551999999874}"
960285,960285,chain_end,FW_E,24,1,3345.881430,end_minus,up,chain_end:FW_E,"[{""from_m"":3345.88143,""lanes"":[1],""link"":24,""to_m"":3345.981431}]","{""lane_count"":3,""link_length_m"":3345.9814304443594,""offset_from_end_m"":0.1}"
960286,960286,chain_end,FW_E,24,2,3345.881430,end_minus,up,chain_end:FW_E,"[{""from_m"":3345.88143,""lanes"":[2],""link"":24,""to_m"":3345.981431}]","{""lane_count"":3,""link_length_m"":3345.9814304443594,""offset_from_end_m"":0.1}"
960287,960287,chain_end,FW_E,24,3,3345.881430,end_minus,up,chain_end:FW_E,"[{""from_m"":3345.88143,""lanes"":[3],""link"":24,""to_m"":3345.981431}]","{""lane_count"":3,""link_length_m"":3345.9814304443594,""offset_from_end_m"":0.1}"
960288,960288,chain_end,FW_W,120,1,6958.041079,end_minus,up,chain_end:FW_W,"[{""from_m"":6958.041079,""lanes"":[1],""link"":120,""to_m"":6958.141079}]","{""lane_count"":4,""link_length_m"":6958.141078598819,""offset_from_end_m"":0.1}"
960289,960289,chain_end,FW_W,120,2,6958.041079,end_minus,up,chain_end:FW_W,"[{""from_m"":6958.041079,""lanes"":[2],""link"":120,""to_m"":6958.141079}]","{""lane_count"":4,""link_length_m"":6958.141078598819,""offset_from_end_m"":0.1}"
960290,960290,chain_end,FW_W,120,3,6958.041079,end_minus,up,chain_end:FW_W,"[{""from_m"":6958.041079,""lanes"":[3],""link"":120,""to_m"":6958.141079}]","{""lane_count"":4,""link_length_m"":6958.141078598819,""offset_from_end_m"":0.1}"
960291,960291,chain_end,FW_W,120,4,6958.041079,end_minus,up,chain_end:FW_W,"[{""from_m"":6958.041079,""lanes"":[4],""link"":120,""to_m"":6958.141079}]","{""lane_count"":4,""link_length_m"":6958.141078598819,""offset_from_end_m"":0.1}"
960292,960292,headfree,10565,10565,1,1.000000,exact,down,headfree:10565,"[{""from_m"":0.0,""lanes"":[1],""link"":10565,""to_m"":1.0}]","{""lane_count"":1,""link_length_m"":22.50020742802977,""linkeval_segment_m"":10.0}"
960293,960293,headfree,10570,10570,1,1.000000,exact,down,headfree:10570,"[{""from_m"":0.0,""lanes"":[1],""link"":10570,""to_m"":1.0}]","{""lane_count"":2,""link_length_m"":49.7671772655344,""linkeval_segment_m"":10.0}"
960294,960294,headfree,10570,10570,2,1.000000,exact,down,headfree:10570,"[{""from_m"":0.0,""lanes"":[2],""link"":10570,""to_m"":1.0}]","{""lane_count"":2,""link_length_m"":49.7671772655344,""linkeval_segment_m"":10.0}"
