sim_sec,connector,lane,count,stopped_below5,mean_speed_kph,minimum_stopped_front_position_m,maximum_stopped_front_position_m
1038.0,10682,1,21,3,10.354761904761904,12.58,221.14
1039.0,10639,1,0,0,,,
1039.0,10682,1,21,3,10.133333333333335,13.88,37.74
1040.0,10639,1,0,0,,,
1040.0,10682,1,20,3,10.0735,14.92,31.77
1041.0,10639,1,0,0,,,
1041.0,10682,1,21,3,9.884285714285713,15.78,156.25
1042.0,10639,1,0,0,,,
1042.0,10682,1,21,5,11.016666666666666,2.7,156.57
1043.0,10639,1,0,0,,,
1043.0,10682,1,21,6,10.627619047619048,3.79,223.03
1044.0,10639,1,0,0,,,
1044.0,10682,1,21,6,12.03190476190476,4.69,216.18
1045.0,10639,1,0,0,,,
1045.0,10682,1,20,5,11.628,5.69,216.66
1046.0,10639,1,0,0,,,
1046.0,10682,1,20,6,10.6635,6.74,217.15
1047.0,10639,1,0,0,,,
1047.0,10682,1,20,5,11.1375,7.84,218.08
1048.0,10639,1,0,0,,,
1048.0,10682,1,21,6,10.386666666666667,9.03,219.47
1049.0,10639,1,0,0,,,
1049.0,10682,1,21,6,10.491428571428571,127.03,220.72
1050.0,10639,1,0,0,,,
1050.0,10682,1,21,7,9.469523809523809,4.71,221.83
