time_s,vehicle,last_link,last_position_m,inside_omega
4525.1,36887,120,6861.23,True
4525.1,37180,10111,31.6,False
4525.1,37444,120,6815.36,True
4525.1,37544,120,6960.71,True
4530.1,35400,120,6904.22,True
4530.1,37144,120,6936.54,True
4530.1,37298,120,6809.4,True
4530.1,37628,120,6880.95,True
4535.1,37012,120,6878.01,True
4535.1,37326,120,6819.21,True
4535.1,37477,120,6917.62,True
4535.1,37501,120,6927.43,True
4535.1,37517,120,6957.3,True
4535.1,37584,120,6879.09,True
4535.1,37820,1220000502,316.92,True
4540.1,37392,120,6837.45,True
4540.1,37471,120,6799.82,True
4540.1,37753,120,6793.35,True
4545.1,35675,10607,5.13,False
4545.1,37107,120,6871.0,True
4545.1,37209,120,6829.77,True
4545.1,37430,120,6804.41,True
4545.1,37470,120,6884.96,True
4545.1,37559,120,6846.32,True
4545.1,37569,120,6916.14,True
4545.1,37726,120,6836.63,True
4545.1,37881,120,6812.69,True
4550.1,37177,120,6961.33,True
4550.1,37271,120,6843.56,True
4550.1,37313,120,6874.13,True
4550.1,37364,10267,1.12,False
4550.1,37613,120,6834.26,True
4550.1,37699,120,6833.55,True
4550.1,39944,10111,23.04,False
4555.1,37207,120,6837.42,True
4555.1,37425,120,6946.17,True
4555.1,37746,120,6811.15,True
4555.1,37918,120,6861.86,True
4565.1,37787,120,6791.61,True
4570.1,37277,1220000201,59.22,True
4570.1,37578,120,6822.34,True
4570.1,37637,120,6870.31,True
4570.1,37722,120,6959.86,True
4575.1,37126,120,6807.52,True
4575.1,37141,1,107.0,False
4575.1,37433,120,6805.75,True
4575.1,37607,120,6884.91,True
4575.1,37686,120,6920.6,True
4575.1,37965,120,6846.73,True
4575.1,40120,10111,29.01,False
4580.1,37343,120,6939.44,True
4580.1,37415,120,6854.91,True
4580.1,37452,120,6817.92,True
4580.1,37676,120,6872.4,True
4580.1,37683,120,6892.67,True
4580.1,37700,120,6928.84,True
4580.1,37894,120,6927.9,True
4580.1,37951,120,6892.18,True
4585.1,18727,1,103.53,False
4585.1,31687,10589,11.06,False
4585.1,37624,120,6934.79,True
4585.1,37630,120,6932.6,True
4585.1,37665,120,6891.72,True
4585.1,37712,120,6867.39,True
4585.1,38100,120,6785.27,True
4585.1,39269,1,67.16,False
4590.1,36748,120,6866.26,True
4590.1,37050,120,6840.13,True
4590.1,37463,120,6903.9,True
4590.1,37675,120,6887.85,True
4590.1,37724,120,6826.3,True
4590.1,37842,120,6833.92,True
4590.1,38085,120,6799.31,True
4590.1,38110,120,6926.26,True
4595.1,36616,120,6946.01,True
4595.1,36869,120,6877.55,True
4595.1,37390,120,6924.15,True
4595.1,37553,120,6959.36,True
4595.1,37666,120,6945.42,True
4595.1,37849,120,6869.73,True
4595.1,38001,120,6854.85,True
4595.1,38010,120,6853.78,True
4595.1,38069,120,6919.31,True
4600.1,35555,10111,11.96,False
4600.1,37900,120,6880.88,True
4600.1,37910,120,6917.95,True
4600.1,38219,120,6898.4,True
4605.1,26256,1220014000,103.27,True
4605.1,33653,327,55.5,True
4605.1,37462,120,6931.18,True
4605.1,37745,120,6903.42,True
4605.1,37902,120,6857.13,True
4605.1,37990,120,6931.2,True
4605.1,38016,120,6944.72,True
4605.1,38052,120,6953.16,True
4605.1,38070,120,6919.6,True
4605.1,38095,120,6794.33,True
4605.1,38157,120,6820.75,True
4605.1,38312,120,6894.46,True
4605.1,39740,1220007501,130.08,True
4610.1,37921,120,6955.15,True
4610.1,38120,120,6855.65,True
4610.1,38847,10034,31.04,False
4610.1,39848,10313,7.3,False
4615.1,37536,120,6868.32,True
4615.1,38063,120,6891.53,True
4615.1,40383,10313,8.46,False
4620.1,37934,120,6807.78,True
4620.1,38047,120,6903.87,True
4620.1,38056,120,6813.21,True
4620.1,38250,120,6813.7,True
4620.1,38436,120,6862.54,True
4625.1,37414,120,6894.76,True
4625.1,37690,120,6858.0,True
4625.1,37959,120,6853.48,True
4625.1,38004,120,6947.98,True
4625.1,38507,120,6803.2,True
4630.1,37570,120,6819.84,True
4630.1,38018,120,6820.03,True
4635.1,32842,10410,6.29,False
4635.1,38477,120,6870.8,True
4635.1,38837,1,112.52,False
4640.1,38307,120,6842.53,True
4640.1,38414,120,6874.25,True
4645.1,29632,1220000201,77.97,True
4645.1,34708,10410,7.82,False
4645.1,37002,1220000201,62.68,True
4645.1,38041,120,6799.75,True
4645.1,38263,120,6927.09,True
4645.1,38274,1210009403,100.79,True
4645.1,38291,120,6888.91,True
4645.1,38467,120,6798.52,True
4650.1,24495,1220000201,37.5,True
4650.1,36147,10410,0.67,False
4650.1,37034,120,6909.07,True
4650.1,37994,120,6957.15,True
4650.1,38145,120,6872.01,True
4650.1,38163,120,6840.44,True
4650.1,38294,120,6884.16,True
4650.1,38353,120,6859.68,True
4650.1,38377,120,6887.06,True
4650.1,38516,120,6926.72,True
4650.1,38526,120,6892.24,True
4650.1,38539,120,6829.26,True
4650.1,38588,120,6921.33,True
4655.1,38332,120,6890.45,True
4655.1,38366,120,6877.01,True
4655.1,38592,120,6824.58,True
4655.1,38642,120,6905.84,True
4655.1,40378,10410,7.95,False
4660.1,31846,1,112.56,False
4660.1,37509,120,6826.82,True
4660.1,37988,120,6823.6,True
4660.1,38231,120,6862.26,True
4660.1,38458,120,6954.95,True
4660.1,38560,120,6856.45,True
4660.1,38613,120,6907.94,True
4660.1,38882,120,6865.58,True
4660.1,38941,120,6783.92,True
4660.1,40745,10034,26.37,False
4665.1,37929,120,6914.37,True
4665.1,37985,120,6937.27,True
4665.1,38304,120,6899.98,True
4665.1,38328,120,6877.35,True
4665.1,38457,120,6927.8,True
4665.1,38483,120,6899.6,True
4665.1,38523,120,6904.66,True
4665.1,38804,120,6866.43,True
4665.1,38956,120,6836.76,True
4670.1,33545,1,134.17,False
4670.1,35050,1220012502,225.92,True
4670.1,37884,120,6959.38,True
4670.1,37954,120,6955.02,True
4670.1,38031,120,6856.07,True
4670.1,38256,120,6816.76,True
4670.1,38415,120,6813.03,True
4670.1,38575,120,6887.6,True
4670.1,38605,120,6827.8,True
4670.1,38628,120,6919.71,True
4670.1,38644,120,6944.8,True
4670.1,38658,120,6907.32,True
4670.1,38697,120,6916.68,True
4670.1,38964,120,6881.88,True
4675.1,37496,120,6947.2,True
4675.1,37530,120,6925.36,True
4675.1,38240,120,6793.34,True
4675.1,38479,120,6920.99,True
4675.1,38620,120,6955.32,True
4675.1,38666,120,6887.73,True
4675.1,38735,120,6887.81,True
4675.1,38752,120,6821.52,True
4675.1,39008,120,6937.67,True
4675.1,39113,120,6849.8,True
4680.1,37438,10267,15.51,False
4680.1,37715,120,6813.64,True
4680.1,38600,120,6942.94,True
4680.1,38951,120,6824.93,True
4685.1,38500,120,6815.17,True
4685.1,38545,120,6940.55,True
4685.1,38623,120,6818.69,True
4685.1,38772,120,6874.25,True
4685.1,38880,120,6808.61,True
4685.1,40861,10111,25.72,False
4690.1,37667,120,6881.04,True
4690.1,37693,120,6844.8,True
4690.1,38929,120,6840.31,True
4695.1,38534,10267,9.19,False
4695.1,38984,120,6870.89,True
4700.1,28906,1,120.5,False
4715.1,38858,120,6886.15,True
4720.1,39236,120,6800.66,True
4725.1,36249,1,106.3,False
4725.1,36837,1,52.4,False
4725.1,38841,120,6880.29,True
4730.1,20534,1,64.28,False
4730.1,38828,120,6929.95,True
4730.1,38839,120,6855.12,True
4730.1,39338,120,6949.36,True
4735.1,34423,10589,20.5,False
4735.1,37181,1,100.31,False
4735.1,38200,120,6898.94,True
4735.1,38794,120,6955.77,True
4740.1,35843,1,135.25,False
4740.1,38981,120,6829.82,True
4740.1,39332,120,6941.57,True
4745.1,28715,10607,5.28,False
4745.1,38834,120,6798.26,True
4745.1,39014,120,6917.1,True
4745.1,39321,120,6800.93,True
4745.1,39378,120,6859.26,True
4750.1,32729,327,73.84,True
4750.1,39019,120,6840.79,True
4750.1,39241,120,6788.75,True
4750.1,39343,120,6932.23,True
4755.1,37920,120,6896.56,True
4755.1,38150,120,6866.9,True
4755.1,38870,120,6923.13,True
4755.1,38979,120,6839.12,True
4755.1,38990,120,6836.8,True
4755.1,39093,120,6868.45,True
4755.1,39118,120,6881.17,True
4755.1,39175,120,6800.28,True
4755.1,39194,120,6900.23,True
4755.1,39250,120,6930.89,True
4755.1,41010,10313,10.9,False
4755.1,41024,1220007501,137.1,True
4760.1,38230,120,6897.95,True
4760.1,38736,120,6934.19,True
4760.1,38872,120,6870.69,True
4760.1,38912,120,6956.62,True
4760.1,39134,120,6819.45,True
4760.1,39224,120,6900.98,True
4760.1,39242,120,6891.89,True
4760.1,39404,120,6864.42,True
4760.1,39497,120,6946.24,True
4760.1,39507,120,6928.13,True
4760.1,39553,120,6861.97,True
4765.1,33292,1,83.91,False
4765.1,41377,10111,5.3,False
4770.1,38925,120,6935.2,True
4770.1,39133,120,6816.81,True
4770.1,40353,1220014000,94.03,True
4775.1,39018,120,6941.91,True
4775.1,39150,120,6827.14,True
4775.1,39227,120,6781.03,True
4775.1,39294,120,6954.73,True
4775.1,39720,120,6908.2,True
4780.1,38080,120,6883.59,True
4780.1,38940,120,6844.18,True
4780.1,39164,120,6943.44,True
4780.1,39173,120,6875.23,True
4780.1,39271,120,6807.08,True
4780.1,39284,120,6809.99,True
4780.1,39309,120,6882.15,True
4785.1,38215,120,6918.72,True
4785.1,38818,120,6895.06,True
4785.1,38997,120,6943.56,True
4785.1,39207,120,6872.5,True
4785.1,39475,1220014000,104.91,True
4785.1,39665,120,6938.19,True
4790.1,39552,120,6957.86,True
4790.1,39727,120,6829.15,True
4795.1,34036,1220000201,48.17,True
4795.1,36651,1220000201,73.06,True
4795.1,38721,120,6830.19,True
4795.1,38983,120,6929.71,True
4800.1,32270,10267,24.35,False
4800.1,34618,1220000201,61.07,True
4800.1,39116,120,6826.28,True
4800.1,39315,120,6859.59,True
4800.1,39341,120,6842.66,True
4800.1,39403,120,6951.43,True
4800.1,39595,120,6814.97,True
4800.1,39692,120,6823.48,True
4800.1,39799,120,6859.37,True
4800.1,40995,1220014000,90.98,True
4805.1,38774,120,6865.02,True
4805.1,38978,120,6829.92,True
4805.1,39430,120,6903.1,True
4805.1,39608,120,6950.37,True
4805.1,39698,120,6938.36,True
4805.1,39759,120,6885.48,True
4805.1,39854,120,6846.8,True
4810.1,39228,120,6812.39,True
4810.1,39245,120,6855.35,True
4810.1,41230,10313,9.92,False
4815.1,30728,1220000201,84.07,True
4815.1,37978,1,111.7,False
4815.1,38275,120,6884.0,True
4815.1,39059,120,6880.53,True
4815.1,39400,120,6912.49,True
4815.1,39554,120,6849.11,True
4815.1,39842,120,6832.49,True
4815.1,39934,120,6874.28,True
4815.1,40130,120,6840.81,True
4820.1,30902,1,118.66,False
4820.1,39971,120,6798.06,True
4820.1,40520,1220012502,226.15,True
4820.1,42074,10113,8.87,False
4825.1,39490,120,6807.54,True
4825.1,39754,120,6931.32,True
4825.1,39899,120,6944.34,True
4825.1,39946,120,6786.3,True
4830.1,39840,120,6943.81,True
4830.1,40014,120,6859.27,True
