sec,link_or_cell,n,stop_le1_kph,slow_lt30_kph,mean_speed_kph
2403,1210008703,2,2,2,0.0
2403,1210009503,3,0,2,24.74
2403,1210012101,3,0,0,39.526666666666664
2403,1210012103,2,0,0,42.8
2403,1210012600,6,0,2,31.553333333333338
2403,1210012700,1,0,0,42.07
2403,1210014303,12,6,8,18.349999999999998
2403,1210018302,15,12,13,7.640666666666666
2403,1210018504,3,0,1,37.86666666666667
2403,1220000102,5,0,0,66.33000000000001
2403,1220000201,5,1,2,27.377999999999997
2403,1220000402,12,0,0,48.42666666666667
2403,1220000502,4,0,0,71.985
2403,1220000600,1,0,0,39.8
2403,1220006403,4,0,2,34.095
2403,1220006503,2,1,1,37.215
2403,1220006803,8,0,0,56.25125
2403,1220006903,11,8,9,8.59909090909091
2403,1220007001,6,6,6,0.0
2403,1220007004,2,0,0,42.375
2403,1220007104,5,0,0,55.23199999999999
2403,1220007200,12,12,12,0.0
2403,1220007300,1,0,0,116.67
2403,1220007402,2,1,2,12.045
2403,1220007501,18,14,17,7.446666666666666
2403,1220007502,4,1,4,12.32
2403,1220008201,2,0,0,42.849999999999994
2403,1220008202,1,0,0,41.57
2403,1220008301,4,0,0,37.035
2403,1220008302,1,0,0,44.01
2403,1220008303,1,0,0,89.97
2403,1220008501,2,0,0,55.32000000000001
2403,1220008502,8,0,0,40.53375
2403,1220011001,10,2,5,24.195
2403,1220011101,1,0,0,43.89
2403,1220011103,3,0,0,41.70333333333333
2403,1220011503,24,19,21,6.3379166666666675
2403,1220012001,1,1,1,0.0
2403,1220012102,3,3,3,0.0
2403,1220012103,1,1,1,0.0
2403,1220012502,2,2,2,0.0
2403,1220012700,3,0,0,41.696666666666665
2403,1220014100,3,0,0,44.126666666666665
2403,1220014201,3,3,3,0.0
2403,1220014203,5,5,5,0.0
2403,1220014303,3,3,3,0.0
2403,1220015000,4,4,4,0.1525
2403,1220018302,1,0,0,43.6
2403,1220018403,4,0,0,45.07
2403,1220018404,11,0,0,41.39
2403,1220018501,1,0,0,40.11
2403,1220018502,2,0,0,45.614999999999995
2403,1220018504,4,1,1,32.6
2403,1220043200,1,0,0,46.04
2403,124,3,0,0,35.446666666666665
2403,126,1,0,0,82.29
2403,127,159,112,144,5.415094339622642
2403,129,4,0,1,35.665
2403,138,1,0,0,41.64
2403,168,2,0,0,40.465
2403,173,1,1,1,0.0
2403,174,15,0,0,50.51133333333333
2403,176,1,1,1,0.0
2403,182,7,0,0,70.01142857142858
2403,183,1,1,1,0.48
2403,2,389,77,246,35.81632390745501
2403,21,2,0,0,43.92
2403,24,74,0,0,103.03648648648648
2403,26,355,12,71,55.554197183098594
2403,29,3,3,3,0.0
2403,30,20,3,8,31.445999999999998
2403,31,2,0,0,38.595
2403,32,23,0,1,39.65347826086956
