window_start_s,window_end_s,id,kind,road,connector,from_cell,to_cell,crossings,flow_vph,cumulative_crossings,snapshot_n_veh,excluded_connector_skip,source_first_appearances,source_reappearances,interval_inferred_crossings
1050.1,1080.1,OR_F_W_signal,offramp,FW_W,10638,19,,1,120.0,127,0,0,0,0,0
1050.1,1080.1,OR_F_W_direct,offramp,FW_W,10645,16,,10,1200.0,276,3,0,0,0,0
1050.1,1080.1,source_1098,source,FW_E,,,0,67,8040.0,2154,,0,67,0,0
1050.1,1080.1,source_1099,source,FW_W,,,0,38,4560.0,1352,,0,38,0,0
1080.1,1110.1,RM_C10480,ramp,FW_W,10480,,8,4,480.0,33,0,0,0,0,3
1080.1,1110.1,RM_C10482,ramp,FW_W,10482,,10,11,1320.0,473,27,0,0,0,0
1080.1,1110.1,RM_C10646,ramp,FW_W,10646,,18,6,720.0,47,1,0,0,0,1
1080.1,1110.1,RM_C10644,ramp,FW_W,10644,,22,5,600.0,93,4,0,0,0,0
1080.1,1110.1,RM_C10639,ramp,FW_E,10639,,10,12,1440.0,91,0,0,0,0,0
1080.1,1110.1,RM_C10681,ramp,FW_E,10681,,12,6,720.0,133,6,0,0,0,0
1080.1,1110.1,RM_C10490,ramp,FW_E,10490,,21,3,360.0,167,6,0,0,0,0
1080.1,1110.1,RM_C10484,ramp,FW_E,10484,,23,2,240.0,87,5,0,0,0,0
1080.1,1110.1,OR_D_E_signal,offramp,FW_E,10481,18,,3,360.0,53,1,0,0,0,0
1080.1,1110.1,OR_D_E_direct,offramp,FW_E,10483,20,,13,1560.0,220,3,0,0,0,0
1080.1,1110.1,OR_D_W_signal,offramp,FW_W,10491,9,,11,1320.0,183,1,0,0,0,3
1080.1,1110.1,OR_D_W_direct,offramp,FW_W,10479,7,,8,960.0,246,4,0,0,0,0
1080.1,1110.1,OR_F_E_signal,offramp,FW_E,10643,9,,4,480.0,150,1,0,0,0,0
