run,model_link,index,sim_sec,count,stopped_count,mean_speed_kph
target,FW_W,11,1020.0,11.0,0.0,108.470603
target,FW_W,11,1050.0,33.0,0.0,101.194532
target,FW_W,12,900.0,12.0,0.0,115.624688
target,FW_W,12,930.0,12.0,0.0,98.77015
target,FW_W,12,960.0,10.0,0.0,111.406402
target,FW_W,12,990.0,13.0,0.0,107.294789
target,FW_W,12,1020.0,12.0,0.0,86.006611
target,FW_W,12,1050.0,11.0,0.0,111.287192
target,FW_W,13,900.0,28.0,0.0,69.90426
target,FW_W,13,930.0,17.0,0.0,98.455851
target,FW_W,13,960.0,11.0,0.0,111.244139
target,FW_W,13,990.0,16.0,0.0,84.328884
target,FW_W,13,1020.0,12.0,0.0,96.865444
target,FW_W,13,1050.0,20.0,0.0,72.65744
target,FW_W,14,900.0,20.0,0.0,75.163388
target,FW_W,14,930.0,32.0,0.0,60.675798
target,FW_W,14,960.0,27.0,0.0,68.987926
target,FW_W,14,990.0,18.0,0.0,87.353692
target,FW_W,14,1020.0,13.0,0.0,88.571312
target,FW_W,14,1050.0,11.0,0.0,75.481298
target,FW_W,15,900.0,20.0,0.0,93.673038
target,FW_W,15,930.0,21.0,0.0,71.980742
target,FW_W,15,960.0,28.0,0.0,52.851407
target,FW_W,15,990.0,38.0,0.0,68.176237
target,FW_W,15,1020.0,20.0,0.0,85.145144
target,FW_W,15,1050.0,12.0,0.0,109.410162
target,FW_W,16,900.0,9.0,0.0,122.781486
target,FW_W,16,930.0,12.0,0.0,113.972927
target,FW_W,16,960.0,10.0,0.0,97.283967
target,FW_W,16,990.0,12.0,0.0,111.939624
target,FW_W,16,1020.0,25.0,0.0,98.916416
target,FW_W,16,1050.0,16.0,0.0,101.036701
target,FW_W,17,900.0,28.0,0.0,107.957811
target,FW_W,17,930.0,12.0,0.0,117.267527
target,FW_W,17,960.0,13.0,0.0,115.957898
target,FW_W,17,990.0,10.0,0.0,116.43454
target,FW_W,17,1020.0,22.0,0.0,110.986078
target,FW_W,17,1050.0,19.0,0.0,108.620637
target,FW_W,18,900.0,12.0,0.0,123.843943
target,FW_W,18,930.0,13.0,0.0,125.162241
target,FW_W,18,960.0,13.0,0.0,114.092222
target,FW_W,18,990.0,9.0,0.0,119.396949
target,FW_W,18,1020.0,11.0,0.0,111.740801
target,FW_W,18,1050.0,25.0,0.0,111.007171
target,FW_W,19,900.0,14.0,0.0,119.098332
target,FW_W,19,930.0,27.0,0.0,115.154949
target,FW_W,19,960.0,9.0,0.0,120.164455
target,FW_W,19,990.0,13.0,0.0,120.507959
target,FW_W,19,1020.0,10.0,0.0,122.989102
target,FW_W,19,1050.0,16.0,0.0,113.135812
target,FW_W,20,900.0,14.0,0.0,120.738211
target,FW_W,20,930.0,10.0,0.0,124.51489
target,FW_W,20,960.0,22.0,0.0,115.639983
target,FW_W,20,990.0,11.0,0.0,118.796778
target,FW_W,20,1020.0,9.0,0.0,120.559179
target,FW_W,20,1050.0,11.0,0.0,119.812715
