sim_sec,controller_mode,sc_no,control_name,sg1_state,sg2_state,phase_label
18,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
18,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
18,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
18,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
18,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
19,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
19,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
19,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
19,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
19,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
19,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
19,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
20,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
20,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
20,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
20,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
20,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
20,COM_FIXED_TIME,6,RM_D,GREEN,,RAMP_GREEN
20,COM_FIXED_TIME,7,RM_F,GREEN,,RAMP_GREEN
21,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
21,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
21,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
21,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
21,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
21,COM_FIXED_TIME,6,RM_D,GREEN,,RAMP_GREEN
21,COM_FIXED_TIME,7,RM_F,GREEN,,RAMP_GREEN
22,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
22,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
22,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
22,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
22,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
22,COM_FIXED_TIME,6,RM_D,AMBER,,RAMP_AMBER
22,COM_FIXED_TIME,7,RM_F,AMBER,,RAMP_AMBER
23,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
23,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
23,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
23,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
23,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
23,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
23,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
24,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
24,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
24,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
24,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
24,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
24,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
24,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
25,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
25,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
25,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
25,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
25,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
25,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
25,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
26,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
26,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
26,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
26,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
26,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
26,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
26,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
27,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
27,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
27,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
27,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
27,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
27,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
27,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
28,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
28,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
28,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
28,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
28,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
28,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
28,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
29,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
29,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
29,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
29,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
29,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
29,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
29,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
30,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
30,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
30,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
30,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
30,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
30,COM_FIXED_TIME,6,RM_D,GREEN,,RAMP_GREEN
30,COM_FIXED_TIME,7,RM_F,GREEN,,RAMP_GREEN
31,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
31,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
31,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
31,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
31,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
31,COM_FIXED_TIME,6,RM_D,GREEN,,RAMP_GREEN
31,COM_FIXED_TIME,7,RM_F,GREEN,,RAMP_GREEN
32,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
32,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
32,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
32,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
