scope,candidate,scenario_id,internal_storage_fraction,offramp_storage_fraction,metric,n,mean_abs_error
scenario,int070_off020,fw_eb_heavy,0.7,0.2,urban_queue_plus_link_occupancy_total_veh,6,52.216436097482166
scenario,int070_off020,ramp_d_bias,0.7,0.2,freeway_total_veh,6,18.07916530825432
scenario,int070_off020,ramp_d_bias,0.7,0.2,protected_accumulation_veh,6,48.172534034793266
scenario,int070_off020,ramp_d_bias,0.7,0.2,total_model_vehicles,6,20.918456817398976
scenario,int070_off020,ramp_d_bias,0.7,0.2,urban_link_occupancy_total_veh,6,92.42818834640316
scenario,int070_off020,ramp_d_bias,0.7,0.2,urban_movement_queue_total_veh,6,119.99675925925924
scenario,int070_off020,ramp_d_bias,0.7,0.2,urban_queue_plus_link_occupancy_total_veh,6,22.845373585252037
scenario,int070_off020,urban_d_heavy,0.7,0.2,freeway_total_veh,6,8.60549285436717
scenario,int070_off020,urban_d_heavy,0.7,0.2,protected_accumulation_veh,6,47.09364724608275
scenario,int070_off020,urban_d_heavy,0.7,0.2,total_model_vehicles,6,71.0028606016045
scenario,int070_off020,urban_d_heavy,0.7,0.2,urban_link_occupancy_total_veh,6,64.85449645159247
scenario,int070_off020,urban_d_heavy,0.7,0.2,urban_movement_queue_total_veh,6,55.93055555555561
scenario,int070_off020,urban_d_heavy,0.7,0.2,urban_queue_plus_link_occupancy_total_veh,6,80.34560065907934
scenario,int070_off030,fw_eb_heavy,0.7,0.3,freeway_total_veh,6,16.322719661399784
scenario,int070_off030,fw_eb_heavy,0.7,0.3,protected_accumulation_veh,6,50.17356518268697
scenario,int070_off030,fw_eb_heavy,0.7,0.3,total_model_vehicles,6,46.22504323282079
scenario,int070_off030,fw_eb_heavy,0.7,0.3,urban_link_occupancy_total_veh,6,75.57516212187858
scenario,int070_off030,fw_eb_heavy,0.7,0.3,urban_movement_queue_total_veh,6,46.19444444444442
scenario,int070_off030,fw_eb_heavy,0.7,0.3,urban_queue_plus_link_occupancy_total_veh,6,52.17419888007282
scenario,int070_off030,ramp_d_bias,0.7,0.3,freeway_total_veh,6,18.086738395398072
scenario,int070_off030,ramp_d_bias,0.7,0.3,protected_accumulation_veh,6,51.099617368126545
scenario,int070_off030,ramp_d_bias,0.7,0.3,total_model_vehicles,6,20.760536272956717
