time_s,vehicle,connector,kind,other_link,lane,position_m,speed_kmh,residence_s,lower_time_s,upper_time_s
215.1,970,10482,arrival,,1,51.7,43.86,,210.1,215.1
215.1,340,10682,arrival,,1,21.01,113.42,,210.1,215.1
215.1,346,10479,departure,125,1,181.7,102.61,10.0,210.1,215.1
215.1,360,10490,departure,119,1,315.22,59.16,30.0,210.1,215.1
215.1,489,10482,departure,120,2,465.58,68.49,40.0,210.1,215.1
215.1,236,10482,departure,120,1,502.29,50.44,55.0,210.1,215.1
215.1,238,10491,departure,127,1,211.48,80.24,10.0,210.1,215.1
215.1,240,10490,departure,119,1,339.29,56.21,35.0,210.1,215.1
215.1,374,10490,departure,119,1,293.06,53.13,25.0,210.1,215.1
215.1,505,10643,departure,71,2,298.91,96.08,10.0,210.1,215.1
220.1,397,10479,departure,125,1,114.07,98.73,5.0,215.1,220.1
220.1,403,10643,departure,71,1,264.86,101.15,10.0,215.1,220.1
220.1,281,10491,arrival,,1,151.68,112.95,,215.1,220.1
220.1,33,10638,arrival,,1,105.9,116.26,,215.1,220.1
220.1,418,10490,departure,119,1,359.18,77.61,30.0,215.1,220.1
220.1,299,10479,departure,125,1,160.38,110.54,10.0,215.1,220.1
220.1,51,10645,arrival,,1,82.92,115.05,,215.1,220.1
220.1,68,10645,departure,123,1,226.79,121.41,10.0,215.1,220.1
220.1,199,10682,departure,121,1,80.64,109.26,5.0,215.1,220.1
220.1,335,10491,departure,127,1,209.92,98.85,10.0,215.1,220.1
220.1,344,10682,arrival,,1,154.27,114.11,,215.1,220.1
220.1,94,10645,departure,123,1,267.81,123.47,10.0,215.1,220.1
220.1,993,10482,arrival,,1,36.84,41.68,,215.1,220.1
220.1,367,10682,arrival,,1,127.2,117.2,,215.1,220.1
220.1,115,10481,arrival,,1,28.01,125.86,,215.1,220.1
225.1,769,10490,arrival,,1,23.17,44.02,,220.1,225.1
225.1,263,10682,departure,123,1,202.69,110.0,10.0,220.1,225.1
225.1,1035,10482,arrival,,1,53.06,41.63,,220.1,225.1
225.1,1042,10482,arrival,,1,13.97,39.95,,220.1,225.1
