start_sec,end_sec,connector,source_link,target_link,departures_observed,departures_inferred,departures_total,discharge_vph,arrival_events,mean_vehicles,mean_stopped,mean_speed_kph
3000,3150,10482,32,120,20,0,20,480.0,20,4.626666666666667,0.0,41.318414985590756
3000,3150,10483,119,124,26,0,26,624.0,27,5.666666666666667,0.20666666666666667,33.201188235294126
3000,3150,10484,31,24,28,0,28,672.0,33,6.946666666666666,0.0,40.93379078694825
3000,3150,10490,129,119,18,0,18,432.0,13,2.5533333333333332,0.0,41.35386422976512
3000,3150,10491,26,129,53,0,53,1272.0,53,7.38,0.03333333333333333,39.943387533875324
3000,3150,10638,120,70,48,0,48,1152.0,53,5.966666666666667,0.0,59.08930726256973
3000,3150,10639,70,2,6,0,6,144.0,5,1.8466666666666667,0.7,23.569061371841173
3000,3150,10643,2,126,15,0,15,360.0,12,1.4533333333333334,0.0,66.124128440367
3000,3150,10644,69,120,55,0,55,1320.0,39,23.073333333333334,0.3466666666666667,34.641629586824855
3000,3150,10645,120,123,39,0,39,936.0,37,3.513333333333333,0.0,89.23472485768505
3000,3150,10646,121,120,37,0,37,888.0,38,5.653333333333333,0.0,48.202771226414995
3000,3150,10681,68,2,5,0,5,120.0,5,0.62,0.0,57.72473118279572
3000,3150,10682,2,121,26,0,26,624.0,31,21.486666666666668,9.433333333333334,7.259298789947242
3000,3150,10772,68,121,13,38,51,1224.0,51,0.08666666666666667,0.006666666666666667,18.479230769230767
3000,3150,10773,121,123,1,39,40,960.0,40,0.006666666666666667,0.0,79.6
3150,3300,10479,26,125,45,0,45,1080.0,43,2.9066666666666667,0.0,92.61009174311927
3150,3300,10480,124,26,11,0,11,264.0,8,0.8133333333333334,0.0,39.98344262295085
3150,3300,10481,2,127,18,0,18,432.0,18,126.78666666666666,112.18,1.5684141339783282
3150,3300,10482,32,120,39,0,39,936.0,40,8.633333333333333,0.0,41.27186872586886
3150,3300,10483,119,124,20,0,20,480.0,18,2.52,0.0,56.90798941798942
3150,3300,10484,31,24,32,0,32,768.0,28,6.8133333333333335,0.0,41.617035225048866
3150,3300,10490,129,119,7,0,7,168.0,11,1.6733333333333333,0.0,40.08912350597613
3150,3300,10491,26,129,45,0,45,1080.0,47,7.96,1.38,32.35736180904532
3150,3300,10638,120,70,51,0,51,1224.0,44,6.966666666666667,0.03333333333333333,45.22349282296657
3150,3300,10639,70,2,8,0,8,192.0,12,2.986666666666667,0.6266666666666667,26.447276785714298
3150,3300,10643,2,126,8,0,8,192.0,8,1.0133333333333334,0.0,60.290855263157916
3150,3300,10644,69,120,35,0,35,840.0,40,19.82,0.08666666666666667,36.36343424150695
3150,3300,10645,120,123,38,0,38,912.0,42,3.046666666666667,0.0,111.73450765864325
3150,3300,10646,121,120,39,0,39,936.0,39,6.6466666666666665,0.0,43.08902708124373
3150,3300,10681,68,2,12,0,12,288.0,13,1.86,0.0,49.247383512544786
3150,3300,10682,2,121,32,0,32,768.0,28,22.653333333333332,10.46,7.313366686286043
3150,3300,10772,68,121,8,45,53,1272.0,53,0.05333333333333334,0.013333333333333334,12.24375
3150,3300,10773,121,123,3,46,49,1176.0,49,0.02,0.0,79.62666666666667
3300,3450,10479,26,125,44,0,44,1056.0,43,3.08,0.0,89.8695021645022
3300,3450,10480,124,26,5,0,5,120.0,6,0.37333333333333335,0.0,52.40249999999996
3300,3450,10481,2,127,16,0,16,384.0,20,128.07333333333332,113.56,1.5287606059028656
3300,3450,10482,32,120,31,0,31,744.0,32,6.733333333333333,0.0,40.60160396039605
3300,3450,10483,119,124,14,0,14,336.0,14,1.24,0.0,82.74053763440858
3300,3450,10484,31,24,25,0,25,600.0,25,5.733333333333333,0.0,42.16189534883729
3300,3450,10490,129,119,8,0,8,192.0,11,1.3466666666666667,0.0,39.781831683168335
3300,3450,10491,26,129,25,0,25,600.0,38,13.986666666666666,8.313333333333333,12.926201143946605
3300,3450,10638,120,70,33,0,33,792.0,32,5.033333333333333,0.0,45.75605298013241
3300,3450,10639,70,2,13,0,13,312.0,12,6.153333333333333,2.8133333333333335,16.236760563380308
3300,3450,10643,2,126,9,0,9,216.0,9,1.1133333333333333,0.0,61.619461077844306
3300,3450,10644,69,120,35,0,35,840.0,37,16.48,0.06666666666666667,35.69155744336563
3300,3450,10645,120,123,41,0,41,984.0,41,3.12,0.0,108.58882478632474
3300,3450,10646,121,120,37,0,37,888.0,34,6.64,0.013333333333333334,39.97302208835323
3300,3450,10681,68,2,9,0,9,216.0,8,1.2533333333333334,0.0,45.98702127659578
3300,3450,10682,2,121,31,0,31,744.0,31,20.486666666666668,8.726666666666667,8.539583468922874
3300,3450,10772,68,121,7,38,45,1080.0,45,0.04666666666666667,0.0,24.694285714285712
3300,3450,10773,121,123,4,36,40,960.0,40,0.02666666666666667,0.0,68.03
3450,3600,10479,26,125,44,0,44,1056.0,44,3.2,0.0,82.93539583333342
3450,3600,10480,124,26,3,0,3,72.0,4,0.34,0.0,35.393529411764696
3450,3600,10481,2,127,18,0,18,432.0,15,128.02666666666667,113.82666666666667,1.3938955425952888
3450,3600,10482,32,120,36,0,36,864.0,35,8.653333333333334,0.0,39.56172573189518
3450,3600,10483,119,124,29,0,29,696.0,30,4.746666666666667,0.07333333333333333,44.66228932584273
3450,3600,10484,31,24,34,0,34,816.0,33,8.16,0.013333333333333334,37.54951797385618
3450,3600,10490,129,119,18,0,18,432.0,13,2.7466666666666666,0.0,39.16616504854362
3450,3600,10491,26,129,56,0,56,1344.0,42,13.6,4.6,19.931225490196052
3450,3600,10638,120,70,41,0,41,984.0,47,6.333333333333333,0.0,47.79298947368423
3450,3600,10639,70,2,10,0,10,240.0,6,2.7266666666666666,1.18,19.01696821515888
3450,3600,10643,2,126,17,0,17,408.0,17,1.98,0.0,66.12141414141415
3450,3600,10644,69,120,35,0,35,840.0,41,19.16,0.5533333333333333,34.486089074460736
3450,3600,10645,120,123,39,0,39,936.0,41,2.8733333333333335,0.0,116.55953596287695
3450,3600,10646,121,120,34,0,34,816.0,38,6.366666666666666,0.0,43.50447120418863
3450,3600,10681,68,2,5,0,5,120.0,5,0.7,0.0,52.051428571428595
3450,3600,10682,2,121,33,0,33,792.0,33,19.18,6.706666666666667,9.266405978449766
3450,3600,10772,68,121,12,37,49,1176.0,49,0.08,0.0,26.584166666666672
3450,3600,10773,121,123,0,45,45,1080.0,45,0.0,0.0,
3600,3750,10479,26,125,43,0,43,1032.0,45,3.28,0.0,84.6266463414635
3600,3750,10480,124,26,15,0,15,360.0,16,1.44,0.04666666666666667,40.117175925925935
3600,3750,10481,2,127,17,0,17,408.0,17,126.03333333333333,111.36666666666666,1.5883983073261063
3600,3750,10482,32,120,41,0,41,984.0,38,8.893333333333333,0.0,41.13447526236866
3600,3750,10483,119,124,20,0,20,480.0,19,1.3666666666666667,0.0,105.6066829268293
3600,3750,10484,31,24,19,0,19,456.0,20,4.613333333333333,0.0,39.08166184971104
3600,3750,10490,129,119,7,0,7,168.0,10,1.1533333333333333,0.0,39.91132947976884
3600,3750,10491,26,129,26,0,26,624.0,42,14.006666666666666,6.6866666666666665,13.195254640647327
3600,3750,10638,120,70,47,0,47,1128.0,42,5.086666666666667,0.0,57.97106159895155
3600,3750,10639,70,2,7,0,7,168.0,8,1.5933333333333333,0.15333333333333332,35.31476987447698
3600,3750,10643,2,126,17,0,17,408.0,18,1.9933333333333334,0.0,66.1118060200669
3600,3750,10644,69,120,52,0,52,1248.0,36,21.86,0.62,35.306721561451845
3600,3750,10645,120,123,42,0,42,1008.0,39,3.04,0.0,114.3667543859649
3600,3750,10646,121,120,35,0,35,840.0,33,5.693333333333333,0.0,41.95681498829037
3600,3750,10681,68,2,9,0,9,216.0,9,1.1,0.0,58.53848484848484
3600,3750,10682,2,121,31,0,31,744.0,34,21.72,9.746666666666666,8.114674647022715
3600,3750,10772,68,121,4,40,44,1056.0,44,0.02666666666666667,0.006666666666666667,19.37
3600,3750,10773,121,123,2,40,42,1008.0,42,0.013333333333333334,0.0,49.54
3750,3900,10479,26,125,32,0,32,768.0,32,2.3333333333333335,0.0,84.38051428571423
3750,3900,10480,124,26,11,0,11,264.0,9,0.9933333333333333,0.08666666666666667,36.64355704697988
3750,3900,10481,2,127,20,0,20,480.0,16,124.02666666666667,108.69333333333333,1.7415663298215451
3750,3900,10482,32,120,27,0,27,648.0,27,5.826666666666667,0.0,41.27620137299764
3750,3900,10483,119,124,21,0,21,504.0,21,1.9466666666666668,0.0,78.78284246575345
