link,bin,lane,cls,rows,stopped,qtail_min,qhead_max,nveh
68,450,3,ramp,5,0,,,5
68,450,3,signal,235,0,,,49
68,450,4,ramp,3,0,,,3
68,450,4,signal,265,0,,,32
68,600,1,ramp,183,11,100.12999725341797,242.3000030517578,28
68,600,1,signal,369,1,243.0399932861328,243.0399932861328,97
68,600,2,ramp,26,0,,,18
68,600,2,signal,394,0,,,100
68,600,3,ramp,7,0,,,7
68,600,3,signal,343,0,,,81
68,600,4,ramp,2,0,,,2
68,600,4,signal,412,0,,,62
68,750,1,ramp,277,23,3.109999895095825,244.72999572753906,45
68,750,1,signal,333,4,238.0,240.58999633789062,80
68,750,2,ramp,22,0,,,14
68,750,2,signal,330,0,,,90
68,750,3,ramp,10,0,,,9
68,750,3,signal,317,0,,,75
68,750,4,ramp,4,0,,,4
68,750,4,signal,291,0,,,58
68,900,1,ramp,286,28,6.989999771118164,239.6699981689453,43
68,900,1,signal,493,1,237.57000732421875,237.57000732421875,107
68,900,2,ramp,21,0,,,14
68,900,2,signal,284,0,,,79
68,900,3,ramp,7,0,,,6
68,900,3,signal,256,0,,,63
68,900,4,ramp,5,0,,,5
68,900,4,signal,232,0,,,49
68,1050,1,ramp,341,32,148.94000244140625,246.77000427246094,49
68,1050,1,signal,369,4,238.44000244140625,241.61000061035156,79
68,1050,2,ramp,27,0,,,19
68,1050,2,signal,253,0,,,65
68,1050,3,ramp,6,0,,,6
68,1050,3,signal,213,0,,,44
68,1050,4,ramp,6,0,,,6
68,1050,4,signal,227,0,,,40
68,1200,1,ramp,416,82,120.41999816894531,239.55999755859375,47
68,1200,1,signal,291,5,238.50999450683594,247.64999389648438,60
68,1200,2,ramp,24,0,,,19
68,1200,2,signal,221,0,,,51
68,1200,3,ramp,8,0,,,8
68,1200,3,signal,201,0,,,44
68,1200,4,ramp,3,0,,,3
68,1200,4,signal,211,0,,,32
68,1350,1,ramp,262,27,171.1699981689453,245.08999633789062,43
68,1350,1,signal,319,6,239.02999877929688,247.77000427246094,73
68,1350,2,ramp,16,0,,,14
68,1350,2,signal,245,0,,,57
68,1350,3,ramp,8,0,,,8
68,1350,3,signal,190,0,,,37
68,1350,4,ramp,3,0,,,3
68,1350,4,signal,174,0,,,26
68,1500,1,ramp,284,28,9.850000381469727,244.47000122070312,43
68,1500,1,signal,401,0,,,79
68,1500,2,ramp,20,0,,,15
68,1500,2,signal,299,0,,,76
68,1500,3,ramp,10,0,,,9
68,1500,3,signal,288,0,,,65
68,1500,4,ramp,4,0,,,4
68,1500,4,signal,297,0,,,52
68,1650,1,ramp,442,50,3.690000057220459,247.63999938964844,59
68,1650,1,signal,327,6,2.2899999618530273,244.16000366210938,72
68,1650,2,ramp,47,0,,,20
68,1650,2,signal,315,0,,,68
68,1650,3,ramp,5,0,,,5
68,1650,3,signal,214,0,,,46
68,1650,4,ramp,3,0,,,3
68,1650,4,signal,274,0,,,40
