link,bin,lane,cls,seg,rows,stopped,mean_speed
31,900,2,signal,0,4,0,42.965
31,900,2,signal,100,3,0,48.40333
31,900,2,signal,200,2,0,54.98
31,900,2,signal,300,6,0,55.635
31,900,2,signal,400,6,0,47.44
31,900,2,signal,500,13,0,45.161537
31,900,2,signal,600,31,0,50.43032
31,900,2,signal,700,25,0,55.656002
31,900,2,signal,800,26,0,55.37077
31,900,2,signal,900,33,0,64.08363
31,900,2,signal,1000,38,0,66.19
31,900,2,signal,1100,28,0,61.170357
31,900,2,signal,1200,32,0,63.303436
31,900,2,signal,1300,30,0,56.098
31,900,2,signal,1400,30,0,55.645
31,900,2,signal,1500,30,0,52.594997
31,900,2,signal,1600,27,0,54.58852
31,900,2,signal,1700,27,0,58.001484
31,900,2,signal,1800,36,0,50.38139
31,900,2,signal,1900,25,0,70.6632
31,900,3,ramp,0,5,0,35.578
31,900,3,ramp,100,2,0,31.355
31,900,3,ramp,200,3,0,30.513334
31,900,3,ramp,300,2,0,31.36
31,900,3,ramp,400,2,0,31.359999
31,900,3,ramp,500,2,0,30.634998
31,900,3,signal,0,1,0,42.32
31,900,3,signal,100,2,0,43.34
31,900,3,signal,200,2,0,43.34
31,900,3,signal,300,1,0,44.36
31,900,3,signal,400,5,0,71.270004
31,900,3,signal,500,6,0,56.523335
31,900,3,signal,600,7,0,45.83143
31,900,3,signal,700,16,0,53.94
31,900,3,signal,800,17,0,61.613533
31,900,3,signal,900,22,0,62.470455
31,900,3,signal,1000,21,0,65.25095
31,900,3,signal,1100,31,0,63.87226
31,900,3,signal,1200,23,0,52.790436
31,900,3,signal,1300,21,0,68.451904
31,900,3,signal,1400,21,0,78.222855
31,900,3,signal,1500,23,0,72.46174
31,900,3,signal,1600,22,0,71.671364
31,900,3,signal,1700,16,0,74.35313
31,900,3,signal,1800,18,0,77.89333
31,900,3,signal,1900,14,0,82.652855
31,1050,1,ramp,0,21,0,35.905716
31,1050,1,ramp,100,24,0,39.896667
31,1050,1,ramp,200,27,0,36.77037
31,1050,1,ramp,300,54,0,29.598703
31,1050,1,ramp,400,17,0,38.14
31,1050,1,ramp,500,7,0,37.657143
31,1050,1,ramp,600,18,0,35.04
31,1050,1,ramp,700,9,0,39.512222
31,1050,1,signal,0,2,0,45.574997
31,1050,1,signal,100,1,0,42.48
31,1050,1,signal,200,2,0,45.57
31,1050,1,signal,300,5,0,28.654001
31,1050,1,signal,400,1,0,46.42
31,1050,1,signal,500,2,0,43.324997
31,1050,1,signal,600,22,0,50.528183
31,1050,1,signal,700,12,0,72.222496
31,1050,1,signal,800,21,0,83.24286
31,1050,1,signal,900,36,0,85.6975
31,1050,1,signal,1000,34,0,87.13088
31,1050,1,signal,1100,26,0,83.68807
31,1050,1,signal,1200,29,0,83.75034
31,1050,1,signal,1300,25,0,81.8468
31,1050,1,signal,1400,22,0,89.74181
31,1050,1,signal,1500,23,0,88.27348
31,1050,1,signal,1600,22,0,89.450005
31,1050,1,signal,1700,23,0,92.00869
31,1050,1,signal,1800,24,0,92.42792
31,1050,1,signal,1900,20,0,96.659996
31,1050,2,ramp,0,11,0,42.932728
31,1050,2,ramp,100,13,0,50.920002
31,1050,2,ramp,200,10,0,34.935997
31,1050,2,ramp,300,17,0,37.420002
31,1050,2,ramp,400,8,0,27.68
31,1050,2,ramp,500,5,0,39.885998
31,1050,2,ramp,600,4,0,55.57
31,1050,2,ramp,700,1,0,40.79
31,1050,2,signal,100,1,0,64.04
31,1050,2,signal,300,7,0,36.412857
31,1050,2,signal,400,14,0,46.132854
31,1050,2,signal,500,15,0,38.088
31,1050,2,signal,600,21,0,50.25
31,1050,2,signal,700,21,0,47.40524
31,1050,2,signal,800,25,0,57.298397
31,1050,2,signal,900,30,0,72.838
31,1050,2,signal,1000,27,0,65.97148
31,1050,2,signal,1100,34,0,78.52941
31,1050,2,signal,1200,25,0,76.572
31,1050,2,signal,1300,24,0,89.21875
31,1050,2,signal,1400,27,0,86.50741
31,1050,2,signal,1500,19,0,87.648415
31,1050,2,signal,1600,23,0,94.21783
31,1050,2,signal,1700,21,0,80.045715
31,1050,2,signal,1800,22,0,93.94455
31,1050,2,signal,1900,19,0,82.359474
