panel,series,sim_sec,value,unit,kind
stopped_stock,10639,1140.0,0.0,vehicles,observed_30s
stopped_stock,10639,1170.0,0.0,vehicles,observed_30s
stopped_stock,10639,1200.0,0.0,vehicles,observed_30s
stopped_stock,10639,1230.0,2.0,vehicles,observed_30s
stopped_stock,10639,1260.0,4.0,vehicles,observed_30s
stopped_stock,10639,1290.0,5.0,vehicles,observed_30s
stopped_stock,10639,1320.0,9.0,vehicles,observed_30s
stopped_stock,10639,1350.0,9.0,vehicles,observed_30s
stopped_stock,10639,1380.0,11.0,vehicles,observed_30s
stopped_stock,10639,1410.0,15.0,vehicles,observed_30s
stopped_stock,10639,1440.0,16.0,vehicles,observed_30s
stopped_stock,10639,1470.0,21.0,vehicles,observed_30s
stopped_stock,10639,1500.0,23.0,vehicles,observed_30s
stopped_stock,10639,1530.0,24.0,vehicles,observed_30s
stopped_stock,10639,1560.0,26.0,vehicles,observed_30s
stopped_stock,10639,1590.0,28.0,vehicles,observed_30s
stopped_stock,10639,1620.0,28.0,vehicles,observed_30s
stopped_stock,10639,1650.0,28.0,vehicles,observed_30s
