run,t,L1_ramp_stop,L2_ramp_stop,L1_ramp_n,L2_ramp_n,L1_ramp_q_up_m,L1_ramp_qlen_m,sig_n,sig_stop,unk_n,unk_stop,n32,stop32,qtail32_m,conn_RDW_fzp,meter_R_D_W,meter_R_D_E,g_SC1001_p1,g_SC1001_p2,g_SC1001_p3,g_SC1001_p4,rc_R_D_W,lc_32,ls_32,lt_32,md_ramp_obs_R_D_W_queue_veh,pred_ramp_queue_R_D_W,N_UF_star
h11,3600,29.0,30.0,30.0,30.0,838.4199829101562,190.58001708984375,81.0,38.0,211.0,191.0,360.0,288.0,149.9199981689453,142,0.0,748.1049669297337,23.0,20.0,75.0,20.0,142,361,271,156.224851,142.0,153.2,1440.0000000000002
h11,3750,29.0,30.0,29.0,30.0,838.4199829101562,190.58001708984375,61.0,25.0,241.0,230.0,371.0,314.0,91.93000030517578,142,0.0,908.0334435351796,23.0,20.0,75.0,20.0,142,370,316,91.93429,142.0,153.2,1800.0
h11,3900,29.0,30.0,29.0,30.0,838.4199829101562,190.58001708984375,36.0,16.0,259.0,246.0,370.0,324.0,39.33000183105469,142,0.0,449.4991542622511,77.0,20.0,21.0,20.0,142,370,323,39.328365,142.0,149.6175921234609,1439.9999999999998
h11,4050,29.0,30.0,29.0,30.0,838.4199829101562,190.58001708984375,80.0,46.0,278.0,259.0,439.0,369.0,21.5,142,0.0,1040.7345049590524,24.0,20.0,74.0,20.0,142,438,365,21.49698,142.0,153.2,2189.999999868874
h11,4200,29.0,30.0,29.0,30.0,838.4199829101562,190.58001708984375,72.0,36.0,294.0,273.0,452.0,388.0,21.5,142,300.0,1340.7345049590524,78.0,20.0,20.0,20.0,142,452,380,21.49698,142.0,137.0648223726827,3389.999999868874
h11,4350,21.0,15.0,26.0,23.0,838.4199829101562,190.58001708984375,102.0,76.0,331.0,299.0,511.0,438.0,16.110000610351562,121,349.61937510078303,617.3010414986949,24.0,20.0,74.0,20.0,120,510,421,21.49698,120.0,118.51198929393227,1440.0
h11,4500,5.0,7.0,11.0,9.0,968.9400024414062,60.05999755859375,92.0,38.0,371.0,324.0,498.0,384.0,3.539999961853028,120,0.0,882.2204172961463,23.0,20.0,75.0,20.0,120,498,342,3.535854,120.0,133.31149783667797,1800.0
h11,4650,0.0,0.0,0.0,0.0,,0.0,79.0,37.0,386.0,325.0,477.0,371.0,2.440000057220459,141,0.0,1410.8303355650423,23.0,20.0,75.0,20.0,141,475,334,4.394593,141.0,153.2,3000.0
h11,4800,0.0,0.0,1.0,0.0,,0.0,55.0,37.0,421.0,385.0,487.0,430.0,26.799999237060547,141,0.0,872.7905266121867,23.0,20.0,75.0,20.0,141,486,409,26.803664,141.0,153.2,1800.0
h11,4950,0.0,0.0,1.0,0.0,,0.0,36.0,11.0,447.0,432.0,491.0,450.0,16.6200008392334,141,0.0,870.723250572923,77.0,20.0,21.0,20.0,141,490,436,16.6228,141.0,148.83781134276592,1800.0
h11,5100,0.0,0.0,0.0,0.0,,0.0,66.0,37.0,459.0,446.0,531.0,489.0,4.409999847412109,141,0.0,818.9816337016294,24.0,20.0,74.0,20.0,141,531,480,4.412818,141.0,153.2,1800.0
h11,5250,0.0,0.0,2.0,0.0,,0.0,32.0,13.0,467.0,454.0,503.0,467.0,4.409999847412109,141,0.0,798.5168297130444,23.0,20.0,75.0,20.0,141,503,460,4.412818,141.0,153.2,1800.0
