link,h11,b0,h0,g1,h11-h0,b0-h0
332,0.08055555555555556,0.07916666666666666,0.07083333333333333,0.09166666666666666,0.00972222222222223,0.008333333333333331
336,0.07916666666666666,0.07083333333333333,0.07916666666666666,0.07361111111111111,0.0,-0.008333333333333331
337,6.620833333333334,6.690277777777778,6.752777777777778,6.634722222222222,-0.13194444444444464,-0.0625
341,5.266666666666667,5.275,5.320833333333334,5.270833333333333,-0.05416666666666714,-0.04583333333333339
343,6.065277777777778,6.038888888888889,6.088888888888889,5.963888888888889,-0.02361111111111036,-0.04999999999999982
353,1.5722222222222222,1.5763888888888888,1.575,1.5138888888888888,-0.002777777777777768,0.001388888888888884
354,1.8625,1.8027777777777778,3.4125,1.8666666666666667,-1.55,-1.6097222222222223
358,1.726388888888889,1.625,1.5402777777777779,1.9388888888888889,0.18611111111111112,0.08472222222222214
359,2.0625,2.084722222222222,2.154166666666667,2.0097222222222224,-0.09166666666666679,-0.06944444444444464
364,1.7625,1.761111111111111,1.761111111111111,1.7625,0.001388888888888884,0.0
365,0.3125,0.30694444444444446,0.30833333333333335,0.30277777777777776,0.004166666666666652,-0.001388888888888884
367,1.7347222222222223,1.7138888888888888,1.3583333333333334,1.6375,0.3763888888888889,0.3555555555555554
374,0.016666666666666666,0.015277777777777777,0.015277777777777777,0.0125,0.0013888888888888892,0.0
378,0.7888888888888889,0.7888888888888889,0.8847222222222222,0.7930555555555555,-0.09583333333333333,-0.09583333333333333
379,7.243055555555555,7.243055555555555,7.243055555555555,7.243055555555555,0.0,0.0
380,2.426388888888889,2.216666666666667,2.466666666666667,2.3958333333333335,-0.04027777777777786,-0.25
381,0.8777777777777778,0.8847222222222222,0.8194444444444444,0.8069444444444445,0.05833333333333335,0.06527777777777777
382,2.058333333333333,2.165277777777778,3.9805555555555556,2.013888888888889,-1.9222222222222225,-1.8152777777777778
383,0.22916666666666666,0.22916666666666666,0.2263888888888889,0.22916666666666666,0.002777777777777768,0.002777777777777768
385,0.025,0.013888888888888888,0.008333333333333333,0.020833333333333332,0.01666666666666667,0.005555555555555555
387,6.906944444444444,6.9944444444444445,7.252777777777778,7.4375,-0.3458333333333341,-0.25833333333333375
403,41.576388888888886,18.975,27.77777777777778,75.24305555555556,13.798611111111107,-8.802777777777777
404,2.5069444444444446,2.563888888888889,2.558333333333333,2.5388888888888888,-0.051388888888888484,0.00555555555555598
407,2.4819444444444443,2.515277777777778,2.5180555555555557,2.5180555555555557,-0.03611111111111143,-0.002777777777777768
408,7.784722222222222,7.920833333333333,7.669444444444444,8.718055555555555,0.11527777777777803,0.2513888888888891
409,2.2444444444444445,2.2430555555555554,2.186111111111111,6.477777777777778,0.05833333333333357,0.056944444444444464
410,1.6847222222222222,1.7083333333333333,1.613888888888889,1.7861111111111112,0.0708333333333333,0.09444444444444433
411,1.4736111111111112,1.5277777777777777,1.5027777777777778,1.5055555555555555,-0.029166666666666563,0.02499999999999991
412,4.376388888888889,4.315277777777778,4.231944444444444,4.695833333333334,0.14444444444444482,0.08333333333333393
413,0.42916666666666664,0.4583333333333333,0.44583333333333336,0.45,-0.01666666666666672,0.012499999999999956
416,7.877777777777778,8.359722222222222,9.081944444444444,7.691666666666666,-1.2041666666666657,-0.7222222222222214
417,1.198611111111111,1.2305555555555556,1.2347222222222223,1.2597222222222222,-0.036111111111111205,-0.004166666666666652
420,232.13472222222222,32.980555555555554,31.166666666666668,216.1638888888889,200.96805555555557,1.8138888888888864
421,1.238888888888889,1.2791666666666666,1.2361111111111112,1.3027777777777778,0.002777777777777768,0.0430555555555554
